# 19881016_M5.88_Elia median gmf, Stations:Seismic, gmlt:USGS, Rupture:GCMT
custom_site_id,lon,lat,AbrahamsonEtAl2015SInter,AtkinsonBoore2003SInter,ZhaoEtAl2016SInter
s_0,21.350099999999998,37.7949,0.15648,0.15648,0.15648
s_1,20.897999999999996,37.784,0.14742,0.14742,0.14742
s_10,21.141999999999996,37.85,0.055342328,0.052869454,0.062292982
s_100,21.286,38.854,0.008262785,0.0052094366,0.0116545
s_101,22.204999999999984,37.949,0.0061875973,0.0031467709,0.007969474
s_102,21.53800000000001,38.849,0.0060605863,0.0028795733,0.0074794525
s_103,21.61699999999999,37.051,0.0074899546,0.0045981607,0.010520738
s_104,21.32499999999999,39.025,0.005174758,0.0024654416,0.0066112406
s_105,22.35300000000001,37.767,0.0052251797,0.002474159,0.0066169165
s_106,21.78,36.948,0.005791668,0.0034801066,0.008394916
s_107,20.5,38.155,0.014165446,0.014458024,0.015607617
s_108,21.454999999999984,37.882,0.04351601,0.037118033,0.05575796
s_109,20.693000000000012,38.352,0.01757029,0.011756238,0.023252849
s_11,21.186000000000007,37.879,0.052177645,0.04667537,0.05438933
s_110,21.548000000000002,37.683,0.023684664,0.02093556,0.032251418
s_111,21.543000000000006,37.6,0.01818102,0.01481201,0.027032899
s_112,21.663999999999987,38.132,0.015315026,0.013074289,0.020484615
s_113,21.076999999999998,38.561,0.011811258,0.0069058873,0.015760563
s_114,21.71199999999999,37.738,0.015583689,0.012152765,0.023247767
s_115,21.793000000000006,37.835,0.011325098,0.006738972,0.014925964
s_116,21.697000000000003,37.556,0.010883714,0.006227188,0.014145038
s_117,21.637,37.489,0.015692936,0.010711954,0.019221129
s_118,21.477000000000004,38.514,0.009539995,0.0055128103,0.012502918
s_119,21.77199999999999,37.642,0.013853575,0.009377759,0.01888432
s_12,21.664999999999992,37.433,0.012520534,0.008254547,0.01707817
s_120,21.59299999999999,38.454,0.011112769,0.008600842,0.016333409
s_121,21.64699999999999,37.451,0.015425739,0.009826963,0.0130560305
s_122,21.709000000000003,37.472,0.010485333,0.008230764,0.012447041
s_123,20.701999999999998,38.71,0.010288497,0.007850203,0.012050056
s_124,21.806999999999988,37.485,0.009346802,0.007180514,0.011112538
s_125,20.756,38.123,0.038640425,0.039068498,0.05948237
s_126,22.033999999999992,37.928,0.007932086,0.004175916,0.009975759
s_127,20.918000000000006,38.847,0.007525959,0.003858099,0.009575965
s_128,22.091000000000008,38.074,0.008722481,0.0057808952,0.01219315
s_129,20.721000000000004,38.16,0.03087739,0.032389548,0.036098327
s_13,21.247000000000014,37.845,0.08576757,0.07100675,0.056535207
s_130,21.860000000000014,37.288,0.009781278,0.0057810154,0.011546988
s_131,21.495000000000005,38.837,0.007235682,0.004690927,0.010660993
s_132,21.936000000000007,37.1,0.007203924,0.0037336373,0.008879612
s_133,20.542,38.111,0.022382045,0.02117953,0.02717632
s_134,20.521000000000015,38.11,0.020591186,0.019676583,0.024817016
s_135,20.595,38.23,0.01701664,0.012600872,0.020175489
s_136,20.52000000000001,38.189,0.014842634,0.0153738,0.017558057
s_137,20.715000000000003,38.331,0.021847712,0.019654598,0.03393181
s_138,21.38300000000001,38.179,0.022898545,0.019060161,0.032757163
s_139,21.450999999999993,38.171,0.02369521,0.017446404,0.029619323
s_14,21.307999999999993,37.873,0.08299583,0.069022566,0.056936383
s_140,20.421999999999997,38.205,0.015196841,0.013420041,0.01700705
s_141,21.560000000000002,38.003,0.023534393,0.018537425,0.03153842
s_142,20.37299999999999,38.18,0.015162508,0.013563319,0.018849766
s_143,20.377999999999986,38.192,0.0127450535,0.013422463,0.013588389
s_144,21.185000000000002,38.403,0.023708612,0.016071936,0.019992823
s_145,21.199000000000012,38.459,0.019244198,0.01391839,0.024297563
s_146,21.679000000000002,38.045,0.013923908,0.008576206,0.016758779
s_147,21.701999999999998,37.835,0.015378064,0.013384743,0.01828684
s_148,21.47200000000001,38.39,0.015755666,0.011093761,0.020595355
s_149,21.70599999999999,37.817,0.018559998,0.013137681,0.024667868
s_15,21.361999999999995,37.906,0.052893206,0.04651574,0.06447845
s_150,21.726,37.921,0.014125055,0.012493984,0.01699769
s_151,21.13300000000001,37.933,0.029388,0.029388,0.029388
s_152,21.74000000000001,37.865,0.013918339,0.012062114,0.01672889
s_153,21.287000000000006,38.526,0.016004313,0.011062661,0.01985288
