# 19881016_M5.88_Elia median gmf, Stations:Seismic, gmlt:GEM, Rupture:GCMT
custom_site_id,lon,lat,"BCHydroESHM20SInter
faba_taper_model = ""SFunc""
a = -100.00
b = 100.00","BCHydroESHM20SInter
sigma_mu_epsilon = -1.355630
faba_taper_model = ""SFunc""
a = -100.00
b = 100.00","BCHydroESHM20SInter
sigma_mu_epsilon = 1.355630
faba_taper_model = ""SFunc""
a = -100.00
b = 100.00","BCHydroESHM20SInter
theta_6_adjustment = -0.001500
faba_taper_model = ""SFunc""
a = -100.00
b = 100.00","BCHydroESHM20SInter
theta_6_adjustment = 0.001500
faba_taper_model = ""SFunc""
a = -100.00
b = 100.00"
s_0,21.350099999999998,37.7949,0.15648,0.15648,0.15648,0.15648,0.15648
s_1,20.897999999999996,37.784,0.14742,0.14742,0.14742,0.14742,0.14742
s_10,21.141999999999996,37.85,0.056245282,0.055270314,0.05723745,0.056245282,0.056245282
s_100,21.286,38.854,0.005319471,0.004962118,0.00570256,0.005319471,0.005319471
s_101,22.204999999999984,37.949,0.003872683,0.0036181815,0.0041450863,0.003872683,0.003872683
s_102,21.53800000000001,38.849,0.003563222,0.0033243918,0.0038192105,0.003563222,0.003563222
s_103,21.61699999999999,37.051,0.004618029,0.004308263,0.004950068,0.004618029,0.004618029
s_104,21.32499999999999,39.025,0.0027681373,0.002581646,0.0029681004,0.0027681373,0.0027681373
s_105,22.35300000000001,37.767,0.0029644205,0.0027657659,0.0031773436,0.0029644205,0.0029644205
s_106,21.78,36.948,0.0032205814,0.0030037279,0.003453091,0.0032205814,0.0032205814
s_107,20.5,38.155,0.014174261,0.014048737,0.014300906,0.014174261,0.014174261
s_108,21.454999999999984,37.882,0.04093023,0.03952692,0.042383365,0.04093023,0.04093023
s_109,20.693000000000012,38.352,0.016078552,0.015156804,0.017056357,0.016078552,0.016078552
s_11,21.186000000000007,37.879,0.05266257,0.051866535,0.053470828,0.05266257,0.05266257
s_110,21.548000000000002,37.683,0.021218704,0.020515038,0.021946505,0.021218704,0.021218704
s_111,21.543000000000006,37.6,0.015703212,0.015061653,0.0163721,0.015703212,0.015703212
s_112,21.663999999999987,38.132,0.013717254,0.013179023,0.014277466,0.013717254,0.013717254
s_113,21.076999999999998,38.561,0.009475892,0.008849575,0.010146537,0.009475892,0.009475892
s_114,21.71199999999999,37.738,0.012611007,0.011925515,0.013335902,0.012611007,0.012611007
s_115,21.793000000000006,37.835,0.008877358,0.008354717,0.009432695,0.008877358,0.008877358
s_116,21.697000000000003,37.556,0.00839822,0.007912962,0.008913237,0.00839822,0.00839822
s_117,21.637,37.489,0.012141228,0.011431897,0.012894571,0.012141228,0.012141228
s_118,21.477000000000004,38.514,0.007326447,0.0068663135,0.0078174155,0.007326447,0.007326447
s_119,21.77199999999999,37.642,0.010594994,0.009968015,0.011261408,0.010594994,0.010594994
s_12,21.664999999999992,37.433,0.009290754,0.008716466,0.009902879,0.009290754,0.009290754
s_120,21.59299999999999,38.454,0.008670642,0.0081716245,0.009200133,0.008670642,0.008670642
s_121,21.64699999999999,37.451,0.011665142,0.010957676,0.012418284,0.011665142,0.011665142
s_122,21.709000000000003,37.472,0.007760356,0.0072829043,0.008269109,0.007760356,0.007760356
s_123,20.701999999999998,38.71,0.007571439,0.0070664687,0.008112495,0.007571439,0.007571439
s_124,21.806999999999988,37.485,0.006646443,0.0062240562,0.0070974953,0.006646443,0.006646443
s_125,20.756,38.123,0.03979224,0.037788257,0.041902497,0.03979224,0.03979224
s_126,22.033999999999992,37.928,0.0055242837,0.0051724687,0.0059000286,0.0055242837,0.0055242837
s_127,20.918000000000006,38.847,0.005123243,0.0047787996,0.0054925135,0.005123243,0.005123243
s_128,22.091000000000008,38.074,0.005891755,0.0055234823,0.006284582,0.005891755,0.005891755
