# 19881016_M5.88_Elia median gmf, Stations:None, gmlt:USGS, Rupture:EFEHR
custom_site_id,lon,lat,AbrahamsonEtAl2015SInter,AtkinsonBoore2003SInter,LinLee2008SInter,ZhaoEtAl2016SInter
t_0,21.029020000000003,38.50107,0.013374799,0.009122355,0.023079386,0.043514606
t_1,21.101730000000003,38.43494,0.014561902,0.010231689,0.025739819,0.048393168
t_10,20.88336000000001,38.63319,0.009522035,0.006894979,0.017978871,0.02462205
t_100,20.86652000000001,39.31397,0.0036433253,0.001968171,0.0064505916,0.0084454715
t_1000,23.755799999999994,38.20062,0.0016126076,0.00061861676,0.00275838,0.0050567063
t_1001,22.74911,37.99101,0.004278602,0.0019392979,0.0079127215,0.010438499
t_1002,22.671099999999996,37.99622,0.0037311157,0.0018927531,0.006208033,0.0111998515
t_1003,22.713390000000004,38.02449,0.0037628217,0.0017984918,0.0059683654,0.010763755
t_1004,22.677660000000003,38.05795,0.0040320912,0.0018697935,0.006150963,0.011093762
t_1005,22.593079999999986,38.00139,0.0039307056,0.0020777313,0.0066750767,0.01205182
t_1006,22.515050000000002,38.00653,0.0039391182,0.00228672,0.007196623,0.009514413
t_1007,22.63535999999999,38.02968,0.0034618822,0.0019709996,0.0064068856,0.008455005
t_1008,22.55731,38.03484,0.0034438688,0.0013980811,0.006895333,0.009108215
t_1009,22.47926000000001,38.03996,0.00439066,0.0023851634,0.00744127,0.0134588005
t_101,20.787509999999997,39.31834,0.0032916637,0.0012595727,0.0063979253,0.008387073
t_1010,22.59960000000001,38.06312,0.0044309925,0.002050548,0.0066083926,0.011926907
t_1011,22.521529999999984,38.06826,0.0035361622,0.0014555247,0.007118257,0.009406136
t_1012,22.443449999999984,38.07337,0.003964044,0.0016044396,0.0076886504,0.010175858
t_1013,22.56380999999999,38.09656,0.0037959309,0.0021310593,0.006811787,0.00899315
t_1014,22.989840000000015,38.03691,0.0030024075,0.0013207354,0.0047236593,0.0085251145
t_1015,22.9118,38.04222,0.0028870814,0.0014364386,0.0050300388,0.006635197
t_1016,23.110270000000014,38.05974,0.002326556,0.0011620197,0.00429755,0.0056800246
t_1017,23.03223,38.0651,0.0028539062,0.0012601273,0.0045620888,0.00823658
t_1018,22.954180000000008,38.07043,0.0033712666,0.0013687939,0.004851786,0.0087530175
t_1019,23.386840000000007,38.07155,0.002103022,0.00088089716,0.0035202259,0.006393298
t_102,20.829830000000015,39.34685,0.003100992,0.0012087715,0.0062006684,0.008121432
t_1020,23.30879999999999,38.07703,0.0018777796,0.0006134861,0.003714985,0.0049264124
t_1021,23.230760000000004,38.08248,0.0025298302,0.0010262538,0.0039263517,0.0071089827
t_1022,23.42935,38.09964,0.0021816306,0.0008439631,0.0034156404,0.006209083
t_1023,23.351290000000006,38.10514,0.0019660802,0.00090950367,0.0036011855,0.004779512
t_1024,23.273230000000012,38.1106,0.0019350816,0.00063362095,0.003802236,0.0050385036
t_1025,23.3938,38.13323,0.002105842,0.0008705935,0.0034915756,0.006342014
t_1026,23.31572,38.13871,0.0021102182,0.00093847385,0.0036828502,0.0048842267
t_1027,22.485720000000015,38.10168,0.0036469647,0.0015135614,0.007342939,0.009706539
t_1028,23.04576,38.18847,0.002764859,0.0012227527,0.0044638193,0.00805798
t_1029,23.08823000000001,38.21662,0.0023616438,0.0011643573,0.004306487,0.0056882496
t_103,20.98218,39.27667,0.0035068598,0.0013389195,0.0067346245,0.008800707
t_1030,22.85374999999999,38.23256,0.002815466,0.0014848486,0.005162217,0.0068018744
t_1031,22.775569999999988,38.23781,0.0032036842,0.001615327,0.0055034286,0.0072489562
t_1032,22.81799000000001,38.26602,0.002941463,0.001529866,0.0052816933,0.006956466
t_1033,22.860420000000005,38.29421,0.0025155668,0.0009358954,0.005071712,0.0066803186
t_1034,23.010069999999985,38.22197,0.0024824464,0.0012607664,0.0045668953,0.006026004
t_1035,22.931909999999988,38.22728,0.002875243,0.0013671687,0.0048511764,0.008745323
t_1036,23.130709999999993,38.24476,0.002468626,0.0011089892,0.0041562463,0.007510789
t_1037,23.052539999999993,38.25012,0.0029291525,0.0011992945,0.004401973,0.007945602
t_1038,22.97435999999999,38.25545,0.002938332,0.0012987553,0.004669682,0.008420625
t_1039,22.896180000000015,38.26075,0.0024677075,0.0009094059,0.004961925,0.006538795
t_104,20.9032,39.28108,0.004299615,0.0020686942,0.0067113824,0.012010302
t_1040,23.09503000000001,38.27827,0.0026579532,0.0011411111,0.004244741,0.0076658726
t_1041,23.01683,38.28361,0.0025630414,0.001234135,0.004497002,0.005932975
t_1042,22.93862999999999,38.28893,0.0024702917,0.0008629473,0.004771766,0.0062896954
t_1043,23.13754,38.30639,0.002820119,0.0010860496,0.004094851,0.007399735
t_1044,22.62575000000001,38.30985,0.0039134095,0.0018661938,0.006154619,0.011077121
t_1045,22.54750999999999,38.315,0.0033642838,0.0013151077,0.0065896437,0.008676728
t_1046,23.237629999999996,38.14416,0.0019768574,0.00065400265,0.0038902243,0.0051515256
t_1047,23.436329999999998,38.16131,0.0024682325,0.00093507423,0.0046427418,0.0061561246
t_1048,23.358229999999992,38.16681,0.002188054,0.0008975158,0.003568047,0.006475846
t_1049,23.28012000000001,38.17228,0.0018647006,0.0006248291,0.003765063,0.0049896147
t_105,21.024540000000002,39.30514,0.0037564454,0.001977442,0.0064935274,0.008476712
t_1050,23.20201,38.17771,0.0019684792,0.0006745715,0.003978714,0.0052651586
t_1051,23.40075999999999,38.19489,0.0018687898,0.0008584166,0.0034576782,0.004593775
t_1052,23.322640000000007,38.20038,0.001890775,0.0005970132,0.003644885,0.004834363
t_1053,23.24450999999999,38.20582,0.0019134579,0.00064386305,0.0038475834,0.005095353
t_1054,23.16637,38.21124,0.0021091518,0.000695268,0.0040674754,0.005379091
t_1055,23.990080000000006,38.18352,0.0016234566,0.00050508365,0.0024107678,0.004450262
t_1056,23.912000000000006,38.18925,0.0016324637,0.00053994823,0.0025189612,0.004638928
t_1057,23.954669999999993,38.2172,0.0014709978,0.0005189482,0.0024541207,0.004525576
t_1058,23.876560000000012,38.22292,0.0015619998,0.0005548542,0.0025649837,0.004718887
t_1059,23.677689999999984,38.20626,0.0016875062,0.0006630285,0.0028910486,0.0052884333
t_106,20.94552999999999,39.30957,0.00319063,0.0012765268,0.0064826827,0.008475579
t_1060,23.59957,38.21186,0.001978548,0.00071129954,0.0030334806,0.005537433
t_1061,23.521450000000016,38.21743,0.002174665,0.0007638316,0.003186618,0.005805433
t_1062,23.79844,38.22861,0.0013749703,0.00038334625,0.0026835033,0.0036023164
t_1063,23.720320000000015,38.23426,0.0014070724,0.0004105572,0.0028103744,0.0037642738
t_1064,23.642179999999996,38.23988,0.0017205885,0.00068163266,0.00294642,0.005384734
t_1065,23.564040000000006,38.24547,0.001995535,0.0007313606,0.0030924897,0.0056401226
t_1066,23.485890000000012,38.25102,0.0019620082,0.00078549003,0.0032495952,0.0059151114
t_1067,23.841110000000015,38.25658,0.0014943702,0.00056987937,0.0026111745,0.003509764
t_1068,23.762969999999996,38.26225,0.0016551875,0.0006098833,0.0027325472,0.005010811
t_1069,23.919250000000005,38.25088,0.0014919244,0.00053293235,0.0024976518,0.004601152
t_107,20.987889999999993,39.33804,0.0032131155,0.0012193763,0.0062600304,0.008176941
t_1070,23.883800000000008,38.28454,0.0013504144,0.00054702174,0.0025413244,0.003420419
t_1071,23.44332,38.22296,0.0016854076,0.00053014274,0.0033515645,0.004457132
t_1072,23.36518000000001,38.22846,0.001993824,0.0008836078,0.0035295356,0.0046855416
t_1073,23.287030000000016,38.23393,0.0026700248,0.00095196546,0.0037219059,0.0067449315
t_1074,23.20886999999999,38.23936,0.0026129095,0.0010268415,0.0039302344,0.0071118497
t_1075,23.407730000000015,38.25653,0.0021860937,0.0008444968,0.0034188495,0.0062117525
t_1076,23.32956999999999,38.26202,0.0027780216,0.0010198097,0.0049365456,0.0065323077
t_1077,23.25139999999999,38.26747,0.0025656307,0.000979337,0.0037989002,0.0068794563
t_1078,23.173220000000015,38.27288,0.0029550837,0.0011853887,0.0054970635,0.0072561866
t_1079,23.45031,38.28459,0.0023447839,0.00080722885,0.0033125968,0.0060247546
t_108,20.908860000000004,39.34246,0.0033765838,0.001884299,0.0062400643,0.008162442
t_1080,23.37213,38.29009,0.0025062603,0.00086794706,0.0034860638,0.006328829
t_1081,23.68481,38.26789,0.0019820756,0.0006532609,0.0028625303,0.0052376967
t_1082,23.606660000000005,38.27349,0.0018925655,0.00070033886,0.0030018871,0.0054811365
t_1083,23.528490000000005,38.27906,0.0020564701,0.00075151876,0.0031515753,0.0057428754
t_1084,23.80564000000001,38.29022,0.0016680341,0.0005850009,0.0026574722,0.004879419
t_1085,23.72747000000001,38.29588,0.0016457919,0.0006261274,0.002781685,0.0050960863
t_1086,23.649290000000008,38.3015,0.0021524706,0.00075255736,0.0039995597,0.005328286
t_1087,23.571110000000004,38.30708,0.001920603,0.0007191164,0.0030573735,0.0055774995
t_1088,23.492909999999995,38.31264,0.002280042,0.0007717284,0.00321062,0.005845475
t_1089,23.770139999999998,38.32386,0.002023704,0.0006734258,0.0037115326,0.0049597463
t_109,21.03027,39.3665,0.0029706347,0.0011642732,0.006043761,0.007888168
t_1090,23.293939999999992,38.29556,0.0025161577,0.00093422976,0.003673275,0.0066575054
t_1091,23.21574000000001,38.30099,0.0024867104,0.0010067003,0.0038756751,0.00701348
t_1092,23.414710000000014,38.31815,0.0021667385,0.00082898646,0.003375464,0.0061340705
t_1093,23.336510000000004,38.32364,0.0022262672,0.00089138123,0.0035530485,0.006445398
t_1094,23.258289999999988,38.32909,0.0025686477,0.0009594927,0.0037447317,0.006781974
t_1095,23.18007,38.33451,0.0026410907,0.001033933,0.00395192,0.00714643
t_1096,23.45732000000001,38.3462,0.0021992994,0.00079192076,0.0032694421,0.005947591
t_1097,23.37908999999999,38.35171,0.0024837358,0.0008506948,0.0034380227,0.006242739
t_1098,23.30086,38.35717,0.002952758,0.0010263474,0.004961316,0.004777784
t_1099,23.222620000000006,38.36261,0.0022202847,0.0009846047,0.003815615,0.0050501316
t_11,21.00399999999999,38.65734,0.008478485,0.0041347467,0.017021026,0.023026137
t_110,20.951220000000006,39.37094,0.0033928838,0.0018029363,0.0060343863,0.0078871185
t_1100,23.69194999999999,38.32949,0.0018286168,0.00064242544,0.0028308076,0.0051812665
t_1101,23.613740000000007,38.3351,0.0020383487,0.0006882168,0.0029668484,0.0054187127
t_1102,23.535539999999997,38.34067,0.0020039855,0.00073790835,0.0031127261,0.0056735454
t_1103,23.65639999999999,38.3631,0.0017295142,0.0006587419,0.0028798222,0.0052661826
t_1104,23.578180000000003,38.36868,0.0020030106,0.0007057031,0.0030187822,0.005508706
t_1105,23.49994000000001,38.37424,0.0022244162,0.0007566718,0.0031678376,0.005769075
t_1106,23.620839999999987,38.39669,0.0022773622,0.00075739133,0.004018504,0.0038962548
t_1107,23.54258999999999,38.40226,0.0020809881,0.00072313723,0.003070417,0.005598082
t_1108,23.46432999999999,38.40779,0.0019634827,0.00077533745,0.0032225235,0.005863755
t_1109,23.66353000000001,38.42467,0.0022025174,0.0007246008,0.003900249,0.005198864
t_111,20.99360999999999,39.3994,0.0029134292,0.0011132719,0.0058340603,0.007620079
t_1110,23.585260000000005,38.43026,0.0018893892,0.0006912379,0.002977011,0.0054342863
t_1111,23.50698,38.43582,0.0018218567,0.00074046414,0.0031216084,0.0056865793
t_1112,21.945040000000006,38.19832,0.0064888196,0.003078745,0.013103732,0.017692992
t_1113,22.065429999999992,38.22182,0.005885634,0.002545583,0.011199383,0.01498821
t_1114,21.98723000000001,38.22673,0.0061325245,0.002841028,0.012267487,0.016488273
t_1115,21.909019999999998,38.2316,0.006692439,0.0031798244,0.013478668,0.018204724
t_1116,22.029439999999994,38.25512,0.0070437025,0.0040668817,0.011501814,0.021050414
t_1117,21.951220000000006,38.26002,0.0072831353,0.0045336564,0.01259166,0.016925063
t_1118,21.99342999999999,38.28841,0.006918222,0.004181197,0.011783353,0.021562845
t_1119,21.915179999999992,38.29329,0.008076387,0.004653513,0.012887781,0.023677137
t_112,20.914530000000013,39.40382,0.0032820553,0.0017206069,0.0058168713,0.007607681
t_1120,21.957400000000007,38.32169,0.0059678196,0.0027655645,0.012039294,0.016105438
t_1121,22.35508999999999,38.35854,0.004353991,0.00250245,0.007762225,0.010234015
t_1122,22.27680000000001,38.36357,0.0044344254,0.001771562,0.008359633,0.01103601
t_1123,22.319140000000004,38.39187,0.0042492514,0.0025617152,0.007915251,0.010431211
t_1124,22.19851,38.36856,0.004889014,0.0030133182,0.009020806,0.011928314
t_1125,22.120209999999986,38.37352,0.0053368183,0.0033143642,0.009753191,0.012922023
t_1126,22.24082999999999,38.39688,0.00455987,0.0028059077,0.008519776,0.011241835
t_1127,22.162509999999997,38.40186,0.004732754,0.00198703,0.009186807,0.012140565
t_1128,22.084190000000007,38.40681,0.004889437,0.0021820222,0.009922775,0.013136842
t_1129,22.5899,38.34325,0.0032298565,0.0012378836,0.0062879194,0.008273743
t_113,20.350130000000007,39.31105,0.0032803547,0.0018054789,0.0059951036,0.007895735
t_1130,22.63230999999999,38.37149,0.0033920398,0.0018059728,0.0060049524,0.007897409
t_1131,22.55402000000001,38.37663,0.0037118667,0.001966557,0.0064169257,0.008440032
t_1132,22.59644,38.40487,0.0031416642,0.0011946056,0.006121797,0.008047234
t_1133,22.518129999999985,38.41,0.0042174724,0.0020136265,0.0065405373,0.0117570935
t_1134,22.638869999999997,38.4331,0.0029079125,0.0011248467,0.0058454764,0.0076809945
t_1135,22.560550000000006,38.43825,0.0032929364,0.001221827,0.006233538,0.008189765
t_1136,22.005859999999984,38.41172,0.006040558,0.003714968,0.010734457,0.014240478
t_1137,21.927520000000015,38.4166,0.007295994,0.004086525,0.011628102,0.021138487
t_1138,22.048149999999993,38.44008,0.0051195645,0.0022178951,0.010071069,0.013319846
t_1139,21.96978999999999,38.44498,0.005533052,0.002432282,0.010877559,0.014411977
t_114,20.313279999999992,39.34382,0.003572536,0.0017029186,0.0057306457,0.010320023
t_1140,22.012079999999997,38.47334,0.005210161,0.0022469105,0.010195767,0.013467807
t_1141,21.93370999999999,38.47822,0.0053869137,0.0024573796,0.010991265,0.01453967
t_1142,22.361500000000007,38.42016,0.0041777203,0.0023945526,0.007503719,0.009874477
t_1143,22.283169999999984,38.42519,0.0042298823,0.0016892417,0.00805759,0.01061275
t_1144,22.403880000000015,38.44844,0.004169925,0.0022408853,0.007122114,0.012799726
t_1145,22.325530000000015,38.45349,0.004281899,0.0024427422,0.007630598,0.010035142
t_1146,22.247180000000014,38.4585,0.004038794,0.0017210426,0.008187642,0.010776352
t_1147,22.367919999999998,38.48177,0.0048831804,0.002283528,0.007235499,0.012994731
t_1148,22.28954999999999,38.4868,0.003889028,0.0016051567,0.0077462383,0.010179556
t_1149,22.410320000000013,38.51004,0.0035492245,0.0013799476,0.0068694516,0.009014037
t_115,20.355490000000003,39.37244,0.003127993,0.0016596562,0.0056209266,0.007400203
t_1150,22.33193,38.51509,0.0036898234,0.0014991085,0.0073387227,0.009631783
t_1151,22.253539999999987,38.5201,0.004008811,0.0016296895,0.00784944,0.010306042
t_1152,22.20483999999999,38.43019,0.0045575146,0.0018478779,0.008666405,0.011427735
t_1153,22.126499999999993,38.43515,0.005048599,0.0031341475,0.009335749,0.0123275025
t_1154,22.16882000000001,38.46348,0.0048040706,0.0029114385,0.008797854,0.011591327
t_1155,22.090460000000007,38.46843,0.0046568196,0.0020546552,0.009465712,0.012486398
t_1156,22.21117000000001,38.4918,0.0048180437,0.0027088057,0.00830386,0.010919835
t_1157,22.13279,38.49676,0.0048213745,0.0029533126,0.008912162,0.011729881
t_1158,22.17514,38.52509,0.0043529174,0.0017725707,0.008404784,0.011041191
t_1159,22.096730000000008,38.53003,0.004663783,0.001928601,0.009007903,0.011841461
t_116,20.27641,39.37658,0.0031168,0.0016072439,0.0054822466,0.007221344
t_1160,22.217510000000004,38.55339,0.0039061275,0.0016504165,0.007938913,0.010412844
t_1161,22.139080000000007,38.55836,0.0047605657,0.002774834,0.00848923,0.011138837
t_1162,22.37433999999999,38.54336,0.004000078,0.0021712268,0.0069617773,0.009127841
