# 19881016_M5.88_Elia median gmf, Stations:Seismic, gmlt:GEM, Rupture:USGS
custom_site_id,lon,lat,"BCHydroESHM20SInter
faba_taper_model = ""SFunc""
a = -100.00
b = 100.00","BCHydroESHM20SInter
sigma_mu_epsilon = -1.355630
faba_taper_model = ""SFunc""
a = -100.00
b = 100.00","BCHydroESHM20SInter
sigma_mu_epsilon = 1.355630
faba_taper_model = ""SFunc""
a = -100.00
b = 100.00","BCHydroESHM20SInter
theta_6_adjustment = -0.001500
faba_taper_model = ""SFunc""
a = -100.00
b = 100.00","BCHydroESHM20SInter
theta_6_adjustment = 0.001500
faba_taper_model = ""SFunc""
a = -100.00
b = 100.00"
s_0,21.350099999999998,37.7949,0.15648,0.15648,0.15648,0.15648,0.15648
s_1,20.897999999999996,37.784,0.14742,0.14742,0.14742,0.14742,0.14742
s_10,21.141999999999996,37.85,0.06063829,0.059587173,0.06170795,0.06063829,0.06063829
s_100,21.286,38.854,0.005202499,0.0048530037,0.005577164,0.005202499,0.005202499
s_101,22.204999999999984,37.949,0.0040580826,0.003791397,0.0043435264,0.0040580826,0.0040580826
s_102,21.53800000000001,38.849,0.0035220876,0.0032860143,0.0037751207,0.0035220876,0.0035220876
s_103,21.61699999999999,37.051,0.004804958,0.004482653,0.005150437,0.004804958,0.004804958
s_104,21.32499999999999,39.025,0.0027056471,0.0025233657,0.002901096,0.0027056471,0.0027056471
s_105,22.35300000000001,37.767,0.003102946,0.0028950085,0.003325819,0.003102946,0.003102946
s_106,21.78,36.948,0.003338514,0.0031137192,0.0035795374,0.003338514,0.003338514
s_107,20.5,38.155,0.014115841,0.013990834,0.014241965,0.014115841,0.014115841
s_108,21.454999999999984,37.882,0.04297475,0.04150134,0.04450047,0.04297475,0.04297475
s_109,20.693000000000012,38.352,0.015586172,0.01469265,0.016534032,0.015586172,0.015586172
s_11,21.186000000000007,37.879,0.05555653,0.054716744,0.0564092,0.05555653,0.05555653
s_110,21.548000000000002,37.683,0.0220786,0.021346418,0.022835895,0.0220786,0.0220786
s_111,21.543000000000006,37.6,0.016466837,0.01579408,0.017168252,0.016466837,0.016466837
s_112,21.663999999999987,38.132,0.014174357,0.013618191,0.014753237,0.014174357,0.014174357
s_113,21.076999999999998,38.561,0.0092714075,0.008658607,0.00992758,0.0092714075,0.0092714075
s_114,21.71199999999999,37.738,0.013385964,0.012658346,0.014155404,0.013385964,0.013385964
s_115,21.793000000000006,37.835,0.00942484,0.0088699665,0.010014425,0.00942484,0.00942484
s_116,21.697000000000003,37.556,0.008919256,0.008403892,0.009466225,0.008919256,0.008919256
s_117,21.637,37.489,0.012868075,0.012116279,0.013666517,0.012868075,0.012868075
s_118,21.477000000000004,38.514,0.0072467127,0.006791587,0.007732338,0.0072467127,0.0072467127
s_119,21.77199999999999,37.642,0.011250812,0.010585023,0.011958476,0.011250812,0.011250812
s_12,21.664999999999992,37.433,0.009849996,0.00924114,0.010498968,0.009849996,0.009849996
s_120,21.59299999999999,38.454,0.00865918,0.008160823,0.009187971,0.00865918,0.00865918
s_121,21.64699999999999,37.451,0.0123590715,0.01160952,0.013157017,0.0123590715,0.0123590715
s_122,21.709000000000003,37.472,0.008236836,0.0077300686,0.008776825,0.008236836,0.008236836
s_123,20.701999999999998,38.71,0.00722589,0.0067439657,0.0077422527,0.00722589,0.00722589
s_124,21.806999999999988,37.485,0.0070488746,0.0066009127,0.0075272373,0.0070488746,0.0070488746
s_125,20.756,38.123,0.040679913,0.038631227,0.042837247,0.040679913,0.040679913
s_126,22.033999999999992,37.928,0.005795408,0.0054263263,0.0061895936,0.005795408,0.005795408
s_127,20.918000000000006,38.847,0.0049273954,0.004596119,0.0052825497,0.0049273954,0.0049273954
s_128,22.091000000000008,38.074,0.006153513,0.005768879,0.006563793,0.006153513,0.006153513
