STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,PGA_VALUE,SA(0.3)_VALUE,SA(0.6)_VALUE,SA(1.0)_VALUE,PGA_LN_SIGMA,SA(0.3)_LN_SIGMA,SA(0.6)_LN_SIGMA,SA(1.0)_LN_SIGMA,PGA_VALUE_1,SA(0.3)_VALUE_1,SA(0.6)_VALUE_1,SA(1.0)_VALUE_1,PGA_VALUE_2,SA(0.3)_VALUE_2,SA(0.6)_VALUE_2,SA(1.0)_VALUE_2,PGA_VALUE_V,SA(0.3)_VALUE_V,SA(0.6)_VALUE_V,SA(1.0)_VALUE_V,VS30,VS30_TYPE,MMI_VALUE,MMI_STDDEV,PGV_LN_SIGMA,PGV_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE
T10A,T10A,-19.995,-69.767,seismic,Stations_CSN,0.7811461949,2.7828600015,1.0427202638,0.5155994722,0.0,0.0,0.0,0.0,0.6589533317,1.0964195106,0.9252222737,0.5155994722,0.7811461949,2.7828600015,1.0427202638,0.4510496612,1.0457462356,0.9107609545,0.3839452637,0.1844964485,336,inferred,,,,,,
PB11,PB11,-19.761,-69.656,seismic,Stations_CSN,0.7515229416,0.8500059376,0.2410736798,0.1540097041,0.0,0.0,0.0,0.0,0.7515229416,0.8500059376,0.2410736798,0.1540097041,0.4565424702,0.3546789973,0.1661237722,0.1245641428,0.4933899822,0.6531471847,0.4309556909,0.2018088708,1044ﾠ,inferred,,,,,,
T07A,T07A,-20.256,-69.786,seismic,Stations_CSN,0.6130922485,0.9810846117,1.0104417702,0.3107967639,0.0,0.0,0.0,0.0,0.5187454809,0.9619634053,0.9042525917,0.3107967639,0.6130922485,0.9810846117,1.0104417702,0.1930127519,0.3292205513,0.2956185701,0.1141810692,0.0597731966,326ﾠ,inferred,,,,,,
T03A,T03A,-20.23,-70.146,seismic,Stations_CSN,0.6055011038,1.0652411011,0.4549448376,0.2745674922,0.0,0.0,0.0,0.0,0.5762646919,0.8366900291,0.4549448376,0.2745674922,0.6055011038,1.0652411011,0.2715041534,0.1437033782,0.2179866317,0.3147001798,0.0766226941,0.0399070944,613,inferred,,,,,,
T09A,T09A,-19.596,-70.211,seismic,Stations_CSN,0.5755682968,0.5489515318,0.4161510411,0.2382109181,0.0,0.0,0.0,0.0,0.4088679266,0.5489515318,0.4161510411,0.2382109181,0.5755682968,0.3672369728,0.2481699801,0.1561606933,0.3070626912,0.2343646694,0.1732036138,0.1144550618,1584,inferred,,,,,,
MNMCX,MNMCX,-19.131,-69.596,seismic,Stations_CSN,0.4584785084,1.0102155066,0.3243240839,0.1859292974,0.0,0.0,0.0,0.0,0.307613512,0.6220796689,0.3243240839,0.1859292974,0.4584785084,1.0102155066,0.2549052891,0.1023566307,0.2813285622,0.3648963143,0.1432651569,0.0482647178,,,,,,,,
T08A,T08A,-20.27,-70.094,seismic,Stations_CSN,0.4458848202,0.9895232296,0.5932582267,0.549019641,0.0,0.0,0.0,0.0,0.4458848202,0.7874485635,0.5932582267,0.549019641,0.3924766734,0.9895232296,0.4916560699,0.1680080116,0.3197414688,0.6823868046,0.2520037875,0.1155080707,987,inferred,,,,,,
GO01,GO01,-19.669,-69.194,seismic,Stations_CSN,0.3614122698,0.8005576748,0.1521599444,0.0488907456,0.0,0.0,0.0,0.0,0.2417062445,0.3644966749,0.1246106523,0.0403148128,0.3614122698,0.8005576748,0.1521599444,0.0488907456,0.162447588,0.1679804408,0.0691807316,0.034229549,,,,,,,,
T13A,T13A,-20.496,-69.337,seismic,Stations_CSN,0.3401102991,0.4700203263,0.7151942688,0.173241687,0.0,0.0,0.0,0.0,0.2727046018,0.4700203263,0.7151942688,0.132642364,0.3401102991,0.372169527,0.6027337617,0.173241687,0.2285880331,0.2948934975,0.1941956784,0.0624571147,378ﾠ,inferred,,,,,,
T05A,T05A,-20.21,-70.15,seismic,Stations_CSN,0.3052514638,1.2279421514,0.3935957507,0.3101643965,0.0,0.0,0.0,0.0,0.3052514638,0.6869040094,0.3935957507,0.3101643965,0.2724136569,1.2279421514,0.2316977387,0.1293579934,0.2548816462,0.4310841426,0.1897938089,0.1841974842,1020,inferred,,,,,,
T06A,T06A,-20.214,-70.138,seismic,Stations_CSN,0.2665246285,0.6682542175,0.5703795988,0.4332789391,0.0,0.0,0.0,0.0,0.2665246285,0.5224221688,0.5703795988,0.4332789391,0.2169799075,0.6682542175,0.2631559059,0.2033985954,0.1541799082,0.2814879274,0.1254621326,0.0972244175,1263,inferred,,,,,,
