STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,PGA_VALUE,SA(0.3)_VALUE,SA(0.6)_VALUE,SA(1.0)_VALUE,PGA_LN_SIGMA,SA(0.3)_LN_SIGMA,SA(0.6)_LN_SIGMA,SA(1.0)_LN_SIGMA,PGA_VALUE_1,SA(0.3)_VALUE_1,SA(0.6)_VALUE_1,SA(1.0)_VALUE_1,PGA_VALUE_2,SA(0.3)_VALUE_2,SA(0.6)_VALUE_2,SA(1.0)_VALUE_2,PGA_VALUE_V,SA(0.3)_VALUE_V,SA(0.6)_VALUE_V,SA(1.0)_VALUE_V,VS30,VS30_TYPE
AP01,AP01,-18.371,-70.342,seismic,Stations_CSN,0.1690507162,0.5361265198,0.2286909301,0.180325663,0,0,0,0,0.1690507162,0.5361265198,0.1934873283,0.180325663,0.0983918408,0.3433049059,0.2286909301,0.1436930114,0.0872673136,0.2223832089,0.0666859847,0.0775850556,355,inferred
GO01,GO01,-19.669,-69.194,seismic,Stations_CSN,0.3614122698,0.8005576748,0.1521599444,0.0488907456,0,0,0,0,0.2417062445,0.3644966749,0.1246106523,0.0403148128,0.3614122698,0.8005576748,0.1521599444,0.0488907456,0.162447588,0.1679804408,0.0691807316,0.034229549,,
HMBCX,HMBCX,-20.278,-69.888,seismic,Stations_CSN,0.2590253936,0.3757793699,0.6311235713,0.1977202905,0,0,0,0,0.2393799647,0.3559760095,0.3319243468,0.1785746939,0.2590253936,0.3757793699,0.6311235713,0.1977202905,0.1726604904,0.4705702215,0.2971507389,0.0750273019,743,inferred
MNMCX,MNMCX,-19.131,-69.596,seismic,Stations_CSN,0.4584785084,1.0102155066,0.3243240839,0.1859292974,0,0,0,0,0.307613512,0.6220796689,0.3243240839,0.1859292974,0.4584785084,1.0102155066,0.2549052891,0.1023566307,0.2813285622,0.3648963143,0.1432651569,0.0482647178,,
PB01,PB01,-21.043,-69.487,seismic,Stations_CSN,0.1071034509,0.2839515165,0.1503573792,0.1014675073,0,0,0,0,0.1071034509,0.2839515165,0.0868766433,0.0778378068,0.1057388349,0.2191518335,0.1503573792,0.1014675073,0.0719362996,0.1571733782,0.0715335714,0.0413906777,,
PB02,PB02,-21.32,-69.896,seismic,Stations_CSN,0.1684512998,0.3914605973,0.3012620468,0.096672129,0,0,0,0,0.1684512998,0.3914605973,0.3012620468,0.081670874,0.0882170561,0.2190857582,0.2421365244,0.096672129,0.1123136182,0.3562098727,0.166323249,0.0769833899,,
PB03,PB03,-22.048,-69.753,seismic,Stations_CSN,0.0380266003,0.0777667013,0.04921503,0.0579055942,0,0,0,0,0.0380266003,0.0777667013,0.04921503,0.0579055942,0.0297583544,0.0656843715,0.029957665,0.029829754,0.033246614,0.0920532409,0.0594599849,0.0368840676,,
PB04,PB04,-22.334,-70.149,seismic,Stations_CSN,0.0360541947,0.0788521928,0.0763179115,0.0984958036,0,0,0,0,0.0296155956,0.0626600314,0.0698427787,0.0637189077,0.0360541947,0.0788521928,0.0763179115,0.0984958036,0.0241143252,0.0539481894,0.0497962151,0.0568285927,,
PB07,PB07,-21.727,-69.886,seismic,Stations_CSN,0.0638457979,0.1156685551,0.1379756789,0.0637261897,0,0,0,0,0.0638457979,0.1156685551,0.1379756789,0.0637261897,0.0394881617,0.0815927806,0.0818403171,0.0551900404,0.0420194181,0.0976282728,0.0946824861,0.0389499458,,
PB08,PB08,-20.141,-69.153,seismic,Stations_CSN,0.0951732328,0.1905962099,0.076591727,0.0551746329,0,0,0,0,0.0826988334,0.1686483626,0.0580771261,0.0550156848,0.0951732328,0.1905962099,0.076591727,0.0551746329,0.0606856322,0.1038553033,0.0488384874,0.030456281,,
PB09,PB09,-21.796,-69.242,seismic,Stations_CSN,0.0800832165,0.2116819598,0.1610870109,0.1929813906,0,0,0,0,0.0800832165,0.2116819598,0.1404888445,0.1929813906,0.0687312163,0.109758242,0.1610870109,0.1911594848,0.0456838579,0.1536460178,0.1259456928,0.1114622071,,
PB11,PB11,-19.761,-69.656,seismic,Stations_CSN,0.7515229416,0.8500059376,0.2410736798,0.1540097041,0,0,0,0,0.7515229416,0.8500059376,0.2410736798,0.1540097041,0.4565424702,0.3546789973,0.1661237722,0.1245641428,0.4933899822,0.6531471847,0.4309556909,0.2018088708,1044ﾠ,inferred
