# 20000620_M6.46_Iceland median gmf, Stations:Seismic, gmlt:GEM, Rupture:USGS
custom_site_id,lon,lat,"KothaEtAl2020ESHM20SlopeGeology
KothaEtAl2020ESHM20SlopeGeology.dl2l
'PGA' = -0.305692","KothaEtAl2020ESHM20SlopeGeology
KothaEtAl2020ESHM20SlopeGeology.dl2l
'PGA' = -0.787319","KothaEtAl2020ESHM20SlopeGeology
KothaEtAl2020ESHM20SlopeGeology.dl2l
'PGA' = 0.175935","KothaEtAl2020ESHM20SlopeGeology
c3_epsilon = -1.73205100
KothaEtAl2020ESHM20SlopeGeology.dl2l
'PGA' = -0.305692","KothaEtAl2020ESHM20SlopeGeology
c3_epsilon = 1.73205100
KothaEtAl2020ESHM20SlopeGeology.dl2l
'PGA' = -0.305692"
s_0,-20.47399999999999,64.004,0.391837,0.391837,0.391837,0.391837,0.391837
s_1,-21.007000000000005,64.088,0.105102,0.105102,0.105102,0.105102,0.105102
s_10,-20.647999999999996,63.928,0.568367,0.568367,0.568367,0.568367,0.568367
s_11,-19.569999999999993,64.19,0.009398,0.009398,0.009398,0.009398,0.009398
s_12,-20.26400000000001,63.991,0.052347,0.052347,0.052347,0.052347,0.052347
s_13,-21.76400000000001,64.075,0.011633,0.011633,0.011633,0.011633,0.011633
s_14,-20.986999999999995,63.94,0.178571,0.178571,0.178571,0.178571,0.178571
s_15,-21.905,64.135,0.018265,0.018265,0.018265,0.018265,0.018265
s_16,-19.125,64.174,0.008898,0.008898,0.008898,0.008898,0.008898
s_17,-21.382000000000005,63.854,0.106122,0.106122,0.106122,0.106122,0.106122
s_18,-21.187000000000012,64.002,0.127551,0.127551,0.127551,0.127551,0.127551
s_19,-20.159999999999997,64.05,0.027959,0.027959,0.027959,0.027959,0.027959
s_2,-21.00200000000001,63.937,0.127551,0.127551,0.127551,0.127551,0.127551
s_20,-21.010999999999996,64.094,0.106122,0.106122,0.106122,0.106122,0.106122
s_21,-19.099999999999994,64.16,0.017755,0.017755,0.017755,0.017755,0.017755
s_22,-19.674000000000007,65.225,0.004398,0.004398,0.004398,0.004398,0.004398
s_3,-20.641999999999996,64.065,0.721429,0.721429,0.721429,0.721429,0.721429
s_4,-20.649,63.931,0.838776,0.838776,0.838776,0.838776,0.838776
s_5,-19.239000000000004,64.201,0.007694,0.007694,0.007694,0.007694,0.007694
s_6,-21.789999999999992,64.133,0.011735,0.011735,0.011735,0.011735,0.011735
s_7,-19.619,64.167,0.01551,0.01551,0.01551,0.01551,0.01551
s_8,-20.389999999999986,63.84,0.165306,0.165306,0.165306,0.165306,0.165306
s_9,-19.840000000000003,64.1,0.028878,0.028878,0.028878,0.028878,0.028878
t_0,-18.704800000000006,63.50936,0.009386968,0.008200747,0.010744772,0.0072034155,0.012232414
t_1,-18.76669000000001,63.52749,0.007172656,0.006267827,0.008208106,0.0055939048,0.0091969725
t_10,-18.41828000000001,63.58345,0.009608455,0.008393699,0.010999014,0.0070959353,0.013010605
t_100,-18.728049999999996,63.67405,0.012869375,0.011266039,0.014700891,0.010297295,0.016083915
t_1000,-17.90601000000001,63.98546,0.005863851,0.005125765,0.0067082173,0.0040492625,0.008491607
t_1001,-18.071519999999992,63.99438,0.0057921214,0.005069246,0.0066180793,0.004148958,0.008086048
t_1002,-17.80261999999999,63.9946,0.0051438445,0.0044944375,0.005887085,0.0034731892,0.007618109
