# 20000620_M6.46_Iceland median gmf, Stations:None, gmlt:GEM, Rupture:GCMT
custom_site_id,lon,lat,"KothaEtAl2020ESHM20SlopeGeology
KothaEtAl2020ESHM20SlopeGeology.dl2l
'PGA' = -0.305692","KothaEtAl2020ESHM20SlopeGeology
KothaEtAl2020ESHM20SlopeGeology.dl2l
'PGA' = -0.787319","KothaEtAl2020ESHM20SlopeGeology
KothaEtAl2020ESHM20SlopeGeology.dl2l
'PGA' = 0.175935","KothaEtAl2020ESHM20SlopeGeology
c3_epsilon = -1.73205100
KothaEtAl2020ESHM20SlopeGeology.dl2l
'PGA' = -0.305692","KothaEtAl2020ESHM20SlopeGeology
c3_epsilon = 1.73205100
KothaEtAl2020ESHM20SlopeGeology.dl2l
'PGA' = -0.305692"
t_0,-18.704800000000006,63.50936,0.012039683,0.0074378448,0.019488705,0.008646708,0.016764063
t_1,-18.76669000000001,63.52749,0.0091903545,0.005677594,0.014876481,0.0067072148,0.012592801
t_10,-18.41828000000001,63.58345,0.012285588,0.00758976,0.019886754,0.008477701,0.017803848
t_100,-18.728049999999996,63.67405,0.01635336,0.010102737,0.02647128,0.012207962,0.021906389
t_1000,-17.90601000000001,63.98546,0.0074729207,0.004616602,0.012096461,0.004809567,0.0116111385
t_1001,-18.071519999999992,63.99438,0.0073627774,0.0045485576,0.011918171,0.0049098306,0.011041214
t_1002,-17.80261999999999,63.9946,0.00656327,0.0040546404,0.010624004,0.004132062,0.010424943
t_1003,-17.968140000000005,64.00357,0.007982975,0.004931702,0.012922088,0.0052072387,0.012238326
t_1004,-17.67850999999999,63.95829,0.006342305,0.003918133,0.010266326,0.0038861684,0.010350769
t_1005,-17.575140000000005,63.96737,0.0047253175,0.0029191948,0.0076488997,0.0028325461,0.007882882
t_1006,-17.471730000000008,63.9764,0.0070382147,0.0043480503,0.011392799,0.004127272,0.012002229
t_1007,-17.740549999999985,63.97646,0.0062698037,0.0038733433,0.010148968,0.0038944166,0.01009405
t_1008,-17.368300000000005,63.98541,0.006178045,0.0038166568,0.0100004375,0.003543995,0.010769834
t_1009,-17.63714999999999,63.98555,0.0052157408,0.0032221668,0.00844275,0.0031691857,0.008583892
t_101,-18.892859999999985,63.68261,0.013090301,0.008086893,0.021189349,0.010117245,0.016937023
t_1010,-17.53372999999999,63.9946,0.005068207,0.0031310243,0.008203937,0.0030124232,0.0085269315
t_1011,-17.430270000000007,64.00362,0.005798961,0.0035824673,0.009386812,0.0033715377,0.009974068
t_1012,-17.699209999999994,64.00371,0.0057052914,0.0035246003,0.009235189,0.0035135166,0.009264322
t_1013,-17.595759999999984,64.01278,0.0060880934,0.0037610868,0.009854833,0.0036673255,0.010106788
t_1014,-16.707060000000013,63.94779,0.0030842389,0.0019053732,0.0049924757,0.0015345342,0.0061989683
t_1015,-16.768810000000002,63.96614,0.0030549942,0.0018873065,0.004945137,0.0015408816,0.006056915
t_1016,-16.66529,63.97492,0.0033182474,0.0020499383,0.0053712665,0.001637252,0.0067251497
t_1017,-16.975760000000008,63.94847,0.0052803215,0.0032620635,0.008547287,0.0027828403,0.010019186
t_1018,-17.24445,63.94893,0.0056276447,0.003476632,0.009109502,0.0031415743,0.010081056
t_1019,-16.872299999999996,63.95732,0.0045132292,0.0027881714,0.007305591,0.0023269497,0.008753622
t_102,-18.79011,63.69212,0.013249591,0.008185298,0.021447191,0.010046671,0.017473614
t_1020,-17.14103,63.95787,0.005423816,0.0033507112,0.008779563,0.0029621138,0.009931346
t_1021,-17.03757999999999,63.96677,0.0053749937,0.0033205498,0.008700534,0.0028716866,0.0100604845
t_1022,-17.306360000000012,63.96718,0.00585918,0.0036196692,0.009484289,0.0033158301,0.010353361
t_1023,-16.9341,63.97564,0.004793718,0.002961451,0.0077596195,0.0025054242,0.009171993
t_1024,-17.202910000000003,63.97613,0.005238674,0.0032363348,0.008479873,0.0029002007,0.009462692
t_1025,-16.83059,63.98447,0.0030671062,0.001894789,0.004964743,0.0015681077,0.0059990394
t_1026,-17.099440000000016,63.98505,0.0052380254,0.003235934,0.008478823,0.0028367029,0.009672113
