# 20101103_M5.52_Kraljevo median gmf, Stations:None, gmlt:GEM, Rupture:GCMT
custom_site_id,lon,lat,KothaEtAl2020ESHM20SlopeGeology,"KothaEtAl2020ESHM20SlopeGeology
c3_epsilon = -1.73205100","KothaEtAl2020ESHM20SlopeGeology
c3_epsilon = 1.73205100","KothaEtAl2020ESHM20SlopeGeology
sigma_mu_epsilon = -1.35563000","KothaEtAl2020ESHM20SlopeGeology
sigma_mu_epsilon = 1.35563000"
s_0,20.35669999999999,43.906,0.035200734,0.035039805,0.035362404,0.021746216,0.056979645
s_1,20.715300000000013,43.8886,0.04294155,0.043451037,0.042438038,0.026528317,0.06950975
s_10,20.545600000000007,43.1573,0.015523439,0.014680743,0.016414508,0.00959003,0.025127886
s_11,19.40610000000001,43.8648,0.00580698,0.0050322046,0.0067010424,0.0035874208,0.009399794
s_12,19.71010000000001,43.8494,0.011513914,0.010495978,0.012630573,0.007113036,0.018637644
s_13,21.195999999999998,43.419,0.019823976,0.01907417,0.020603256,0.012246803,0.032089192
s_14,21.947000000000003,43.404,0.004844823,0.00439638,0.005339009,0.002993022,0.007842345
s_15,19.753899999999987,44.2426,0.0061244555,0.0053747552,0.0069787283,0.00378355,0.009913694
s_16,20.474400000000003,45.5377,0.0015536638,0.001279888,0.0018860018,0.0009598183,0.002514925
s_17,21.815300000000008,42.8165,0.0033312046,0.0029238667,0.0037952906,0.0020579428,0.0053922413
s_18,22.233000000000004,43.8126,0.006308294,0.0052687493,0.007552944,0.003897121,0.010211274
s_19,23.799900000000008,44.325,0.0024927482,0.001609797,0.0038599856,0.0015399633,0.0040350268
s_2,21.21520000000001,44.2655,0.0095748,0.008663092,0.010582456,0.0059150946,0.015498787
s_20,22.776700000000005,45.3933,0.00068713265,0.00053811324,0.00087741995,0.00042449497,0.0011122659
s_21,21.137,45.3828,0.00210746,0.0017617359,0.0025210294,0.0013019411,0.0034113585
s_22,22.897999999999996,45.887,0.0004467545,0.0003315742,0.00060194544,0.00027599483,0.00072316424
s_23,21.64009999999999,45.6188,0.0010038028,0.00080688193,0.0012487825,0.0006201266,0.0016248617
s_24,23.769800000000004,45.446,0.00040773343,0.00029865126,0.0005566578,0.00025188847,0.0006600006
s_25,17.183899999999994,44.7488,0.0005913782,0.00033720126,0.0010371497,0.00036534006,0.0009572675
s_26,19.26079999999999,42.4297,0.0024326416,0.0020734656,0.0028540357,0.0015028309,0.003937732
s_27,20.658500000000004,43.735,0.16983443,0.17739293,0.162598,0.10491987,0.27491206
s_28,20.90639999999999,44.0056,0.026955485,0.026359215,0.027565243,0.01665249,0.04363301
s_29,19.90360000000001,44.2705,0.0096690925,0.00859538,0.01087693,0.0059733465,0.01565142
s_3,19.883100000000013,44.2726,0.007981952,0.007076977,0.009002653,0.0049310694,0.0129204355
s_30,21.711900000000014,43.5532,0.009354528,0.008377809,0.010445117,0.005779016,0.015142232
s_31,22.533600000000007,44.2204,0.002615675,0.0022701267,0.0030138213,0.0016159049,0.0042340094
s_4,20.483299999999986,44.105,0.018332232,0.01765324,0.019037342,0.011325238,0.029674498
s_5,20.471499999999992,44.8093,0.0039348775,0.003542875,0.004370253,0.002430878,0.0063694105
s_6,19.883100000000013,43.5205,0.011588346,0.0108786365,0.012344356,0.007159018,0.018758127
s_7,21.80680000000001,44.2409,0.005032211,0.0046149893,0.005487153,0.0031087862,0.008145671
s_8,21.25999999999999,43.971,0.01772172,0.016782306,0.018713718,0.010948078,0.028686257
s_9,19.691900000000004,44.7581,0.0050778906,0.0040314384,0.0063959737,0.003137006,0.008219613
t_0,19.696940000000012,43.20598,0.00710993,0.006279555,0.008050109,0.004392354,0.011508888
t_1,19.607110000000006,43.23871,0.0068010497,0.0059552216,0.0077670123,0.0042015347,0.0110089015
t_10,19.652019999999993,43.27142,0.0070502236,0.0062382794,0.0079678465,0.0043554683,0.011412241
t_100,20.10118,43.36945,0.017783087,0.01697265,0.018632222,0.010985988,0.028785592
t_1000,22.212220000000002,43.23871,0.0030116648,0.0026410224,0.0034343232,0.0018605383,0.004875
t_1001,22.16730000000001,43.23871,0.0033601585,0.002959639,0.0038148789,0.0020758298,0.005439109
t_1002,22.257139999999993,43.23871,0.0027216347,0.002376153,0.0031173478,0.0016813643,0.0044055264
t_1003,22.16730000000001,43.27142,0.0033860186,0.002987534,0.0038376534,0.0020918055,0.005480969
t_1004,22.257139999999993,43.27142,0.0028106144,0.0024578467,0.0032140142,0.001736334,0.0045495587
t_1005,22.212220000000002,43.27142,0.002999573,0.0026348215,0.0034148188,0.0018530682,0.0048554274
t_1006,22.212220000000002,43.30412,0.0027019312,0.0023770663,0.0030711943,0.0016691919,0.0043736324
t_1007,22.16730000000001,43.30412,0.003091975,0.0027324487,0.0034988069,0.0019101523,0.005004999
t_1008,22.34697,43.23871,0.002524433,0.0021844746,0.0029172972,0.0015595375,0.004086315
t_1009,22.30205000000001,43.23871,0.0027151215,0.0023599702,0.0031237195,0.0016773406,0.004394984
t_101,20.10118,43.40209,0.016356612,0.01568369,0.017058404,0.010104744,0.026476547
t_1010,22.391880000000015,43.27142,0.002380247,0.002053654,0.0027587782,0.0014704627,0.0038529204
t_1011,22.30205000000001,43.27142,0.0024365247,0.0021211943,0.002798731,0.0015052297,0.0039440175
t_1012,22.34697,43.27142,0.0023822752,0.002064675,0.0027487301,0.0014717156,0.0038562033
t_1013,22.34697,43.30412,0.0024296944,0.002108822,0.0027993897,0.0015010101,0.0039329613
t_1014,22.391880000000015,43.30412,0.0023743024,0.002051425,0.0027479979,0.0014667902,0.0038432977
t_1015,22.30205000000001,43.30412,0.002775592,0.0024199623,0.003183484,0.0017146979,0.0044928677
t_1016,22.34697,43.33679,0.002315955,0.0020127846,0.0026647898,0.0014307447,0.0037488507
t_1017,22.391880000000015,43.33679,0.0023229856,0.002009703,0.0026851038,0.0014350879,0.003760231
t_1018,22.436800000000005,43.27142,0.0024988726,0.0021462957,0.002909368,0.0015437469,0.00404494
t_1019,22.436800000000005,43.30412,0.002231689,0.0019194643,0.0025947008,0.0013786869,0.0036124485
t_102,20.05626000000001,43.40209,0.01601034,0.015257029,0.016800847,0.009890826,0.025916038
t_1020,22.481709999999993,43.30412,0.0021554285,0.0018454546,0.0025174676,0.0013315749,0.0034890054
t_1021,22.52663000000001,43.30412,0.0020450035,0.0017429427,0.0023994131,0.0012633569,0.00331026
t_1022,22.481709999999993,43.33679,0.0020797537,0.0017828838,0.0024260555,0.0012848247,0.00336651
t_1023,22.52663000000001,43.33679,0.002212476,0.0018879812,0.002592743,0.0013668175,0.0035813483
t_1024,22.436800000000005,43.33679,0.0021712603,0.0018698708,0.0025212285,0.0013413555,0.0035146326
t_1025,22.481709999999993,43.36945,0.0022488344,0.0019300247,0.0026203063,0.0013892789,0.003640202
t_1026,22.52663000000001,43.36945,0.0020962046,0.001790757,0.002453752,0.0012949877,0.0033931392
t_1027,22.436800000000005,43.36945,0.0023285428,0.0020076549,0.002700719,0.001438521,0.0037692266
t_1028,22.257139999999993,43.30412,0.0028620753,0.0025066484,0.0032678996,0.0017681253,0.004632859
t_1029,22.212220000000002,43.33679,0.002816928,0.0024817907,0.0031973217,0.0017402343,0.0045597786
t_103,20.14609999999999,43.40209,0.018528042,0.01787247,0.019207664,0.011446205,0.029991457
t_1030,22.257139999999993,43.33679,0.0026225492,0.002300081,0.002990227,0.0016201516,0.0042451364
