FIELD,DESCRIPTION
Year,2012
Country,Costa Rica
Region,Caribbean Central America
Event Name,Nicoya
Local Date,05/09/2012
Local Time,08:42:00
Longitude (decimal degrees),-85.545
Latitude (decimal degrees),9.828
Depth (km),15.4
Mw,7.6
Max Intensity (MMI),VII
Fault mechanism,Purely inverse
Tectonic region type,Subduction interface
Fatalities,1-2
Injured,20-225
Displaced population,~1474
Affected population,~537
Affected units,
Damaged units,
Collapsed units,
Economic losses,45 M USD
Insured losses,32 M USD
Earthquake-triggered effects,"Tsunami, landslides "
USGS event ID,usp000jrsw
Wikipedia page,https://en.wikipedia.org/wiki/2012 Costa Rica earthquake
