# 20170919_M7.1_Puebla median gmf, Stations:Seismic, gmlt:GEM, Rupture:USGS
custom_site_id,lon,lat,AbrahamsonEtAl2015SSlab,Kanno2006Deep,ParkerEtAl2020SSlab
m_137,-98.2064,19.0496,0.12994649,0.1273096,0.1310366
m_138,-99.1381,19.3494,0.15048884,0.14985141,0.15020481
m_139,-99.2422,18.9788,0.092431106,0.1991149,0.13409282
m_140,-98.9477,19.2772,0.1530359,0.19374295,0.15516771
m_141,-99.0999,19.2952,0.16115858,0.16405398,0.1605998
m_142,-99.157,19.2862,0.09620434,0.09413486,0.09983317
m_143,-99.2427,19.3222,0.081106246,0.08393291,0.083262555
m_144,-99.0333,19.3043,0.12600547,0.10618058,0.1395235
m_145,-99.138,19.2862,0.1478051,0.1360716,0.16302045
m_146,-99.1571,19.3494,0.1217407,0.125413,0.1222187
m_147,-99.1667,19.4127,0.106235,0.10735296,0.10626107
m_148,-99.1667,19.4217,0.108902484,0.10845291,0.10938826
m_149,-99.1572,19.4398,0.110176615,0.10808557,0.11029148
m_150,-99.1667,19.4398,0.10998278,0.10975714,0.10989714
m_151,-98.2445,19.0316,0.12235487,0.17823249,0.12952334
m_152,-99.1856,19.3042,0.07981763,0.08577547,0.079616845
m_153,-99.1857,19.3494,0.08626369,0.094260134,0.08652333
m_154,-99.1952,19.3584,0.08186339,0.08508727,0.08182391
m_155,-99.1572,19.4127,0.120228805,0.120380886,0.12011228
m_156,-99.1667,19.4308,0.11531675,0.11569688,0.1154072
m_157,-99.1666,19.3585,0.10369891,0.10621867,0.104318894
m_158,-99.1571,19.3765,0.13027537,0.1302095,0.13062243
m_159,-99.2422,18.9607,0.09525049,0.21225254,0.13898383
m_160,-99.2809,19.3583,0.077609,0.08318405,0.08048552
m_161,-99.0998,18.988,0.09076275,0.1755755,0.13163698
m_162,-99.1476,19.3585,0.13268279,0.13060491,0.13330317
m_163,-99.2047,19.3494,0.078867696,0.08093221,0.0787528
m_164,-99.1381,19.4217,0.10808288,0.10666429,0.10853532
m_165,-99.1857,19.4036,0.0721984,0.07120893,0.0726023
m_166,-98.2256,19.0135,0.10294842,0.14286147,0.11126583
m_167,-99.1476,19.3494,0.13934247,0.13981634,0.13961975
m_169,-99.081,19.4308,0.11597388,0.11011373,0.11761609
m_170,-99.1762,19.4036,0.08517666,0.084739104,0.08543565
m_171,-99.1476,19.4308,0.11550625,0.1184633,0.11465904
m_172,-99.2618,19.3583,0.08419206,0.088041686,0.084819146
m_173,-99.138,19.3404,0.1746279,0.17367223,0.17483357
m_174,-98.2158,19.0767,0.18219177,0.20459451,0.19068466
m_175,-99.1571,19.3585,0.115084425,0.11366137,0.11630608
m_176,-99.1476,19.3675,0.14805461,0.14601062,0.14846537
m_177,-99.1476,19.3856,0.12177547,0.1196065,0.12218044
m_178,-99.1857,19.3584,0.08605112,0.09066455,0.08615636
m_179,-99.2232,18.9156,0.10343781,0.24773547,0.15291728
m_180,-99.2326,18.9065,0.10350328,0.25031298,0.15278201
m_181,-99.1858,19.4398,0.07110958,0.071866065,0.07125418
m_182,-99.2714,19.3674,0.08001097,0.083147556,0.08098079
m_183,-98.1969,19.0495,0.1636976,0.16253476,0.16487665
m_184,-99.1856,19.3223,0.07862978,0.08800571,0.07904908
m_185,-99.1952,19.3404,0.07975991,0.08682822,0.07982376
m_186,-99.1762,19.3675,0.089907825,0.091381535,0.09000502
m_187,-99.1762,19.3765,0.08787921,0.088872425,0.08773211
m_188,-99.1667,19.4036,0.095712334,0.094447255,0.09625491
m_189,-99.1381,19.4308,0.10377064,0.107319735,0.103439026
m_190,-99.2523,19.3403,0.08581893,0.091516405,0.08723881
m_191,-99.1572,19.4579,0.09961235,0.0983847,0.09872188
m_192,-99.1762,19.4488,0.09318463,0.0946011,0.09302634
m_193,-99.1761,19.3404,0.092024386,0.104149856,0.09297662
m_194,-99.1572,19.4308,0.10720328,0.10666781,0.10723823
m_195,-99.2523,19.3764,0.078702964,0.07952678,0.078758344
m_196,-99.2143,19.4397,0.062964715,0.06468651,0.06366066
m_197,-98.2066,19.0044,0.07961004,0.1142574,0.08900157
m_198,-99.1761,19.3223,0.085781306,0.09565091,0.087363906
m_199,-99.1666,19.3494,0.106553845,0.11375733,0.10707469
m_200,-99.1666,19.3765,0.10124255,0.10098116,0.10145795
m_201,-99.1571,19.3856,0.11069935,0.10909137,0.11126759
m_202,-99.1571,19.3946,0.09770427,0.09614716,0.09796859
m_203,-99.1667,19.3946,0.09175661,0.0898949,0.09219286
m_204,-99.1857,19.3856,0.078510836,0.079292774,0.07843359
m_205,-99.2327,18.9156,0.1032614,0.24885456,0.15182142
m_206,-99.1572,19.4488,0.10094248,0.09853597,0.1006741
m_207,-99.5348,18.3455,0.07484934,0.15166117,0.09494292
m_208,-99.1286,19.3766,0.11344385,0.114460506,0.11270714
m_209,-99.2047,19.3403,0.08003195,0.084865496,0.07987828
m_210,-99.1476,19.4037,0.10568891,0.10521245,0.10594648
m_211,-99.1762,19.3856,0.084526435,0.084925964,0.08444797
m_212,-99.1762,19.3946,0.083516635,0.08320219,0.08359919
m_213,-99.1857,19.3946,0.07418111,0.07316943,0.07436843
m_214,-99.1572,19.4217,0.11102019,0.11058053,0.11117929
m_215,-99.2714,19.3583,0.07858642,0.08126996,0.08031997
m_216,-98.2825,19.0499,0.13472444,0.23036104,0.15279514
m_217,-98.197,19.0405,0.14724088,0.14713636,0.14902367
m_218,-99.1475,19.2952,0.1334388,0.1338388,0.13869628
m_219,-99.1571,19.3314,0.12923342,0.13131918,0.13461919
m_220,-99.1381,19.3585,0.13782156,0.13533047,0.13785999
m_221,-99.1857,19.4307,0.067527644,0.06838541,0.06789265
m_222,-99.1762,19.4398,0.08737442,0.087265186,0.08769896
m_223,-99.2619,19.3674,0.08068437,0.08136958,0.08074831
m_224,-99.2048,19.4307,0.058859702,0.05882654,0.058644157
m_225,-99.281,19.4306,0.066775076,0.08032839,0.07154015
m_226,-99.0999,19.3133,0.12079949,0.114477195,0.12492177
m_227,-98.2254,19.0496,0.12686995,0.12305496,0.127764
m_228,-99.1666,19.2952,0.07655786,0.076209255,0.07776069
m_229,-99.6042,19.2491,0.09806727,0.12028536,0.11010653
m_230,-99.0714,19.4399,0.10624471,0.101031296,0.108118676
m_231,-99.1857,19.3765,0.08208118,0.08378428,0.08187283
m_232,-99.1476,19.4127,0.11574202,0.11469362,0.115944006
m_233,-99.1286,19.4308,0.08620992,0.08556941,0.08628323
m_234,-99.1762,19.4127,0.08840723,0.09004792,0.08892896
m_235,-99.1762,19.4217,0.08663305,0.08609389,0.087669
m_236,-98.2158,19.0677,0.19032396,0.2052441,0.1929101
m_237,-99.1571,19.3404,0.1296236,0.13597673,0.13067658
m_238,-99.1761,19.3313,0.08785199,0.10250917,0.08909193
m_239,-99.1,19.4308,0.08909433,0.089435816,0.08904765
m_240,-99.1857,19.3675,0.08274698,0.08373854,0.08286539
m_241,-99.1382,19.4669,0.09970074,0.09655697,0.09968344
m_242,-99.2619,19.3764,0.076489195,0.076752804,0.07682243
m_243,-99.2048,19.4398,0.06289144,0.06321498,0.06323008
m_244,-99.1763,19.503,0.082138605,0.08297991,0.08276284
m_245,-98.2541,19.0226,0.11790209,0.1740506,0.13007754
m_246,-99.2335,19.503,0.062703885,0.07027318,0.06780891
m_247,-99.1571,19.3042,0.1076634,0.10613519,0.11330979
m_248,-99.1095,19.3766,0.1182166,0.11573914,0.11931601
m_249,-99.1666,19.3313,0.10511678,0.11425968,0.107870765
m_250,-99.2332,19.2861,0.08440878,0.09076055,0.08772465
m_251,-99.2048,19.4036,0.06355923,0.0641147,0.06326978
m_252,-99.1762,19.4307,0.08668891,0.08584029,0.087557435
m_253,-99.2049,19.5392,0.06819754,0.08407785,0.07486234
m_254,-98.1971,19.0224,0.099502094,0.11317101,0.10368764
m_255,-99.1856,19.3313,0.07889235,0.091762185,0.079317346
m_256,-99.1761,19.3585,0.09330942,0.09806948,0.09354507
m_257,-99.576,19.3395,0.08396309,0.13787077,0.09600357
m_258,-99.2142,19.3313,0.082127735,0.08645044,0.08204594
m_259,-99.1667,19.4488,0.10168735,0.100600354,0.10150788
m_260,-99.1477,19.4669,0.099444985,0.09725539,0.0988412
m_261,-99.2524,19.3855,0.075828485,0.0779995,0.076206364
m_262,-99.224,19.5301,0.06872057,0.08819914,0.075251736
m_263,-99.1856,19.3404,0.08259304,0.0926484,0.0831258
m_264,-99.1953,19.4398,0.06808456,0.070890486,0.068530396
m_267,-99.2621,19.512,0.06102215,0.07839414,0.0685643
m_268,-99.2237,19.3042,0.09031512,0.09519185,0.09129289
m_269,-99.1953,19.4127,0.06185269,0.0617327,0.061699647
m_270,-99.1953,19.4307,0.0625642,0.06540708,0.062977344
m_271,-99.2327,18.9788,0.093001924,0.20005248,0.13517389
m_272,-99.2335,19.5301,0.062087305,0.07656519,0.06917968
m_273,-99.2809,19.3674,0.077574946,0.083321504,0.08000323
m_274,-99.262,19.4849,0.056659624,0.0650945,0.062144
m_275,-99.2146,19.6476,0.05813738,0.10543136,0.07280059
m_276,-99.1953,19.4488,0.0759377,0.07910532,0.07658115
m_277,-99.2241,19.5934,0.064723805,0.10568286,0.07667395
m_278,-99.6519,19.2851,0.083351836,0.119867645,0.09587061
m_279,-99.2904,19.3583,0.07855714,0.088776775,0.082643926
m_280,-99.2239,19.4759,0.07374685,0.08261291,0.076867715
m_281,-99.2145,19.5482,0.056748435,0.06678856,0.06410674
m_283,-99.2048,19.4217,0.057634678,0.057297643,0.05708397
m_285,-95.8675,18.099,0.020174773,0.030736,0.023630012
m_286,-99.2432,19.6295,0.05174963,0.08496729,0.06499169
m_287,-96.1059,19.1098,0.021996515,0.036164414,0.026570894
m_288,-98.2065,19.0405,0.117759086,0.118562184,0.11825101
m_289,-96.7216,17.059,0.056251444,0.05568189,0.05708746
m_290,-99.2142,19.3403,0.079763845,0.08193957,0.079640806
m_291,-99.1856,19.3133,0.0816934,0.09028058,0.08181867
m_292,-96.7215,17.0681,0.027816799,0.029420096,0.028683472
m_293,-99.1857,19.4217,0.06765201,0.06842541,0.06814069
m_294,-99.2143,19.4307,0.06050804,0.061819475,0.06068026
m_295,-101.199,19.7065,0.009730921,0.008971921,0.009240029
m_296,-99.1287,19.5121,0.07949582,0.068287544,0.09016514
m_297,-94.912,17.9482,0.006224902,0.0044734785,0.005714395
s_0,-98.21538,19.05778,0.20996,0.20996,0.20996
s_1,-98.19149,19.04349,0.18751,0.18751,0.18751
s_10,-96.71327,17.04888,0.09939,0.09939,0.09939
s_100,-99.1567,19.4097,0.11199,0.11199,0.11199
s_101,-99.1353,19.4198,0.10819,0.10819,0.10819
s_102,-99.125,19.4053,0.10629,0.10629,0.10629
s_103,-99.1189,19.3656,0.10038,0.10038,0.10038
s_104,-99.1401,19.4385,0.09707,0.09707,0.09707
s_105,-99.1301,19.4251,0.0964,0.0964,0.0964
s_106,-99.0997,19.4055,0.09626,0.09626,0.09626
s_107,-99.1569,19.4263,0.09581,0.09581,0.09581
s_108,-99.1047,19.4653,0.09514,0.09514,0.09514
s_109,-99.1681,19.3832,0.09489,0.09489,0.09489
s_11,-99.14868,19.39469,0.09345,0.09345,0.09345
s_110,-99.1253,19.3811,0.09483,0.09483,0.09483
s_111,-99.1703,19.3714,0.09396,0.09396,0.09396
s_112,-99.21,19.299,0.09216,0.09216,0.09216
s_113,-99.0963,19.4312,0.09052,0.09052,0.09052
s_114,-99.0869,19.3919,0.09045,0.09045,0.09045
s_115,-99.1183,19.4258,0.08983,0.08983,0.08983
s_116,-99.2262,19.3656,0.087,0.087,0.087
s_117,-99.0491,19.2016,0.08556,0.08556,0.08556
s_118,-99.1775,19.4017,0.08391,0.08391,0.08391
s_119,-99.1336,19.45,0.08285,0.08285,0.08285
s_12,-99.13792,19.44986,0.08718,0.08718,0.08718
s_120,-99.1425,19.4536,0.08246,0.08246,0.08246
s_121,-99.1772,19.3885,0.08213,0.08213,0.08213
s_122,-99.0537,19.3858,0.08039,0.08039,0.08039
s_123,-99.2655,19.3696,0.07926,0.07926,0.07926
s_124,-99.128,19.4359,0.07801,0.07801,0.07801
s_125,-99.1829,19.5005,0.07717,0.07717,0.07717
s_126,-99.0847,19.3398,0.07274,0.07274,0.07274
s_127,-99.0986,19.4501,0.07266,0.07266,0.07266
s_128,-99.182,19.4383,0.07216,0.07216,0.07216
s_129,-99.1708,19.2922,0.06658,0.06658,0.06658
s_13,-100.15962,18.90405,0.0849,0.0849,0.0849
s_130,-99.0642,19.4619,0.05999,0.05999,0.05999
s_131,-99.19,19.4253,0.05827,0.05827,0.05827
s_132,-99.0,19.241,0.14569,0.14569,0.14569
s_133,-99.554,19.2222,0.1334,0.1334,0.1334
s_134,-99.129,19.25,0.11,0.11,0.11
s_135,-99.849,19.2335,0.10585,0.10585,0.10585
s_136,-99.1212,19.2034,0.08886,0.08886,0.08886
s_14,-96.72618,17.02623,0.08106,0.08106,0.08106
s_15,-97.86564,17.96949,0.07837,0.07837,0.07837
s_16,-96.71874,17.08287,0.07173,0.07173,0.07173
s_168,-97.80358,17.82997,0.2324,0.2324,0.2324
s_17,-99.5608,18.09556,0.06725,0.06725,0.06725
s_18,-96.74416,17.07839,0.06635,0.06635,0.06635
s_19,-96.72161,17.00155,0.06486,0.06486,0.06486
s_2,-98.55972,17.79834,0.17378,0.17378,0.17378
s_20,-99.19525,19.4045,0.06359,0.06359,0.06359
s_21,-96.7169,17.06139,0.06332,0.06332,0.06332
s_22,-99.87147,16.86225,0.062,0.062,0.062
s_23,-99.18108,19.33024,0.05998,0.05998,0.05998
s_24,-99.85157,16.84851,0.05988,0.05988,0.05988
s_25,-96.72297,17.05122,0.058,0.058,0.058
s_26,-100.5238,18.12236,0.05557,0.05557,0.05557
s_265,-98.62815,19.06705,0.1148,0.1148,0.1148
s_266,-98.56647,17.56267,0.11284,0.11284,0.11284
s_27,-96.72604,17.06148,0.05232,0.05232,0.05232
s_28,-99.79015,16.78853,0.04571,0.04571,0.04571
s_282,-99.61972,17.92489,0.07604,0.07604,0.07604
s_284,-97.36197,18.42023,0.07272,0.07272,0.07272
s_29,-98.18227,19.00147,0.04055,0.04055,0.04055
s_298,-100.26726,17.0485,0.00823,0.00823,0.00823
s_299,-101.46492,17.60695,0.00427,0.00427,0.00427
s_3,-97.38318,18.47755,0.16973,0.16973,0.16973
s_30,-99.23327,16.7587,0.03735,0.03735,0.03735
s_300,-94.8838,17.09099,0.00305,0.00305,0.00305
s_301,-99.03549,20.30036,0.00278,0.00278,0.00278
s_302,-103.34554,18.28854,0.00218,0.00218,0.00218
s_303,-94.4225,18.03369,0.00211,0.00211,0.00211
s_31,-99.59754,17.09008,0.03699,0.03699,0.03699
s_32,-99.83503,16.88879,0.03639,0.03639,0.03639
s_33,-99.8865,16.87429,0.03605,0.03605,0.03605
s_34,-96.70316,17.06504,0.02295,0.02295,0.02295
s_35,-99.64526,16.83733,0.02108,0.02108,0.02108
s_36,-100.43227,17.21336,0.01904,0.01904,0.01904
s_37,-100.08996,16.99779,0.01871,0.01871,0.01871
s_38,-99.87852,17.03658,0.0185,0.0185,0.0185
s_39,-101.32369,18.53505,0.0185,0.0185,0.0185
s_4,-98.44541,18.56908,0.15769,0.15769,0.15769
s_40,-96.7238,17.06734,0.01846,0.01846,0.01846
s_41,-97.82069,16.28435,0.01778,0.01778,0.01778
s_42,-96.41477,19.04432,0.01716,0.01716,0.01716
s_43,-102.08509,19.02074,0.01402,0.01402,0.01402
s_44,-96.72923,16.65497,0.01314,0.01314,0.01314
s_45,-100.9355,17.2808,0.01222,0.01222,0.01222
s_46,-97.09412,18.86076,0.01164,0.01164,0.01164
s_47,-98.98399,16.61081,0.01093,0.01093,0.01093
s_48,-99.81885,16.91426,0.01084,0.01084,0.01084
s_49,-101.26261,17.5354,0.01025,0.01025,0.01025
