STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,REFERENCES,STATION_TYPE,SOIL_TYPE,PGA_VALUE_V,SA(0.3)_VALUE_V,SA(0.6)_VALUE_V,SA(1.0)_VALUE_V,PGA_VALUE_1,SA(0.3)_VALUE_1,SA(0.6)_VALUE_1,SA(1.0)_VALUE_1,PGA_VALUE_2,SA(0.3)_VALUE_2,SA(0.6)_VALUE_2,SA(1.0)_VALUE_2,PGA_VALUE,SA(0.3)_VALUE,SA(0.6)_VALUE,SA(1.0)_VALUE,PGA_LN_SIGMA,SA(0.3)_LN_SIGMA,SA(0.6)_LN_SIGMA,SA(1.0)_LN_SIGMA
CCCC,CCCC,-43.538,172.647,Stations_GeoNet,seismic, ,0.7950564529310065,0.5561384700828457,0.2645802341896084,0.18794716920566137,0.3748567826157316,1.0151467586249667,1.3002419045841183,0.4629849226265455,0.48806096192650594,0.7792853217631006,1.3461681177857865,0.7956246364639159,0.48806096192650594,1.0151467586249667,1.3461681177857865,0.7956246364639159,0,0,0,0
PYZ,PYZ,-46.166,166.681,Stations_GeoNet,seismic, ,0.00025059476734027946,0.0003753256981771451,0.0005198551452779669,0.0006435752449030554,0.0003936392455442479,0.0006769347549653732,0.0011573343649834177,0.000743177979065382,0.00045159181331215037,0.0009948023336804946,0.001016911519900186,0.00108874583556125,0.00045159181331215037,0.0009948023336804946,0.0011573343649834177,0.00108874583556125,0,0,0,0
RHSC,RHSC,-43.536,172.564,Stations_GeoNet,seismic, ,0.19444889492458767,0.22922546142337327,0.13786323653609808,0.09982931620820916,0.2543600327378019,0.743962927168722,0.5105869917715786,0.21661315939953726,0.2975926851278416,0.7852749062135442,0.8689155717472208,0.27072835557573055,0.2975926851278416,0.7852749062135442,0.8689155717472208,0.27072835557573055,0,0,0,0
KPOC,KPOC,-43.376,172.664,Stations_GeoNet,seismic, ,0.06086792906976013,0.1281546746916755,0.08456860802794795,0.03731970169853174,0.18111446703367398,0.4770156485979509,0.3505981545493288,0.15835391887890024,0.22077599310607599,0.5476033006748217,0.3921633307967469,0.17470297910559707,0.22077599310607599,0.5476033006748217,0.3921633307967469,0.17470297910559707,0,0,0,0
CECS,CECS,-42.813,173.275,Stations_GeoNet,seismic, ,0.007351479520613022,0.021403388458723825,0.01501976041263992,0.015741211924867805,0.022603436226023323,0.05921364322809391,0.02732819051564094,0.034936779748443635,0.01631332950611484,0.04343633738109249,0.0322179530496048,0.02614171457565996,0.022603436226023323,0.05921364322809391,0.0322179530496048,0.034936779748443635,0,0,0,0
SHLC,SHLC,-43.505,172.663,Stations_GeoNet,seismic, ,0.4864129815991136,0.714281600516015,0.26444204507221813,0.23674342353260466,0.3749141877822798,0.8804018380785565,0.7945177589786987,0.8024712276216802,0.2966925517013192,1.403220054743119,0.8308017596178111,0.8841460883202631,0.3749141877822798,1.403220054743119,0.8308017596178111,0.8841460883202631,0,0,0,0
HVSC,HVSC,-43.580,172.709,Stations_GeoNet,seismic, ,2.3072340923468757,1.9335019319386013,0.6074066349472951,0.2144147234546458,1.279094338295535,3.739278602376955,1.3758052634889004,0.4707573557528191,1.6306043035758016,3.5770299769154414,2.0149690776914593,0.9379654174239873,1.6306043035758016,3.739278602376955,2.0149690776914593,0.9379654174239873,0,0,0,0
FGPS,FGPS,-43.463,170.020,Stations_GeoNet,seismic, ,0.002635219091669135,0.008085443676788234,0.005240708545472134,0.005595658160689567,0.004714667402154687,0.009420139985582165,0.0101482051207814,0.006796005665517421,0.004173785630351542,0.007916444233227314,0.007833521027282592,0.007552883408418201,0.004714667402154687,0.009420139985582165,0.0101482051207814,0.007552883408418201,0,0,0,0
SMTC,SMTC,-43.468,172.614,Stations_GeoNet,seismic, ,0.16667755371933682,0.18157336534429638,0.12543935628142364,0.10690894638477834,0.1424158385040563,0.3847379034200299,0.3651219236603563,0.3190336017538736,0.18288902064954346,0.5763682230971064,0.36747603156458813,0.4435779670840077,0.18288902064954346,0.5763682230971064,0.36747603156458813,0.4435779670840077,0,0,0,0
TPLC,TPLC,-43.550,172.472,Stations_GeoNet,seismic, ,0.15482147899242715,0.10518996983112494,0.09065582421609417,0.0665187084098855,0.10171450606179892,0.15204060329271143,0.088781578202587,0.0819392253816841,0.12790639101547566,0.38895497527344314,0.20294894154051146,0.1168329894472766,0.12790639101547566,0.38895497527344314,0.20294894154051146,0.1168329894472766,0,0,0,0
BMTS,BMTS,-41.191,174.926,Stations_GeoNet,seismic, ,0.0003836738803897672,0.0004562828600761468,0.0004781672530331187,0.00040074300978917794,0.0005120271959253771,0.0009111355850678142,0.0009062785262882478,0.0006788210378208476,0.0005018830424693017,0.0009781061436220217,0.0010235339289717026,0.0008066375944050258,0.0005120271959253771,0.0009781061436220217,0.0010235339289717026,0.0008066375944050258,0,0,0,0
HPSC,HPSC,-43.502,172.702,Stations_GeoNet,seismic, ,1.0404886212674607,0.9084043668415005,0.6618348755543322,0.3700440518881369,0.25808536556761075,0.32650361259053795,0.34977469477778256,0.48401427452799484,0.2000674195245865,0.3046495977472615,0.20284980952784315,0.23932134152253157,0.25808536556761075,0.32650361259053795,0.34977469477778256,0.48401427452799484,0,0,0,0
CHHC,CHHC,-43.536,172.628,Stations_GeoNet,seismic, ,0.6225170831553919,0.6164446309464219,0.2921192156760477,0.13130327429174107,0.3852102248554443,1.1200092865347029,0.7976754358008782,0.7890880792081963,0.34951772407897264,0.9744620044382218,1.1822193952463544,0.7599642083602712,0.3852102248554443,1.1200092865347029,1.1822193952463544,0.7890880792081963,0,0,0,0
SCAC,SCAC,-42.939,172.922,Stations_GeoNet,seismic, ,0.0242521228775701,0.08306918165999408,0.05289495438413283,0.04294242417955836,0.053139308906111876,0.18643768489285706,0.09346216647299972,0.051450879209972065,0.05060564062038814,0.24727334624824115,0.10161710948440314,0.021527341948216764,0.053139308906111876,0.24727334624824115,0.10161710948440314,0.051450879209972065,0,0,0,0
WAKC,WAKC,-42.963,172.705,Stations_GeoNet,seismic, ,0.06356448937628977,0.08204687263945476,0.056945572753759034,0.025253657075490647,0.07063799920310546,0.20892617979591221,0.17369070658651842,0.036136337986490595,0.08264004758860113,0.2183014237831967,0.15855032583023712,0.06651327376947411,0.08264004758860113,0.2183014237831967,0.17369070658651842,0.06651327376947411,0,0,0,0
