FIELD,DESCRIPTION
Year,2020
Country,Turkey
Region,Europe
Event Name,AegeanSea 2020
Local Date,30/10/2020
Local Time,14:51:27
Latitude (decimal degrees),37.8973
Longitude (decimal degrees),26.7838
Depth (km),21
Mw,7
Max Intensity (MMI),VIII
Fault mechanism,Normal
Tectonic region type,Active Shallow Crust
Fatalities,117-119
Injured,1034-1632
Displaced population,5000-15000
Affected population,~6034
Affected units,8703 Buildings
Damaged units,700 Buildings
Collapsed units,103 Buildings
Economic losses,400-450 M USD
Insured losses,
Earthquake-triggered effects,
USGS event ID,us7000c7y0
Wikipedia page,https://en.wikipedia.org/wiki/2020 Aegean Sea earthquake
