FIELD,DESCRIPTION
Year,2008
Country,Iceland
Region,Europe
Event Name,Iceland 2008
Local Date,29/05/2008
Local Time,15:46:00
Latitude (decimal degrees),64.005
Longitude (decimal degrees),-21.013
Depth (km),9
Mw,6.3
Max Intensity (MMI),VIII
Fault mechanism,Strike-slip
Tectonic region type,Active Shallow Crust
Fatalities,
Injured,0-30
Displaced population,
Affected population,
Affected units,
Damaged units,30 Buildings
Collapsed units,
Economic losses,
Insured losses,
Earthquake-triggered effects,
USGS event ID,usp000g826
Wikipedia page,https://en.wikipedia.org/wiki/2000 Iceland earthquakes
