# {20100904_M7.0_Canterbury} median gmf, Stations:Seismic, gmlt:GEM, Rupture:JMA
custom_site_id,lon,lat,McVerry2006Asc
m_103,171.75,-43.91,0.11005588
m_105,171.25,-44.1,0.07943769
m_108,172.73000000000002,-43.16,0.1670053
m_111,171.22000000000003,-44.38,0.07367859
m_112,171.1882,-44.3881,0.06853736
m_113,171.26999999999998,-44.25,0.069493
m_115,171.13,-44.27,0.06659045
m_116,170.97000000000003,-42.71,0.030442545
m_117,170.93899999999996,-42.6774,0.035087854
m_120,170.98000000000002,-45.07,0.022487562
m_121,170.9364,-45.1084,0.02439868
m_136,171.5414,-41.7756,0.022802534
m_137,171.57,-41.74,0.019496506
m_55,172.4241,-43.5691,0.35176316
m_56,172.17470000000003,-43.4819,0.39368728
m_57,172.12,-43.48,0.44918498
m_58,172.38,-43.58,0.36804605
m_61,172.3,-43.76,0.17616448
m_63,172.4262,-43.6591,0.31699204
m_65,172.72000000000003,-43.6,0.37791914
m_66,172.48000000000002,-43.65,0.3316061
m_67,172.64,-43.53,0.23138551
m_70,172.6642,-43.2957,0.20502211
m_71,172.68,-43.36,0.29359934
m_72,172.6716,-43.5657,0.40605262
m_74,172.6667,-43.3857,0.3253382
m_75,172.66999999999996,-43.32,0.23307918
m_82,172.18,-43.3,0.2520389
m_84,172.57,-43.31,0.2178796
m_87,172.541,-43.2974,0.22977428
m_93,171.64999999999998,-43.63,0.14978087
m_94,171.6821,-43.666,0.13588397
s_0,172.089,-43.586,0.79142
s_1,172.10199999999998,-43.49,0.51879
s_10,172.628,-43.536,0.20592
s_100,171.72333000000003,-43.22833,0.11333
s_101,171.7475,-43.90417,0.11191
s_102,171.79361,-43.73111,0.10839
s_104,172.54305999999997,-42.87111,0.09837
s_106,172.09361,-43.89833,0.08113
s_107,171.5675,-42.95056,0.0799
s_109,171.24444,-44.40444,0.07417
s_11,172.52999999999997,-43.483,0.1915
s_110,171.61082999999996,-43.83889,0.06996
s_114,171.42167,-43.82472,0.05783
s_118,171.13556,-42.89333,0.05371
s_119,171.05389000000002,-43.71639,0.0487
s_12,172.62,-43.529,0.17579
s_122,170.49278000000004,-45.90389,0.04102
s_123,171.47278,-42.72833,0.04091
s_124,172.83028000000002,-42.525,0.0403
s_125,170.50972000000002,-45.90028,0.03859
s_126,170.55583000000001,-43.15056,0.03681
