# {20100904_M7.0_Canterbury} median gmf, Stations:Seismic, gmlt:GEM, Rupture:GCMT
custom_site_id,lon,lat,McVerry2006Asc
m_103,171.75,-43.91,0.111744195
m_105,171.25,-44.1,0.095971614
m_108,172.73000000000002,-43.16,0.14721775
m_111,171.22000000000003,-44.38,0.076039195
m_112,171.1882,-44.3881,0.07293568
m_113,171.26999999999998,-44.25,0.08448222
m_115,171.13,-44.27,0.07920664
m_116,170.97000000000003,-42.71,0.030022586
m_117,170.93899999999996,-42.6774,0.031651963
m_120,170.98000000000002,-45.07,0.024121847
m_121,170.9364,-45.1084,0.025063338
m_136,171.5414,-41.7756,0.021043738
m_137,171.57,-41.74,0.018123407
m_55,172.4241,-43.5691,0.36963674
m_56,172.17470000000003,-43.4819,0.4165459
m_57,172.12,-43.48,0.45501637
m_58,172.38,-43.58,0.38819712
m_61,172.3,-43.76,0.18754542
m_63,172.4262,-43.6591,0.33009344
m_65,172.72000000000003,-43.6,0.37821358
m_66,172.48000000000002,-43.65,0.34593302
m_67,172.64,-43.53,0.23147258
m_70,172.6642,-43.2957,0.20204361
m_71,172.68,-43.36,0.29305893
m_72,172.6716,-43.5657,0.42816174
m_74,172.6667,-43.3857,0.3262083
m_75,172.66999999999996,-43.32,0.23098592
m_82,172.18,-43.3,0.16036406
m_84,172.57,-43.31,0.20085724
m_87,172.541,-43.2974,0.19112398
m_93,171.64999999999998,-43.63,0.21596691
m_94,171.6821,-43.666,0.18481733
s_0,172.089,-43.586,0.79142
s_1,172.10199999999998,-43.49,0.51879
s_10,172.628,-43.536,0.20592
s_100,171.72333000000003,-43.22833,0.11333
s_101,171.7475,-43.90417,0.11191
s_102,171.79361,-43.73111,0.10839
s_104,172.54305999999997,-42.87111,0.09837
s_106,172.09361,-43.89833,0.08113
s_107,171.5675,-42.95056,0.0799
s_109,171.24444,-44.40444,0.07417
s_11,172.52999999999997,-43.483,0.1915
s_110,171.61082999999996,-43.83889,0.06996
s_114,171.42167,-43.82472,0.05783
s_118,171.13556,-42.89333,0.05371
s_119,171.05389000000002,-43.71639,0.0487
s_12,172.62,-43.529,0.17579
s_122,170.49278000000004,-45.90389,0.04102
s_123,171.47278,-42.72833,0.04091
s_124,172.83028000000002,-42.525,0.0403
s_125,170.50972000000002,-45.90028,0.03859
s_126,170.55583000000001,-43.15056,0.03681
s_127,171.21028,-42.45083,0.03525
s_128,170.73694,-43.07333,0.03165
s_129,172.27083,-42.78333,0.03132
s_13,172.596,-43.274,0.16632
s_130,170.96389,-42.71861,0.02899
s_131,170.96916999999996,-45.10139,0.02394
s_132,170.01972,-43.465,0.02166
s_133,171.59972,-41.7575,0.02155
s_134,172.18028000000004,-42.33639,0.02118
s_135,170.18417,-43.39083,0.02102
s_138,170.09833000000003,-44.25611,0.01963
s_139,170.19556,-46.07333,0.01962
s_14,171.92899999999997,-43.338,0.16262
s_140,170.09694000000002,-43.73806,0.01931
s_141,169.04417,-43.88472,0.01615
s_142,171.86417,-42.12167,0.01606
s_143,169.23278,-44.23222,0.01514
s_144,169.14278000000002,-44.69611,0.01498
s_145,170.73667,-43.07611,0.01444
s_146,170.64444000000003,-45.04556,0.01295
s_147,169.81528000000003,-43.53389,0.01164
s_148,168.66056000000003,-43.99917,0.01158
s_149,170.51389,-45.86417,0.00998
s_15,172.70500000000004,-42.963,0.1541
s_150,174.94389,-41.24389,0.00825
s_151,169.71916999999996,-46.25056,0.00808
s_152,170.18444,-44.38722,0.00791
s_153,168.23778,-45.66944,0.00771
s_154,174.13833,-41.82917,0.0073
s_155,173.35082999999997,-41.62194,0.00671
s_156,173.00944000000004,-41.12639,0.0064
s_157,174.89333,-41.2325,0.00595
s_158,174.90305999999998,-41.21333,0.0059
s_159,174.91583000000003,-41.20611,0.00581
s_16,172.038,-43.326,0.14484
s_160,174.87917,-41.22611,0.0058
s_161,168.34694000000002,-46.41306,0.00571
s_162,173.54083000000003,-42.41611,0.00554
s_163,173.28361,-41.2725,0.00554
s_164,174.27417000000003,-39.58694,0.00546
s_165,169.63111000000004,-45.95556,0.00542
s_166,174.02306,-41.28139,0.0054
s_167,170.59778,-45.88583,0.00534
