# 19920413_M5.3_Roermond median gmf, Stations:All, gmlt:GEM, Rupture:EFEHR
custom_site_id,lon,lat,ESHM20Craton,"ESHM20Craton
epsilon=-1.355630","ESHM20Craton
epsilon=1.355630","ESHM20Craton
site_epsilon=-1.732051","ESHM20Craton
site_epsilon=1.732051","KothaEtAl2020ESHM20SlopeGeology
sigma_mu_epsilon = 1.73205100
c3_epsilon = 1.73205100"
s_0,9.131,51.997,0.0929696,0.09282829,0.09311112,0.08774207,0.098508574,0.088583834
s_1,5.917000000000002,51.267,0.09441439,0.0942658,0.0945632,0.08923204,0.099897705,0.09026582
s_10,5.88300000000001,51.367,0.05938217,0.059258867,0.059505727,0.057586744,0.061233573,0.057595734
s_100,6.0,50.767,0.052332826,0.05213807,0.052528303,0.052594475,0.052072477,0.05670921
s_1000,7.981999999999999,51.292,0.007129176,0.0071126744,0.007145716,0.0071385778,0.0071197865,0.008653852
s_1001,6.832999999999998,52.367,0.0075982152,0.0075809797,0.0076154894,0.007788052,0.0074130055,0.0075064255
s_1002,6.63300000000001,52.417,0.007006194,0.006987629,0.0070248083,0.0069693015,0.0070432825,0.006255473
s_1003,4.300000000000011,51.783,0.008325286,0.008302725,0.008347908,0.008628799,0.0080324495,0.010328813
s_1004,4.659999999999997,50.32,0.0069068703,0.00688463,0.006929183,0.0068852063,0.0069286022,0.0068630343
s_1005,4.825999999999993,50.218,0.0076043904,0.0075772153,0.0076316632,0.007710171,0.0075000618,0.008098402
s_1006,4.582999999999998,52.033,0.0068972087,0.0068642776,0.0069302977,0.006494284,0.007325132,0.006889879
s_1007,7.617999999999995,51.945,0.0078871045,0.007851803,0.007922566,0.0076804957,0.008099272,0.00775272
s_1008,5.050000000000011,52.3,0.007742724,0.0076925247,0.007793251,0.007723311,0.0077621853,0.0076086633
s_1009,4.050000000000011,51.283,0.00792888,0.007897078,0.00796081,0.007897429,0.007960456,0.007710928
s_101,6.2760000000000105,50.816,0.06369106,0.063534796,0.0638477,0.06398712,0.063396364,0.06412796
s_1010,6.067000000000007,52.483,0.008522044,0.00846349,0.008581003,0.008224548,0.0088303005,0.00845588
s_1011,4.043000000000006,51.209,0.009458325,0.009389725,0.009527427,0.009934657,0.009004831,0.010529926
s_1012,4.324000000000012,50.598,0.008904541,0.008849683,0.0089597395,0.008790294,0.009020274,0.008772766
s_1013,7.842999999999989,51.713,0.006941204,0.0069154734,0.0069670305,0.0069861365,0.0068965605,0.0068937396
s_1014,4.522999999999996,50.406,0.006838106,0.006822058,0.0068541914,0.0067973603,0.006879096,0.007239955
s_1015,4.417000000000002,51.917,0.0071349544,0.0071147806,0.007155185,0.0071364706,0.0071334383,0.0071017793
s_1016,7.081999999999994,50.175,0.0068877665,0.0068626245,0.0069130003,0.006700972,0.0070797675,0.0068669617
s_1017,4.264999999999986,50.651,0.010004057,0.0099571,0.010051234,0.009657739,0.010362793,0.009860229
s_1018,4.11699999999999,51.567,0.0088614235,0.008836786,0.00888613,0.009048999,0.008677736,0.008742502
s_1019,4.039999999999992,51.07,0.0068477015,0.0068151676,0.006880391,0.0070999954,0.0066043725,0.0064488947
s_102,5.717000000000013,50.783,0.06074759,0.06058579,0.060909826,0.06163877,0.059869297,0.057250723
s_1020,4.205999999999989,50.695,0.014717427,0.014658299,0.014776792,0.01427529,0.015173257,0.012999735
s_1021,4.084000000000003,50.884,0.014162877,0.0141031165,0.01422289,0.013831698,0.014501985,0.014498187
s_1022,4.016999999999996,51.367,0.0070594386,0.007040238,0.0070786914,0.006760264,0.0073718536,0.007674666
s_1023,7.936000000000007,50.824,0.007870602,0.0078110825,0.007930576,0.008026877,0.00771737,0.008012784
s_1024,8.00399999999999,50.959,0.007219246,0.0071814405,0.007257251,0.0071967663,0.0072417962,0.0069626416
s_1025,3.9960000000000093,51.103,0.008121364,0.008067394,0.008175695,0.00813042,0.008112318,0.009204614
s_1026,8.056999999999988,51.131,0.009086568,0.00903742,0.009135984,0.008784613,0.009398903,0.0090781655
s_1027,4.582999999999998,52.1,0.01496669,0.014906178,0.015027449,0.01456803,0.0153762605,0.013987248
s_1028,4.444999999999993,50.412,0.0074241445,0.0074032303,0.0074451175,0.0067091854,0.008215292,0.007158155
s_1029,4.074000000000012,50.844,0.006995197,0.006965478,0.0070250425,0.0070351036,0.0069555165,0.0069541517
s_103,5.52000000000001,50.871,0.06983451,0.06966965,0.069999754,0.07331416,0.066520005,0.07352353
s_1030,4.5260000000000105,50.338,0.0076850466,0.0076662647,0.0077038747,0.007931994,0.007445787,0.007417706
s_1031,4.167000000000002,51.75,0.0075603966,0.0075109773,0.007610141,0.007701294,0.007422077,0.0070820265
s_1032,4.381,50.456,0.0074380953,0.0073643727,0.0075125564,0.007068767,0.00782672,0.00754695
s_1033,8.066000000000003,51.4,0.0077614766,0.0077298633,0.007793219,0.00781557,0.0077077583,0.009629526
s_1034,6.417000000000002,52.517,0.010917163,0.010849389,0.010985361,0.010564178,0.011281944,0.009649066
s_1035,5.682999999999993,52.517,0.008223096,0.008172198,0.008274311,0.00858739,0.007874257,0.008425114
