FIELD,DESCRIPTION
Year,2017
Country,Greece
Region,Europe
Event Name,AegeanSea 2017
Local Date,12/06/2017
Local Time,12:28:39
Latitude (decimal degrees),38.9296
Longitude (decimal degrees),26.365
Depth (km),12
Mw,6.3
Max Intensity (MMI),VII
Fault mechanism,Normal
Tectonic region type,Active Shallow Crust
Fatalities,~1
Injured,11-15
Displaced population,
Affected population,~731
Affected units,
Damaged units,250 Buildings
Collapsed units,10 Buildings
Economic losses,
Insured losses,
Earthquake-triggered effects,
USGS event ID,us20009ly0
Wikipedia page,https://en.wikipedia.org/wiki/2017 Aegean Sea earthquake
