STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,PGA_VALUE,SA(0.3)_VALUE,SA(0.6)_VALUE,SA(1.0)_VALUE,PGA_LN_SIGMA,SA(0.3)_LN_SIGMA,SA(0.6)_LN_SIGMA,SA(1.0)_LN_SIGMA,PGA_VALUE_1,SA(0.3)_VALUE_1,SA(0.6)_VALUE_1,SA(1.0)_VALUE_1,PGA_VALUE_2,SA(0.3)_VALUE_2,SA(0.6)_VALUE_2,SA(1.0)_VALUE_2,PGA_VALUE_V,SA(0.3)_VALUE_V,SA(0.6)_VALUE_V,SA(1.0)_VALUE_V
JAMI,JAMILTEPEC,16.284353,-97.820692,seismic,Stations_UNAM,0.4062915392,0.3588458406,0.2500272851,0.1250380984,0.0,0.0,0.0,0.0,0.4062915392,0.3588458406,0.1080341777,0.0383186426,0.2563914373,0.200034182,0.2500272851,0.1250380984,0.2915963303,0.153542232,0.0797368366,0.0609189091
OAXM,OAXACA FACULTAD DE MEDICINA,17.082872,-96.718744,seismic,Stations_UNAM,0.3774413863,1.1269635034,0.2205163998,0.1019253586,0.0,0.0,0.0,0.0,0.3774413863,0.8607710757,0.2205163998,0.1019253586,0.3597247706,1.1269635034,0.1659835863,0.0653622653,0.1677471967,0.19361782,0.1350166701,0.0529312031
RIOG,RIO GRANDE,16.01435,-97.43863,seismic,Stations_UNAM,0.3134219164,0.5426538203,0.3119037944,0.2486709193,0.0,0.0,0.0,0.0,0.3134219164,0.5333869239,0.2751620876,0.1805889822,0.2962219164,0.5426538203,0.3119037944,0.2486709193,0.2354616718,0.2025453169,0.1260305963,0.062753876
PNTP,PINOTEPA NACIONAL,16.340486,-98.053706,seismic,Stations_UNAM,0.310733945,0.8444845069,0.1847229209,0.0495200871,0.0,0.0,0.0,0.0,0.2617023445,0.8444845069,0.1847229209,0.0495200871,0.310733945,0.4613695908,0.1671243478,0.0450809517,0.1600611621,0.1546748663,0.1344381135,0.0463769068
LANE,LAS NEGRAS,15.947684,-97.187204,seismic,Stations_UNAM,0.2567186544,0.7835517801,0.5031061792,0.2054435525,0.0,0.0,0.0,0.0,0.2435319062,0.467268332,0.2625800776,0.2054435525,0.2567186544,0.7835517801,0.5031061792,0.1742402574,0.2131808359,0.2113938464,0.1590063325,0.0615610132
TAMA,TAMAZULAPAN,16.26116,-96.57529,seismic,Stations_UNAM,0.2479120285,0.7616990767,0.3482176177,0.1037447234,0.0,0.0,0.0,0.0,0.2085955148,0.3568158895,0.2240948016,0.1037447234,0.2479120285,0.7616990767,0.3482176177,0.0926374093,0.1312751274,0.1860100969,0.1208430156,0.0484310018
OMTP,OMETEPEC,16.689,-98.398,seismic,Stations_UNAM,0.1876360856,0.1686000373,0.0528582673,0.0207946739,0.0,0.0,0.0,0.0,0.1800468909,0.1686000373,0.0528582673,0.0179019916,0.1876360856,0.0677950703,0.0422504152,0.0207946739,0.1332130479,0.1869152285,0.0757167035,0.0257884444
SMLC,SAN MARTIN LOS CANSECO,16.654971,-96.729233,seismic,Stations_UNAM,0.142585525,0.2921410113,0.2268378805,0.0752697131,0.0,0.0,0.0,0.0,0.1275412844,0.2921410113,0.2268378805,0.0752697131,0.142585525,0.267379829,0.1147157289,0.0571159918,0.093270948,0.1692953013,0.1639915691,0.0711574533
PANG,PUERTO ANGEL,15.666837,-96.490506,seismic,Stations_UNAM,0.1139622834,0.1487076399,0.0823665395,0.0304236388,0.0,0.0,0.0,0.0,0.0962538226,0.1306725807,0.0664203027,0.0274152433,0.1139622834,0.1487076399,0.0823665395,0.0304236388,0.0933394495,0.1180957818,0.0446104523,0.0268279622
OXLC,LAS CANTERAS,17.065039,-96.703157,seismic,Stations_UNAM,0.0760939857,0.1740172787,0.1522808177,0.093432656,0.0,0.0,0.0,0.0,0.0715012232,0.1740172787,0.0813409812,0.093432656,0.0760939857,0.1391380926,0.1522808177,0.0786589375,0.049185423,0.1149214843,0.0838713285,0.0402719074
VIGA,LAS VIGAS,16.758703,-99.233268,seismic,Stations_UNAM,0.069598369,0.0524333707,0.0313031781,0.0172285645,0.0,0.0,0.0,0.0,0.069598369,0.0524333707,0.0313031781,0.0172285645,0.0529408767,0.0430710652,0.0108244233,0.0074719139,0.0245902141,0.0344371757,0.0182584945,0.0065514798
ACAD,ACAPULCO ESCUELA DIANA,16.86225,-99.87147,seismic,Stations_UNAM,0.0467186544,0.0963111775,0.018244631,0.011303973,0.0,0.0,0.0,0.0,0.0400815494,0.0963111775,0.0148051643,0.011303973,0.0467186544,0.0871243567,0.018244631,0.0058940532,0.0155361876,0.0211634971,0.0124130466,0.0055959705
CSER,CIUDAD SERDAN,18.989074,-97.377394,seismic,Stations_UNAM,0.0442099898,0.0902849531,0.1388171749,0.1122729499,0.0,0.0,0.0,0.0,0.0442099898,0.0902849531,0.1388171749,0.1122729499,0.0329459735,0.0890689293,0.1290196822,0.0723260506,0.0157288481,0.0434600618,0.0391298126,0.0334216932
SCT1,SCT B-1,19.394694,-99.148678,seismic,Stations_UNAM,0.0370846075,0.0449382129,0.0577372824,0.0619739367,0.0,0.0,0.0,0.0,0.0370846075,0.0449382129,0.0490596473,0.0619739367,0.0208970438,0.0303691421,0.0577372824,0.035063987,0.0108868502,0.0195638827,0.043971988,0.0144378728
ACAC,ACAPULCO CENTRO CULTURAL,16.84851,-99.85157,seismic,Stations_UNAM,0.0343221203,0.0881843698,0.1962280263,0.0190277302,0.0,0.0,0.0,0.0,0.0343221203,0.0881843698,0.1962280263,0.0190277302,0.0269215087,0.0759964835,0.05659407,0.0146931983,0.0244648318,0.0298927813,0.0150584822,0.0056566406
TLHD,TLAHUAC DEPORTIVO,19.293,-99.035,seismic,Stations_UNAM,0.033853211,0.0769091329,0.0759644139,0.0654802283,0.0,0.0,0.0,0.0,0.0311213048,0.0769091329,0.0464487632,0.0654802283,0.033853211,0.0761234553,0.0759644139,0.0630366953,0.0238939857,0.0533848654,0.0542051309,0.1007978004
TXS1,TEXCOCO SITIO 1,19.493,-98.973,seismic,Stations_UNAM,0.0334648318,0.0358425504,0.0660144122,0.0731825702,0.0,0.0,0.0,0.0,0.0334648318,0.0358425504,0.055372252,0.0731825702,0.03145158,0.0341723658,0.0660144122,0.056873221,0.0070948012,0.0108888148,0.0241102166,0.0207667219
CDAO,CENTRAL DE ABASTOS OFICINAS,19.373913,-99.096997,seismic,Stations_UNAM,0.0329255861,0.0369310507,0.0602805756,0.085613082,0.0,0.0,0.0,0.0,0.0329255861,0.0369310507,0.0602805756,0.085613082,0.0302752294,0.0320271472,0.0519225474,0.0710241219,0.0077268094,0.0139459884,0.0158454551,0.0220585626
COPL,COPALA,16.61081,-98.98399,seismic,Stations_UNAM,0.0307247706,0.0387776479,0.0261207646,0.0224100159,0.0,0.0,0.0,0.0,0.0240489297,0.0369892103,0.0261207646,0.0224100159,0.0307247706,0.0387776479,0.0249698066,0.0123222967,0.0159286442,0.0277850277,0.0249882878,0.0194668938
TLHB,TLAHUAC BOMBA,19.279,-99.008,seismic,Stations_UNAM,0.0289296636,0.0335959829,0.0416233008,0.0732606826,0.0,0.0,0.0,0.0,0.0289296636,0.0335959829,0.0416233008,0.0732606826,0.0270540265,0.0313237246,0.0374890121,0.0648753438,0.0106829766,0.0197379352,0.0201679409,0.0257105287
ACAZ,ACAPULCO LA ZANJA,16.788528,-99.790152,seismic,Stations_UNAM,0.028756371,0.0338586757,0.0242736656,0.0613574706,0.0,0.0,0.0,0.0,0.028756371,0.0338586757,0.0242736656,0.0613574706,0.021529052,0.0273730601,0.0157998654,0.0291101486,0.0149643221,0.0252000911,0.013017793,0.0079736384
PENR,COLONIA QUETZALCOATL,19.332671,-99.04135,seismic,Stations_UNAM,0.0282915392,0.0292678514,0.0816432067,0.0591203347,0.0,0.0,0.0,0.0,0.0232579001,0.0264417944,0.0816432067,0.0591203347,0.0282915392,0.0292678514,0.0572605869,0.0547760584,0.0150163099,0.0244009891,0.0723279271,0.0352235782
ACAR,ACAPULCO RENACIMIENTO,16.888789,-99.835027,seismic,Stations_UNAM,0.0275229358,0.0772865748,0.0250456405,0.0085642042,0.0,0.0,0.0,0.0,0.0275229358,0.0772865748,0.0250456405,0.0085642042,0.0212945973,0.0686389445,0.0173584124,0.0079863763,0.0197655454,0.0289481283,0.011583164,0.0120671984
POZU,POZUELOS,17.09008,-99.59754,seismic,Stations_UNAM,0.0255265036,0.0331206491,0.0113632849,0.0096663839,0.0,0.0,0.0,0.0,0.0230477064,0.0232064985,0.0113632849,0.0096663839,0.0255265036,0.0331206491,0.0084201795,0.0048248237,0.0125546381,0.0097884287,0.0065823196,0.0066886319
TXS2,TEXCOCO SITIO 2,19.492,-98.977,seismic,Stations_UNAM,0.0252844037,0.0274440588,0.0549428884,0.0493229639,0.0,0.0,0.0,0.0,0.0252844037,0.0274440588,0.0453546677,0.0493229639,0.0189021407,0.0227482053,0.0549428884,0.0385686131,0.0043374108,0.0075204452,0.0090446757,0.0108403666
CHFL,CHILA DE LAS FLORES,17.969493,-97.865638,seismic,Stations_UNAM,0.0232313965,0.0525919719,0.0375464575,0.038509349,0.0,0.0,0.0,0.0,0.0229021407,0.0525919719,0.0300954499,0.038509349,0.0232313965,0.0371825128,0.0375464575,0.0226775156,0.0178654434,0.0374742617,0.0270580886,0.0235003203
SXPU,SISMEX PUEBLA,19.039943,-98.215087,seismic,Stations_UNAM,0.0230784913,0.042392327,0.0493129658,0.0884339564,0.0,0.0,0.0,0.0,0.0174311927,0.0303572743,0.0493129658,0.0654522045,0.0230784913,0.042392327,0.0470824725,0.0884339564,0.0095922528,0.0150587886,0.0253900177,0.0218846919
COYQ,COYUQUILLA,17.380235,-101.056526,seismic,Stations_UNAM,0.0229883792,0.0116616984,0.0032465955,0.0024798734,0.0,0.0,0.0,0.0,0.020817737,0.0116616984,0.0032465955,0.0024798734,0.0229883792,0.0093507446,0.00302438,0.002033026,0.0126711519,0.006869918,0.0035720417,0.0020806594
COYC,COYUCA,16.997788,-100.089963,seismic,Stations_UNAM,0.0155514781,0.0352124735,0.0095376045,0.0066710706,0.0,0.0,0.0,0.0,0.0118882773,0.0213163083,0.0092509887,0.0066710706,0.0155514781,0.0352124735,0.0095376045,0.0064177443,0.0117707441,0.0236861969,0.0069091927,0.0054325637
RABO,RABOSO,18.569078,-98.445409,seismic,Stations_UNAM,0.0125657492,0.0360371486,0.0251528762,0.0195423692,0.0,0.0,0.0,0.0,0.0117726809,0.0218838065,0.0220138505,0.0168053077,0.0125657492,0.0360371486,0.0251528762,0.0195423692,0.0112293578,0.0170064346,0.0216411489,0.0138332464
OCLL,OCOTILLO,17.036585,-99.878515,seismic,Stations_UNAM,0.0118119266,0.0138790648,0.0112209979,0.0087796753,0.0,0.0,0.0,0.0,0.0118119266,0.0138790648,0.0112209979,0.0087796753,0.0093746177,0.0128703341,0.0091950093,0.0048176815,0.0068530071,0.0113202379,0.0070929456,0.0063271598
TACY,TACUBAYA,19.404505,-99.195246,seismic,Stations_UNAM,0.0095718654,0.0203468871,0.024434027,0.0223138393,0.0,0.0,0.0,0.0,0.0092966361,0.0203468871,0.024434027,0.0183355409,0.0095718654,0.0197058023,0.0195206257,0.0223138393,0.0074719674,0.0157163036,0.010130596,0.0077490949
PZPU,CERRO LA PAZ  PUEBLA,19.055379,-98.227092,seismic,Stations_UNAM,0.0094189602,0.0096221214,0.018042029,0.0163010426,0.0,0.0,0.0,0.0,0.0094189602,0.0096221214,0.018042029,0.0142312723,0.0060448522,0.0084562711,0.0174092169,0.0163010426,0.0034454638,0.0040085423,0.0045011642,0.0100878656
TEAC,TEACALCO,18.61763,-99.454086,seismic,Stations_UNAM,0.00842579,0.0148932964,0.0269307528,0.0201436076,0.0,0.0,0.0,0.0,0.00842579,0.0148932964,0.0192874689,0.0169467616,0.0079933741,0.0148473458,0.0269307528,0.0201436076,0.0059702345,0.0099320978,0.0106998236,0.0110535656
CUP5,IDEI PATIO 5,19.33024,-99.181076,seismic,Stations_UNAM,0.007950051,0.0204461019,0.018597163,0.0296769087,0.0,0.0,0.0,0.0,0.0078042813,0.0204461019,0.018597163,0.0296769087,0.007950051,0.0169363354,0.0168253436,0.0223537807,0.0052222222,0.0156349232,0.0112898193,0.0173869341
VNTA,LA VENTA,16.91426,-99.81885,seismic,Stations_UNAM,0.0078427115,0.0130765224,0.0076687509,0.0061316327,0.0,0.0,0.0,0.0,0.0078427115,0.0130765224,0.0076290741,0.0061316327,0.0077862385,0.0118584292,0.0076687509,0.0044971576,0.0062142712,0.0090739525,0.0076110431,0.0049775562
PET2,PETATLAN II,17.535396,-101.262608,seismic,Stations_UNAM,0.0045176351,0.0048704388,0.0029661186,0.0030232746,0.0,0.0,0.0,0.0,0.004204791,0.0048704388,0.0029661186,0.0030232746,0.0045176351,0.0037349501,0.0027869845,0.0025493385,0.0033959225,0.0067845995,0.0030431829,0.0025499942
SLUI,SAN LUIS DE LA LOMA,17.272,-100.891,seismic,Stations_UNAM,0.0032985729,0.0037886504,0.0038371741,0.0035230241,0.0,0.0,0.0,0.0,0.0032985729,0.0037886504,0.0038371741,0.0035230241,0.0028703364,0.0032038106,0.0033855063,0.0015825487,0.00312579,0.0049433421,0.0031974996,0.0022299351
TXCR,TEXCOCO SAN MIGUEL TLAIXPAN,19.501514,-98.806198,seismic,Stations_UNAM,0.0028236493,0.0045385988,0.0040350779,0.0046203873,0.0,0.0,0.0,0.0,0.0023445464,0.0038576058,0.0036424056,0.0045705674,0.0028236493,0.0045385988,0.0040350779,0.0046203873,0.0015902141,0.0027265058,0.0024084772,0.0032484514
