calc_id,description,cal_time,gmpe,imt,nominal_bias,abs_nominal_bias,max_gmv,Rupture,GMLT,Recording_Stations
733,"Median gmf - DRAFT_20120520_M5.8_EmiliaRomagna (Rupture:EFEHR, GMPEs:GEM, Recording Stations:all)",103,KothaEtAl2020ESHM20SlopeGeology,PGA,-0.011,0.011,0.9669389,EFEHR,GEM,all
731,"Median gmf - DRAFT_20120520_M5.8_EmiliaRomagna (Rupture:INGV, GMPEs:GEM, Recording Stations:all)",110,KothaEtAl2020ESHM20SlopeGeology,PGA,-0.018,0.018,0.97469074,INGV,GEM,all
736,"Median gmf - DRAFT_20120520_M5.8_EmiliaRomagna (Rupture:USGS, GMPEs:GEM, Recording Stations:seismic)",101,KothaEtAl2020ESHM20SlopeGeology,PGA,-0.022,0.022,0.6767124,USGS,GEM,seismic
735,"Median gmf - DRAFT_20120520_M5.8_EmiliaRomagna (Rupture:GCMT, GMPEs:GEM, Recording Stations:all)",100,KothaEtAl2020ESHM20SlopeGeology,PGA,-0.033,0.033,0.3055536,GCMT,GEM,all
734,"Median gmf - DRAFT_20120520_M5.8_EmiliaRomagna (Rupture:GCMT, GMPEs:GEM, Recording Stations:seismic)",102,KothaEtAl2020ESHM20SlopeGeology,PGA,0.068,0.068,0.31690955,GCMT,GEM,seismic
737,"Median gmf - DRAFT_20120520_M5.8_EmiliaRomagna (Rupture:USGS, GMPEs:GEM, Recording Stations:all)",87,KothaEtAl2020ESHM20SlopeGeology,PGA,0.068,0.068,0.7394582,USGS,GEM,all
732,"Median gmf - DRAFT_20120520_M5.8_EmiliaRomagna (Rupture:EFEHR, GMPEs:GEM, Recording Stations:seismic)",106,KothaEtAl2020ESHM20SlopeGeology,PGA,-0.106,0.106,0.90394455,EFEHR,GEM,seismic
734,"Median gmf - DRAFT_20120520_M5.8_EmiliaRomagna (Rupture:GCMT, GMPEs:GEM, Recording Stations:seismic)",102,KothaEtAl2020ESHM20SlopeGeology,PGA,-0.111,0.111,0.31690955,GCMT,GEM,seismic
730,"Median gmf - DRAFT_20120520_M5.8_EmiliaRomagna (Rupture:INGV, GMPEs:GEM, Recording Stations:seismic)",109,KothaEtAl2020ESHM20SlopeGeology,PGA,-0.113,0.113,0.9164953,INGV,GEM,seismic
735,"Median gmf - DRAFT_20120520_M5.8_EmiliaRomagna (Rupture:GCMT, GMPEs:GEM, Recording Stations:all)",100,KothaEtAl2020ESHM20SlopeGeology,PGA,0.156,0.156,0.3055536,GCMT,GEM,all
736,"Median gmf - DRAFT_20120520_M5.8_EmiliaRomagna (Rupture:USGS, GMPEs:GEM, Recording Stations:seismic)",101,KothaEtAl2020ESHM20SlopeGeology,PGA,0.16,0.16,0.6767124,USGS,GEM,seismic
730,"Median gmf - DRAFT_20120520_M5.8_EmiliaRomagna (Rupture:INGV, GMPEs:GEM, Recording Stations:seismic)",109,KothaEtAl2020ESHM20SlopeGeology,PGA,0.174,0.174,0.9164953,INGV,GEM,seismic
732,"Median gmf - DRAFT_20120520_M5.8_EmiliaRomagna (Rupture:EFEHR, GMPEs:GEM, Recording Stations:seismic)",106,KothaEtAl2020ESHM20SlopeGeology,PGA,0.182,0.182,0.90394455,EFEHR,GEM,seismic
725,"Median gmf - DRAFT_20120520_M5.8_EmiliaRomagna (Rupture:EFEHR, GMPEs:USGS, Recording Stations:all)",44,AkkarEtAlRjb2014,PGA,-0.182,0.182,0.345245,EFEHR,USGS,all
723,"Median gmf - DRAFT_20120520_M5.8_EmiliaRomagna (Rupture:INGV, GMPEs:USGS, Recording Stations:all)",35,AkkarEtAlRjb2014,PGA,-0.185,0.185,0.34807244,INGV,USGS,all
737,"Median gmf - DRAFT_20120520_M5.8_EmiliaRomagna (Rupture:USGS, GMPEs:GEM, Recording Stations:all)",87,KothaEtAl2020ESHM20SlopeGeology,PGA,-0.209,0.209,0.7394582,USGS,GEM,all
737,"Median gmf - DRAFT_20120520_M5.8_EmiliaRomagna (Rupture:USGS, GMPEs:GEM, Recording Stations:all)",87,KothaEtAl2020ESHM20SlopeGeology,PGA,0.258,0.258,0.7394582,USGS,GEM,all
731,"Median gmf - DRAFT_20120520_M5.8_EmiliaRomagna (Rupture:INGV, GMPEs:GEM, Recording Stations:all)",110,KothaEtAl2020ESHM20SlopeGeology,PGA,0.261,0.261,0.97469074,INGV,GEM,all
733,"Median gmf - DRAFT_20120520_M5.8_EmiliaRomagna (Rupture:EFEHR, GMPEs:GEM, Recording Stations:all)",103,KothaEtAl2020ESHM20SlopeGeology,PGA,0.268,0.268,0.9669389,EFEHR,GEM,all
733,"Median gmf - DRAFT_20120520_M5.8_EmiliaRomagna (Rupture:EFEHR, GMPEs:GEM, Recording Stations:all)",103,KothaEtAl2020ESHM20SlopeGeology,PGA,-0.29,0.29,0.9669389,EFEHR,GEM,all
731,"Median gmf - DRAFT_20120520_M5.8_EmiliaRomagna (Rupture:INGV, GMPEs:GEM, Recording Stations:all)",110,KothaEtAl2020ESHM20SlopeGeology,PGA,-0.297,0.297,0.97469074,INGV,GEM,all
