STATION_ID,STATION_NAME,LONGITUDE,LATITUDE,STATION_TYPE,VS30,MMI_VALUE,MMI_STDDEV,PGA_LN_SIGMA,PGA_VALUE,PGV_LN_SIGMA,PGV_VALUE,SA(0.3)_LN_SIGMA,SA(0.3)_VALUE,SA(1.0)_LN_SIGMA,SA(1.0)_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE,VS30_TYPE,REFERENCES,SOIL_TYPE
obs_2,Julumito (Intensity IX),-76.65,2.45,macroseismic,338.79,9,0.3,0.8059,1.080771,0.875,91.6274,1.0131,1.821931,1.0822,1.04061,1.4737,0.208287,inferred,Stations_USGS,soil
obs_10,Buenaventura (Intensity IV),-77.06,3.89,macroseismic,760,4,0.3,0.8059,0.015083,0.875,1.6251,1.0131,0.029332,1.0822,0.01866,1.4737,0.003987,inferred,Stations_USGS,soil
OBS_2,La Mercedes,-76.7,2.533,macroseismic,486.74,7,0.3,0.8059,0.305788,0.875,21.336,1.0131,0.593409,1.0822,0.214979,1.4737,0.045661,inferred,Stations_USGS,soil
obs_6,El Zarzal (Intensity IX),-76.73,2.45,macroseismic,322.89,9,0.3,0.8059,1.077716,0.875,91.6274,1.0131,1.819221,1.0822,1.042417,1.4737,0.208692,inferred,Stations_USGS,soil
OBS_3,Cajibio,-76.633,2.633,macroseismic,327.44,7,0.3,0.8059,0.280177,0.875,21.336,1.0131,0.566739,1.0822,0.22682,1.4737,0.048489,inferred,Stations_USGS,soil
obs_8,Olaya Herrera (Intensity VIII),-76.53,2.36,macroseismic,841.25,8,0.3,0.8059,0.519297,0.875,44.215,1.0131,0.985659,1.0822,0.503395,1.4737,0.104578,inferred,Stations_USGS,soil
OBS_6,Timbio,-76.645,2.344,macroseismic,500.03,5,0.3,0.8059,0.084818,0.875,4.9682,1.0131,0.191269,1.0822,0.043993,1.4737,0.010147,inferred,Stations_USGS,soil
OBS_4,Piendamo,-76.517,2.638,macroseismic,638.32,6,0.3,0.8059,0.142213,0.875,10.2958,1.0131,0.315575,1.0822,0.106096,1.4737,0.023445,inferred,Stations_USGS,soil
OBS_7,Cajete,-76.652,2.466,macroseismic,367.77,7,0.3,0.8059,0.311688,0.875,21.336,1.0131,0.599401,1.0822,0.212476,1.4737,0.045066,inferred,Stations_USGS,soil
OBS_5,El Tambo,-76.769,2.416,macroseismic,466.39,6,0.3,0.8059,0.161772,0.875,10.2958,1.0131,0.337695,1.0822,0.098039,1.4737,0.021459,inferred,Stations_USGS,soil
OBS_1,Popayan,-76.607,2.442,macroseismic,325.89,6,0.3,0.8059,0.163299,0.875,10.2958,1.0131,0.339366,1.0822,0.097476,1.4737,0.021321,inferred,Stations_USGS,soil
obs_9,Mondomo (Intensity VII),-76.55,2.89,macroseismic,293.53,7,0.3,0.8059,0.230206,0.875,21.336,1.0131,0.51113,1.0822,0.255842,1.4737,0.055494,inferred,Stations_USGS,soil
