FIELD,DESCRIPTION
Year,2009
Country,Malawi
Region,Karonga
Event_Name,Karonga
Local_Date,19/12/2009
Local_Time,15:02:00
Longitude,33.818
Latitude,-10.108
Depth_(km),6
Mw,6
Max_Intensity_(MMI),VII
Fault_mechanism,Dip Slip
Tectonic_region_type,Active Shallow Crust
Fatalities,3
Injured,250
Displaced_Population,
Affected_Population,
Affected_Units,
Damaged_Units,3565
Collapsed_Units,1111
Economic_Losses,
Insured_Losses,
Induced_Effects,
USGS page,https://earthquake.usgs.gov/earthquakes/eventpage/usp000h56x/executive
Wikipedia page,https://en.wikipedia.org/wiki/2009_Karonga_earthquakes
