# 20060527_M6.4_Yogyakarta median gmf, Stations:None, gmlt:GEM, Rupture:GCMT
custom_site_id,lon,lat,BooreEtAl2014,CampbellBozorgnia2014,CauzziEtAl2014,ChiouYoungs2014,ZhaoEtAl2006Asc
t_0,108.20438000000001,-6.60444,0.0027914064,0.0038547828,0.004747803,0.0048453007,0.0030489997
t_1,108.02472,-6.60444,0.002585542,0.0034752246,0.004618532,0.004468188,0.002633937
t_10,107.75522000000001,-6.5152,0.0017544007,0.0025454352,0.0038856256,0.0031054418,0.0020265076
t_100,108.92302999999998,-7.05041,0.007222617,0.009500833,0.007809779,0.011747109,0.0073377034
t_1000,113.77393999999998,-8.29676,0.0009140535,0.0018140613,0.0027825586,0.0017663761,0.0015562921
t_1001,113.59427,-8.29676,0.0018047352,0.0027564738,0.003881709,0.0032465358,0.0023231239
t_1002,113.50443999999999,-8.29676,0.0026467755,0.0034791783,0.0046993373,0.004560355,0.002557231
t_1003,113.41460999999998,-8.20786,0.0028811677,0.0037879022,0.004870621,0.0049566533,0.0028111422
t_1004,113.6841,-8.20786,0.0018979023,0.002736737,0.00401976,0.00336107,0.002175891
t_1005,113.32478000000003,-8.20786,0.0033901152,0.0042778985,0.005268457,0.0057531325,0.003067345
t_1006,113.23495000000003,-8.20786,0.0031791248,0.0043081455,0.0050641582,0.0054925717,0.0033502965
t_1007,113.50443999999999,-8.20786,0.0023965933,0.0033195321,0.004457798,0.004190394,0.0025787998
t_1008,113.77393999999998,-8.20786,0.0012338746,0.0021172725,0.0032470082,0.0022933295,0.0019792395
t_1009,113.14510999999999,-8.20786,0.0030728327,0.0044089546,0.0049517597,0.0053798375,0.0036232695
t_101,109.01285999999999,-7.05041,0.009018865,0.011085614,0.008854634,0.014261745,0.008068362
t_1010,113.59427,-8.20786,0.0021967595,0.0030589963,0.004296969,0.0038504119,0.0023677894
t_1011,113.32478000000003,-8.11894,0.002796292,0.003889176,0.004760102,0.0048780697,0.003086755
t_1012,113.6841,-8.11894,0.001397358,0.0023443918,0.0034258494,0.002580935,0.002163447
t_1013,113.77393999999998,-8.11894,0.0015286481,0.0023684367,0.0036267173,0.002762193,0.001989256
t_1014,113.14510999999999,-8.11894,0.0026923064,0.0041338364,0.0046200957,0.0048029036,0.0036486073
t_1015,113.50443999999999,-8.11894,0.0016552354,0.0027536217,0.0036741921,0.0030455284,0.0025652885
t_1016,113.23495000000003,-8.11894,0.0033855024,0.0044618435,0.0052321353,0.005801577,0.003372564
t_1017,113.41460999999998,-8.11894,0.0022165866,0.003321643,0.004244457,0.003956493,0.0027971675
t_1018,113.59427,-8.11894,0.0014058307,0.0024413043,0.0034045079,0.0026193045,0.0023547949
