# 20060527_M6.4_Yogyakarta median gmf, Stations:All, gmlt:GEM, Rupture:IPGP
custom_site_id,lon,lat,BooreEtAl2014,CampbellBozorgnia2014,CauzziEtAl2014,ChiouYoungs2014,ZhaoEtAl2006Asc
m_0,110.70600000000002,-7.72,0.10937082,0.10340903,0.10133185,0.102529734,0.09771621
m_1,110.62900000000002,-7.89,0.11951558,0.1317059,0.12017177,0.119662546,0.1280332
m_10,110.606,-7.71,0.15656659,0.15346868,0.16197896,0.15169458,0.16035214
m_11,110.42000000000002,-7.6,0.098466255,0.11105898,0.10262526,0.09760068,0.115243785
m_12,110.36000000000001,-7.72,0.16896927,0.17378555,0.16567107,0.1672134,0.16728994
m_13,110.82999999999998,-7.97,0.06597002,0.074132785,0.063512444,0.063898124,0.06854573
m_14,110.19999999999999,-7.6,0.07906009,0.0802856,0.069080606,0.07506222,0.0682672
m_15,110.52999999999997,-7.42,0.06471247,0.06835808,0.060197443,0.06192907,0.06207343
m_16,110.84100000000001,-7.68,0.08766859,0.082389474,0.078758225,0.080379546,0.07427421
m_17,110.35000000000002,-8.02,0.35110152,0.39296192,0.30527252,0.33119097,0.29155034
m_18,110.60000000000002,-7.63,0.10921424,0.115082495,0.11049203,0.107372336,0.11596696
m_19,110.45999999999998,-7.49,0.057667203,0.07365715,0.06611441,0.058456823,0.06893736
m_2,110.64600000000002,-7.99,0.113468766,0.11587797,0.10406827,0.10941792,0.101163626
m_20,110.20999999999998,-7.75,0.14781296,0.14504556,0.13417737,0.13965873,0.130532
m_21,110.26600000000002,-7.98,0.46125492,0.3427543,0.3843925,0.36363208,0.35184327
m_22,110.81700000000001,-7.57,0.08197773,0.07858792,0.07437123,0.075797565,0.07039397
m_23,106.7536,-6.4057,0.0071354727,0.0065987883,0.022309799,0.006043226,0.011079167
m_24,106.7552,-6.2253,0.0055620507,0.0054113884,0.018142916,0.0048861853,0.008713953
m_25,110.18430000000001,-7.5081,0.07121785,0.07626682,0.06762163,0.06783405,0.071376435
m_26,110.36490000000003,-7.8702,0.37840912,0.34394765,0.4018164,0.36471334,0.38244915
m_27,110.36529999999999,-7.6893,0.16577771,0.17166054,0.17121267,0.1635652,0.17740972
m_28,110.54660000000001,-7.6895,0.19736896,0.19913536,0.22441882,0.19428946,0.23314083
m_29,110.72800000000001,-7.6897,0.09096137,0.089528106,0.08293688,0.08627449,0.08213193
m_3,110.69799999999998,-7.76,0.12678692,0.11809546,0.12247478,0.11890606,0.11644357
m_30,112.5426,-8.0487,0.011818141,0.012172006,0.018848319,0.012536368,0.015038819
m_4,110.32900000000001,-7.89,0.4122314,0.3552273,0.40220776,0.37624788,0.3817253
m_5,110.68,-7.62,0.09378264,0.09413252,0.08909944,0.090183325,0.088952556
m_6,110.49400000000003,-7.75,0.23392782,0.22516374,0.2533982,0.22751154,0.24785446
m_7,110.22000000000003,-7.59,0.085459955,0.08147132,0.07187155,0.07840034,0.068866365
m_8,110.36099999999999,-7.78,0.22578076,0.22199364,0.22435741,0.2228704,0.21830122
m_9,110.73000000000002,-7.87,0.10378755,0.10370226,0.098110035,0.09902595,0.09706173
t_0,108.20438000000001,-6.60444,0.0059567424,0.0066400054,0.012312558,0.007458792,0.006526635
t_1,108.02472,-6.60444,0.0055582263,0.0060154214,0.011996218,0.0069532124,0.0056562736
t_10,107.75522000000001,-6.5152,0.0037890794,0.0044155996,0.010083253,0.004894257,0.004344371
t_100,108.92302999999998,-7.05041,0.015479259,0.016581405,0.020657858,0.017642593,0.016111022
t_1000,113.77393999999998,-8.29676,0.0011083421,0.0019192048,0.005743733,0.0016136152,0.0020656616
t_1001,113.59427,-8.29676,0.0021771882,0.0028932656,0.007928201,0.002945407,0.0030695605
t_1002,113.50443999999999,-8.29676,0.0031867875,0.0036370659,0.009544476,0.0041255173,0.003370801
t_1003,113.41460999999998,-8.20786,0.0034536908,0.003936751,0.0098245945,0.0044612037,0.0036918847
t_1004,113.6841,-8.20786,0.0022939038,0.0028809048,0.008247377,0.0030572545,0.0028786403
t_1005,113.32478000000003,-8.20786,0.004053551,0.0044264696,0.010563532,0.005161451,0.004018518
t_1006,113.23495000000003,-8.20786,0.0037890223,0.0044374466,0.0100933025,0.004908568,0.004379646
t_1007,113.50443999999999,-8.20786,0.0028803004,0.003465042,0.009044792,0.0037841399,0.0033952286
t_1008,113.77393999999998,-8.20786,0.0014945589,0.0022374836,0.00669698,0.0020926425,0.0026244354
t_1009,113.14510999999999,-8.20786,0.0036542786,0.0045227143,0.009813461,0.00479293,0.004729425
t_101,109.01285999999999,-7.05041,0.019171761,0.019191466,0.02337064,0.02118021,0.017642595
t_1010,113.59427,-8.20786,0.0026479491,0.003206888,0.008768096,0.0034899893,0.0031250885
t_1011,113.32478000000003,-8.11894,0.0033369795,0.0040188967,0.009536639,0.0043681003,0.0040401923
t_1012,113.6841,-8.11894,0.0016862485,0.0024653587,0.007024433,0.002344193,0.002859946
t_1013,113.77393999999998,-8.11894,0.0018505302,0.0025009084,0.007475763,0.0025187884,0.0026357775
t_1014,113.14510999999999,-8.11894,0.0031976688,0.0042358343,0.009150156,0.0042733066,0.0047592567
t_1015,113.50443999999999,-8.11894,0.0019853683,0.0028708286,0.0074494826,0.00274528,0.0033744934
t_1016,113.23495000000003,-8.11894,0.004031574,0.004590943,0.010419914,0.0051803165,0.0044048596
t_1017,113.41460999999998,-8.11894,0.0026516132,0.003447735,0.008554978,0.0035542327,0.0036701818
t_1018,113.59427,-8.11894,0.0016912613,0.0025563713,0.006942316,0.0023699019,0.0031053706
t_1019,113.41460999999998,-8.03,0.0020028336,0.002993257,0.0073934016,0.0027888576,0.0036798413
t_102,108.74337000000003,-7.05041,0.012760533,0.0138835125,0.018400753,0.01489517,0.013696274
t_1020,113.14510999999999,-8.03,0.0025963893,0.0038194133,0.008210776,0.0035692381,0.0037819361
t_1021,113.6841,-8.03,0.0012818718,0.0021490266,0.006092783,0.0018486392,0.002270717
t_1022,113.50443999999999,-8.03,0.0015789694,0.0025610495,0.0066142147,0.0022514488,0.0026798265
t_1023,113.59427,-8.03,0.0012707743,0.0022148115,0.005986004,0.0018499239,0.0024658309
t_1024,113.32478000000003,-8.03,0.0025003362,0.0034718604,0.008204575,0.0034056702,0.004007059
t_1025,113.77393999999998,-8.03,0.0016142251,0.0023338392,0.0069616376,0.0022385416,0.0026415738
t_1026,113.23495000000003,-8.03,0.0030487713,0.0039862143,0.009003992,0.0040728436,0.0043694503
t_1027,113.6841,-7.94104,0.0011500956,0.0020340544,0.005760521,0.0016826009,0.0022709281
t_1028,113.14510999999999,-7.94104,0.0023053822,0.0035975121,0.0077204444,0.003219943,0.0037817173
t_1029,113.59427,-7.94104,0.0012709468,0.0022150709,0.005986312,0.0018501647,0.0024661075
t_103,108.47387000000003,-7.05041,0.006923281,0.0090625025,0.013196116,0.008734845,0.00847404
t_1030,113.77393999999998,-7.94104,0.0013537995,0.002134806,0.0063552614,0.0019220425,0.0026417677
t_1031,113.50443999999999,-7.94104,0.0015741267,0.0025572218,0.006603572,0.0022454907,0.0026801724
t_1032,113.32478000000003,-7.94104,0.0021898497,0.0032485395,0.0076594474,0.0030363477,0.0031746316
t_1033,113.05527999999998,-7.94104,0.002992063,0.004268488,0.008769393,0.004061578,0.0041437843
t_1034,113.41460999999998,-7.94104,0.0023157904,0.003220679,0.007970996,0.003162536,0.0036803554
t_1035,113.23495000000003,-7.94104,0.0031797525,0.004073077,0.009202772,0.004223618,0.004369834
t_1036,113.59427,-7.85206,0.0012676107,0.0022101023,0.005980184,0.0018455604,0.0024607556
