# 20060527_M6.4_Yogyakarta median gmf, Stations:None, gmlt:GEM, Rupture:IPGP
custom_site_id,lon,lat,BooreEtAl2014,CampbellBozorgnia2014,CauzziEtAl2014,ChiouYoungs2014,ZhaoEtAl2006Asc
t_0,108.20438000000001,-6.60444,0.0033806965,0.0038387694,0.0076107,0.004507248,0.004250112
t_1,108.02472,-6.60444,0.0031543344,0.0034784903,0.007414844,0.0042033643,0.00368312
t_10,107.75522000000001,-6.5152,0.002148718,0.0025495868,0.0062293275,0.0029535554,0.002826926
t_100,108.92302999999998,-7.05041,0.008785378,0.009608918,0.012769435,0.010681921,0.010491717
t_1000,113.77393999999998,-8.29676,0.0006290275,0.0011070328,0.0035503393,0.00097270386,0.0013451461
t_1001,113.59427,-8.29676,0.0012355454,0.0016700043,0.004900377,0.0017766157,0.001998751
t_1002,113.50443999999999,-8.29676,0.0018083459,0.0021013126,0.005899006,0.0024913985,0.002194714
t_1003,113.41460999999998,-8.20786,0.0019593004,0.002274111,0.00607106,0.0026937253,0.002403201
t_1004,113.6841,-8.20786,0.0013018408,0.0016634138,0.0050978,0.0018448619,0.0018745026
t_1005,113.32478000000003,-8.20786,0.002298593,0.0025573424,0.0065256055,0.0031172105,0.002614706
t_1006,113.23495000000003,-8.20786,0.0021462466,0.0025601753,0.006231091,0.002959864,0.0028472126
t_1007,113.50443999999999,-8.20786,0.0016343546,0.0020010332,0.0055900565,0.002284004,0.002210557
t_1008,113.77393999999998,-8.20786,0.00084821804,0.0012910077,0.004139556,0.0012617244,0.0017090117
t_1009,113.14510999999999,-8.20786,0.0020655144,0.0026045605,0.0060504256,0.0028841994,0.003069233
t_101,109.01285999999999,-7.05041,0.010881172,0.0111507755,0.01444644,0.012864752,0.011489207
t_1010,113.59427,-8.20786,0.0015026882,0.0018519964,0.00541946,0.002106508,0.0020348825
t_1011,113.32478000000003,-8.11894,0.001891838,0.0023195606,0.0058908337,0.0026348424,0.0026285634
