FIELD,DESCRIPTION
Year,2004
Region,Africa
Country,Morocco
Event_Name,AlHoceima_2004
Local_Date,24/02/2004
Local_Time,02:27:47
Latitude,35.142
Longitude,3.997
Depth_(km),12.2
Mw,6.3
Max_Intensity_(MMI),IX
Fault_mechanism,Strike-slip; left-lateral
Tectonic_region_type,Active Shallow Crust
Fatalities,628-631
Injured,926
Displaced_Population,12539-15230
Affected_Population,
Affected_Units,
Damaged_Units,
Collapsed_Units,2539 Units
Economic_Losses,300-400 M USD
Insured_Losses,
Induced_Effects,Landslides
USGS page,https://earthquake.usgs.gov/earthquakes/eventpage/usp000cmxe/executive
Wikipedia page,https://en.wikipedia.org/wiki/2004_Al_Hoceima_earthquake
