custom_site_id,lon,lat,vs30
s_0,-72.71,-37.79,315
s_1,-70.65206,-33.46658,287
s_2,-73.04819,-36.82828,230
s_3,-72.4,-35.34,281.5
s_4,-70.32158,-27.37372,296
s_5,-70.77142,-33.50867,412.5
s_6,-71.23669,-34.9905,606.5
s_7,-71.50986,-33.04722,553
s_8,-70.58097,-33.57803,316
s_9,-70.57922,-33.50142,360
s_10,-71.80586,-34.97628,543.5
s_11,-71.6,-33.62,305
s_12,-71.87,-33.96,380
s_13,-70.60525,-33.51386,685
s_14,-71.45,-32.52,517
s_15,-71.63,-35.43,623
s_16,-73.23914,-39.83142,281
s_17,-71.6,-33.03,360
s_18,-71.62,-33.03,1421
s_19,-71.55294,-33.02492,273
s_20,-70.75519,-28.57656,424
s_21,-70.63,-33.57,310
s_22,-73.11,-36.84,260
s_23,-71.41,-33.32,241
s_24,-70.53,-33.45,502
s_25,-71.21,-33.69,279
s_26,-70.35,-33.64,855
s_27,-70.65,-33.47,287
s_28,-70.66,-33.46,305
s_29,-70.53,-33.48,554
s_30,-70.61,-33.51,302
s_31,-70.5369,-33.3961,484
s_32,-71.2138,-33.6874,258
s_33,-71.173,-32.994,541
s_34,-71.0156,-32.9759,900
s_35,-70.6428,-33.4405,308
s_36,-70.767,-33.517,289.01
s_37,-71.51,-33.047,604.2
s_38,-71.553,-33.025,282.96
s_39,-71.016,-32.976,900
s_40,-70.755,-28.577,418.69
s_41,-73.213,-39.824,224.49
s_42,-70.633,-33.569,309
s_43,-70.582,-33.57,310.19
s_44,-73.109,-36.844,245.97
s_45,-71.595,-33.036,513.49
s_46,-70.643,-33.44,335.54
s_47,-71.236,-34.981,280.17
s_48,-70.579,-33.5,308.23
s_49,-72.708,-37.795,501.84
s_50,-70.531,-33.45,814.62
s_51,-70.31,-27.39,760
s_52,-70.651,-33.44,335.54
s_53,-70.606,-33.513,304.42
s_54,-72.406,-35.34,561.69
s_55,-71.873,-33.959,600
s_56,-71.498,-31.88,449.56
s_57,-70.605,-33.154,900
s_58,-71.8,-34.95,708.37
s_59,-73.07,-36.6,600
s_60,-71.236,-34.99,280.17
s_61,-70.579,-33.501,308.23
s_62,-70.581,-33.577,310.19
s_63,-70.772,-33.5,289.01
s_64,-70.354,-33.64,650.67
s_65,-73.24,-39.83,252.2
s_66,-70.652,-33.467,286.21
m_67,-72.68,-37.5,297.61
m_68,-70.748,-33.3761,453.68
m_69,-72.02,-37.12,312.94
m_70,-69.24,-38.94,298.79
m_71,-70.7695,-33.3943,223.14
m_72,-73.46,-37.62,277.12
m_73,-68.53,-31.54,278.78
m_74,-72.7,-37.8,501.84
m_75,-72.4101,-35.3318,298.12
m_76,-72.96,-36.61,555.47
m_77,-70.6669,-33.4301,304.48
m_78,-72.17,-33.65,600
m_79,-70.6468,-33.443,335.54
m_80,-73.03,-36.82,315.41
m_81,-72.4048,-35.3371,561.69
m_82,-73.0517,-36.8286,211.93
m_83,-73.0525,-36.8273,211.93
m_84,-70.7532,-33.5034,300.77
m_85,-70.5985,-33.4754,347.4
m_86,-70.87,-34.41,274.41
m_87,-72.4152,-35.3281,298.12
m_88,-71.36,-34.64,226.14
m_89,-71.64,-34.83,656.51
m_90,-70.7415,-33.8665,226.33
m_91,-70.7482,-33.5074,300.77
m_92,-70.99,-34.58,287.28
m_93,-72.11,-36.6,274.83
m_94,-73.0556,-36.8295,211.93
m_95,-70.6191,-33.3887,634.01
m_96,-72.93,-36.74,453.91
m_97,-70.7602,-33.3865,453.68
