STATION_ID,STATION_NAME,LONGITUDE,LATITUDE,STATION_TYPE,VS30,MMI_VALUE,MMI_STDDEV,PGA_LN_SIGMA,PGA_VALUE,PGV_LN_SIGMA,PGV_VALUE,SA(0.3)_LN_SIGMA,SA(0.3)_VALUE,SA(1.0)_LN_SIGMA,SA(1.0)_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE,VS30_TYPE,REFERENCES,GMICE
KATNP,"Kanti Path, Kathmandu, Nepal",85.31561,27.71235,seismic,283.38,8.9,0.63,0.0,0.164,0.0,107.3,0.0,0.291,0.0,0.288,0.0,0.237,inferred,Stations_USGS_CaprioEtAl2015,
KSN,"Kishanganj, India",87.947,26.095,seismic,232.61,6.3,0.63,0.0,0.0406,0.0,16.4,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,
VNS,"Varanasi, India",82.854,25.553,seismic,220.36,3.8,0.63,0.0,0.0206,0.0,2.07,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,
BRP,"Balarampur, India",82.055,27.504,seismic,218.85,4.3,0.63,0.0,0.0329,0.0,3.48,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,
PHN,"Pihani, India",80.16,27.65,seismic,760.0,3.5,0.63,0.0,0.0106,0.0,1.23,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,
AMT,"Amethi, India",81.678,26.187,seismic,229.64,4.3,0.63,0.0,0.0156,0.0,2.46,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,
BRE,"Bareilly, India",79.418,28.343,seismic,760.0,3.6,0.63,0.0,0.00687,0.0,1.36,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,
HAR,"Hardoi, India",80.133,27.396,seismic,760.0,3.7,0.63,0.0,0.00877,0.0,1.58,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,
MTR,"Motihari, India",84.899,26.63,seismic,225.0,6.0,0.63,0.0,0.0788,0.0,6.97,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,
LEH,"Laharpur, India",80.89,27.709,seismic,235.12,3.9,0.63,0.0,0.0147,0.0,1.84,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,
UTR,"Utrala, India",82.415,27.31,seismic,202.22,4.5,0.63,0.0,0.0417,0.0,4.46,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,
HDR,"Haridwar, India",78.052,29.975,seismic,760.0,3.2,0.63,0.0,0.00413,0.0,0.81,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,
MAH,"Maharajganj, India",83.539,27.141,seismic,202.22,5.8,0.63,0.0,0.0621,0.0,10.9,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,
