STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,SOIL_TYPE,PGA_VALUE_1,SA(0.3)_VALUE_1,SA(0.6)_VALUE_1,SA(1.0)_VALUE_1,PGA_VALUE_2,SA(0.3)_VALUE_2,SA(0.6)_VALUE_2,SA(1.0)_VALUE_2,PGA_VALUE_V,SA(0.3)_VALUE_V,SA(0.6)_VALUE_V,SA(1.0)_VALUE_V,PGA_VALUE,SA(0.3)_VALUE,SA(0.6)_VALUE,SA(1.0)_VALUE,PGA_LN_SIGMA,SA(0.3)_LN_SIGMA,SA(0.6)_LN_SIGMA,SA(1.0)_LN_SIGMA,REFERENCES,VS30,MMI_VALUE,MMI_STDDEV,PGV_LN_SIGMA,PGV_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE,VS30_TYPE,GMICE
KTP,KTP,27.68216,85.27259,seismic,rock,0.156550357,0.480480427,0.254877221,0.118491082,0.25971998,0.673119399,0.201226885,0.144943818,0.129311825,0.212171115,0.107215227,0.084709497,0.25971998,0.673119399,0.254877221,0.144943818,0.0,0.0,0.0,0.0,CESMD,,,,,,,,,
TVU,TVU,27.68179,85.28825,seismic,lacustrin_sediment,0.213978389,0.36348607,0.336235663,0.429778159,0.233183282,0.380900444,0.717511907,0.403243445,0.140952599,0.29407554,0.25172301,0.150114164,0.233183282,0.380900444,0.717511907,0.429778159,0.0,0.0,0.0,0.0,CESMD,,,,,,,,,
PTN,PTN,27.6815,85.31896,seismic,lacustrin_sediment,0.153601223,0.441704115,0.313793762,0.264599944,0.130593476,0.238347675,0.325056428,0.326960154,0.13653843,0.213930212,0.344250081,0.147853266,0.153601223,0.441704115,0.325056428,0.326960154,0.0,0.0,0.0,0.0,CESMD,,,,,,,,,
THM,THM,27.6813,85.37705,seismic,lacustrin_sediment,0.153420183,0.18977856,0.2811316,0.315355809,0.136425076,0.231501211,0.286002488,0.294806371,0.18727054,0.269774985,0.245984295,0.170518959,0.153420183,0.231501211,0.286002488,0.315355809,0.0,0.0,0.0,0.0,CESMD,,,,,,,,,
DMG,DMG,27.7193,85.3166,seismic, sedimentary,0.177067981,0.297686886,0.331383661,0.199606918,0.126809907,0.241256921,0.321452657,0.175398106,0.205488435,0.372730274,0.265762212,0.119273655,0.177067981,0.297686886,0.331383661,0.199606918,0.0,0.0,0.0,0.0,Bhattarai_et_al_2015,,,,,,,,,
Those1,Those1,27.553,86.2558,macroseismic,,,,,,,,,,,,,,1.491736,2.189587,,2.614781,0.8059,1.0131,,1.0822,Stations_USGS,479.0,9.5,0.3,0.875,167.0263,1.4737,0.461161,inferred,
OBS_6,Phulkharka (Intensity IX),28.0646,84.9198,macroseismic,,,,,,,,,,,,,,1.314857,1.827325,,1.569608,0.8059,1.0131,,1.0822,Stations_USGS,900.0,9.0,0.3,0.875,116.0264,1.4737,0.277054,inferred,
OBS_7,Pipaldanda (Intensity IX),27.7791,85.6869,macroseismic,,,,,,,,,,,,,,1.311402,1.824799,,1.572142,0.8059,1.0131,,1.0822,Stations_USGS,857.49,9.0,0.3,0.875,116.0264,1.4737,0.277556,inferred,
OBS_4,Barpak Village (Intensity IX),28.201,84.7429,macroseismic,,,,,,,,,,,,,,1.309843,1.823658,,1.573288,0.8059,1.0131,,1.0822,Stations_USGS,900.0,9.0,0.3,0.875,116.0264,1.4737,0.277783,inferred,
Chautrara8,Chautrara8,27.75,85.7246,macroseismic,,,,,,,,,,,,,,1.308436,1.822628,,1.574324,0.8059,1.0131,,1.0822,Stations_USGS,681.53,9.0,0.3,0.875,116.0264,1.4737,0.277988,inferred,
