# 20210814_M7.2_Haiti median gmf, Stations:Seismic, gmlt:GEM, Rupture:USGS
custom_site_id,lon,lat,AbrahamsonEtAl2014,AkkarEtAlRjb2014,CauzziEtAl2014
m_10,-74.2181,18.5797,0.15098296,0.078046925,0.0821723
m_100,-73.5078,18.5302,0.56629235,0.6209355,0.23513867
m_101,-73.4998,18.3675,0.6872844,0.6272056,0.4206118
m_102,-73.4796,18.5119,0.5718667,0.59812933,0.3092396
m_103,-73.4711,18.4034,0.7773027,0.6516527,0.46881178
m_104,-73.4707,18.4396,0.6833611,0.6130404,0.43816957
m_105,-73.4533,18.2677,0.45127937,0.33348912,0.31219804
m_106,-73.4524,18.3762,0.694838,0.6464145,0.48400387
m_107,-73.4523,18.3852,0.69951123,0.65057915,0.48501718
m_108,-73.4512,18.5117,0.5905234,0.60983294,0.30272636
m_109,-73.4439,18.2677,0.4509583,0.32934165,0.30849582
m_11,-74.2181,18.5887,0.14999653,0.0777542,0.08163636
m_110,-73.4417,18.5116,0.5920815,0.6092403,0.30346322
m_111,-73.4334,18.376,0.65780413,0.61844254,0.50949776
m_112,-73.4325,18.4844,0.6779084,0.62154293,0.29117343
m_113,-73.4322,18.5115,0.60529333,0.61913973,0.2957025
m_114,-73.4237,18.403,0.78448975,0.643855,0.462148
m_115,-73.4228,18.5024,0.62347347,0.6034525,0.25811872
m_116,-73.4144,18.3849,0.65789497,0.6162334,0.5120248
m_117,-73.4135,18.4843,0.66496646,0.6266653,0.3286165
m_118,-73.4041,18.4751,0.7026446,0.6304814,0.32340512
m_119,-73.4041,18.4842,0.68276066,0.62904096,0.3094444
m_12,-74.2086,18.5887,0.15268087,0.07962824,0.08308819
m_120,-73.4038,18.5113,0.62437576,0.61437446,0.25997892
m_121,-73.3965,18.2763,0.46515024,0.32832947,0.30214286
m_122,-73.3964,18.2853,0.48459366,0.34897614,0.315004
m_123,-73.3955,18.3847,0.7233718,0.6391668,0.4453222
m_124,-73.3949,18.448,0.76919097,0.62163216,0.35798585
m_125,-73.3947,18.4751,0.70192426,0.62021023,0.3227679
m_126,-73.3862,18.3666,0.6793706,0.5958846,0.4514287
m_127,-73.3855,18.4479,0.71244466,0.59854805,0.40274385
m_128,-73.3675,18.3483,0.62688655,0.50438917,0.3893787
m_129,-73.3673,18.3664,0.6235718,0.5377962,0.45843938
m_13,-74.1419,18.6607,0.16862328,0.09363972,0.09108404
m_130,-73.3568,18.4747,0.593591,0.5081435,0.32909104
m_131,-73.3473,18.4747,0.5549815,0.47606263,0.32178536
m_132,-73.3472,18.4927,0.536545,0.46682864,0.30547366
m_133,-73.3471,18.5018,0.53063065,0.4635357,0.2944227
m_134,-73.3387,18.3842,0.6097186,0.47486883,0.37673894
m_135,-73.338,18.4565,0.5312611,0.44950157,0.3451436
m_136,-73.3377,18.4926,0.5027727,0.43847016,0.29504994
m_137,-73.3376,18.5017,0.496843,0.43534482,0.28480297
m_138,-73.3192,18.4473,0.5029607,0.37861064,0.28799948
m_139,-73.3099,18.4292,0.45262402,0.32394367,0.26456785
m_14,-74.1327,18.5974,0.19669142,0.11055786,0.10657965
m_140,-73.3098,18.4382,0.4430529,0.32149583,0.25890267
m_141,-73.2999,18.4833,0.4167675,0.32209647,0.30968684
m_142,-73.2814,18.4379,0.37560743,0.25093082,0.22300027
m_143,-73.281,18.4831,0.3976641,0.28109294,0.22583586
m_144,-73.2715,18.483,0.38592118,0.2642128,0.21878803
m_145,-73.2527,18.4738,0.38218132,0.24747385,0.22115143
m_146,-73.2526,18.4828,0.3634802,0.23520991,0.20530629
m_147,-73.2444,18.3563,0.3944335,0.23627424,0.22804332
m_148,-73.2432,18.4737,0.37091455,0.23443559,0.21392071
m_149,-73.2349,18.3562,0.37532103,0.21937002,0.21428017
m_15,-74.1325,18.6516,0.15328348,0.0868496,0.08560506
m_150,-73.2348,18.3652,0.39723608,0.240588,0.24464951
m_151,-73.2255,18.3561,0.36229348,0.2084128,0.20625629
m_152,-73.2254,18.3651,0.3848954,0.22916603,0.2353824
m_153,-73.2245,18.4464,0.33883834,0.19609249,0.19067535
m_154,-73.2147,18.4825,0.3228685,0.19106197,0.18090455
m_155,-73.1958,18.4823,0.31745255,0.18375257,0.17998527
m_156,-73.1862,18.4913,0.3086025,0.17785998,0.17528556
m_157,-73.1402,18.3643,0.29395077,0.15382914,0.21010916
m_158,-73.1307,18.3733,0.28897837,0.14956155,0.20423739
m_159,-73.1214,18.3551,0.27618244,0.14259218,0.1558381
m_16,-74.1324,18.6606,0.17137085,0.09601502,0.09259307
m_160,-73.1212,18.3732,0.27775946,0.14359105,0.15683056
m_161,-73.1117,18.3731,0.27070868,0.1387516,0.15228644
m_162,-73.1022,18.382,0.2526837,0.12710696,0.13967696
m_163,-73.102,18.4001,0.2600901,0.13170893,0.14481969
m_164,-73.1019,18.4091,0.24878098,0.12458827,0.1371075
m_165,-73.0928,18.3729,0.26659447,0.13534044,0.15239802
m_166,-73.0927,18.3819,0.2462347,0.12296255,0.1357963
m_167,-73.0926,18.391,0.2462579,0.12295567,0.1357844
m_168,-73.0924,18.409,0.24240047,0.12053532,0.13332105
m_169,-73.092,18.4452,0.25103682,0.12641065,0.13924256
m_17,-74.1231,18.6335,0.172299,0.09741784,0.0936821
m_170,-73.083,18.4089,0.2612833,0.13158672,0.14915524
m_171,-73.0829,18.418,0.26076484,0.13123459,0.14878103
m_172,-73.0828,18.427,0.24681601,0.12313431,0.13665028
m_173,-73.0827,18.436,0.2459466,0.122775264,0.13609895
m_174,-73.0826,18.4451,0.22899505,0.11284235,0.12535405
m_175,-73.0737,18.3908,0.19742407,0.097691715,0.112155415
m_176,-73.0736,18.3998,0.25398177,0.12701045,0.14355014
m_177,-73.0735,18.4088,0.24939649,0.12436641,0.13938887
m_178,-73.0733,18.4269,0.25626254,0.12807047,0.1466981
m_179,-73.0732,18.4359,0.2554692,0.12772477,0.14613527
m_18,-74.123,18.6425,0.17767826,0.1006368,0.09608477
m_180,-73.0638,18.4268,0.2507553,0.1244884,0.14292637
m_181,-73.0637,18.4358,0.25001124,0.12416137,0.14240432
m_182,-73.0544,18.4267,0.21306667,0.10284168,0.11622453
m_19,-74.123,18.6516,0.17588668,0.099560656,0.095088236
m_2,-76.8412,17.9444,0.0066230795,0.007656245,0.008283154
m_20,-74.1136,18.6244,0.19993924,0.11525188,0.10848016
m_21,-74.1136,18.6334,0.17529085,0.10014646,0.09533818
m_22,-74.1135,18.6425,0.1806551,0.103377156,0.097738236
m_23,-74.1135,18.6515,0.17879987,0.1022309,0.09670269
m_24,-74.0947,18.6243,0.20832367,0.122912206,0.113468595
m_25,-74.0569,18.606,0.21808581,0.13550024,0.118983075
m_26,-74.0285,18.5969,0.25698677,0.16645306,0.14863582
m_27,-74.019,18.5968,0.22783133,0.15106975,0.12468483
m_28,-73.9628,18.479,0.3208501,0.22157884,0.18232352
m_29,-73.9534,18.479,0.34424233,0.24588472,0.2056855
m_3,-75.1433,19.9414,0.009576023,0.009258566,0.0098719355
m_30,-73.9341,18.5331,0.32510108,0.2691717,0.18981951
m_31,-73.9244,18.5692,0.3078688,0.2619716,0.16827717
m_32,-73.9243,18.5873,0.3189343,0.24489975,0.20387317
m_33,-73.9063,18.4335,0.40716094,0.29970506,0.23520714
m_34,-73.8968,18.4335,0.42096815,0.32029963,0.24383382
m_35,-73.896,18.569,0.37114424,0.30706987,0.17532508
m_36,-73.8865,18.569,0.37198773,0.30338618,0.16372868
m_37,-73.8785,18.334,0.5028115,0.3562755,0.31065413
m_38,-73.8777,18.4605,0.43183967,0.38937536,0.26486075
m_39,-73.8772,18.5418,0.43335038,0.377008,0.19847625
m_4,-73.5326,18.3994,0.80063623,0.66610944,0.44952053
m_40,-73.8692,18.3158,0.500611,0.36714825,0.34515956
m_41,-73.8691,18.3249,0.50899816,0.37683007,0.3513921
m_42,-73.8691,18.3339,0.5214634,0.38586938,0.34441707
m_43,-73.8604,18.2073,0.37050724,0.23407161,0.26927656
m_44,-73.8597,18.3248,0.52607864,0.40030807,0.3672301
m_45,-73.851,18.2073,0.37551263,0.2402186,0.27295822
m_46,-73.8505,18.2886,0.49093378,0.36380237,0.35171026
m_47,-73.8504,18.2976,0.50571907,0.38047704,0.35984686
m_48,-73.8488,18.5326,0.48117575,0.45813605,0.24470405
m_49,-73.8299,18.5325,0.5015056,0.5324252,0.2154797
m_5,-73.438,18.3986,0.81325144,0.62832284,0.41386172
m_50,-73.8205,18.5234,0.52112716,0.5638893,0.21786599
