ID_1,NAME_1,ID_2,NAME_2,FATALITIES,FATALITIES_GROUND_SHAKING,INJURIES,DISPLACED_POPULATION,AFFECTED_POPULATION,CAUSE_OF_INJURY/DEATH,REFERENCE,COMMENTS
SV01,Ahuachapán,SV0101,Ahuachapán,,,119.0,,2837.0,Shaking,ProteccionCivil ,
SV01,Ahuachapán,SV0111,Tacuba,,,56.0,,27256.0,Shaking,ProteccionCivil ,
SV01,Ahuachapán,SV0104,Concepción de Ataco,,,19.0,,7467.0,Shaking,ProteccionCivil ,
SV01,Ahuachapán,SV0102,Apaneca,,,35.0,,1226.0,Shaking,ProteccionCivil ,
SV01,Ahuachapán,SV0107,Jujutla,,,2.0,,2390.0,Shaking,ProteccionCivil ,
SV01,Ahuachapán,SV0112,Turin,,,,,2695.0,Shaking,ProteccionCivil ,
SV01,Ahuachapán,SV0103,Atiquizaya,,,1.0,,15671.0,Shaking,ProteccionCivil ,
SV01,Ahuachapán,SV0110,San Pedro Puxtla,,,15.0,,2743.0,Shaking,ProteccionCivil ,
SV01,Ahuachapán,SV0106,Guaymango,,,,,3260.0,Shaking,ProteccionCivil ,
SV01,Ahuachapán,SV0108,San Francisco Menendez,,,,,1178.0,Shaking,ProteccionCivil ,
SV01,Ahuachapán,SV0109,San Lorenzo,,,,,398.0,Shaking,ProteccionCivil ,
SV01,Ahuachapán,SV0105,El Refugio,,,,,3965.0,Shaking,ProteccionCivil ,
SV02,Cabañas,SV0203,Ilobasco,,,7.0,,325.0,Shaking,ProteccionCivil ,
SV02,Cabañas,SV0207,Tejutepeque,,,,,2152.0,Shaking,ProteccionCivil ,
SV02,Cabañas,SV0204,Jutiapa,,,,,66.0,Shaking,ProteccionCivil ,
SV02,Cabañas,SV0209,Dolores,,,,,30.0,Shaking,ProteccionCivil ,
SV02,Cabañas,SV0208,Victoria,,,,,388.0,Shaking,ProteccionCivil ,
SV02,Cabañas,SV0202,San Isidro,,,,,36.0,Shaking,ProteccionCivil ,
SV03,Chalatenango,SV0307,Chalatenango,,,2.0,,222.0,Shaking,ProteccionCivil ,
SV03,Chalatenango,SV0324,San Francisco Morazán,,,,,,Shaking,ProteccionCivil ,
SV03,Chalatenango,SV0329,San Luis Del Carmen,,,1.0,,179.0,Shaking,ProteccionCivil ,
SV03,Chalatenango,SV0333,Tejutla,,,1.0,,,Shaking,ProteccionCivil ,
SV03,Chalatenango,SV0323,San Francisco Lempa,,,,,7.0,Shaking,ProteccionCivil ,
SV03,Chalatenango,SV0316,Nueva Concepción,,,,,139.0,Shaking,ProteccionCivil ,
SV03,Chalatenango,SV0328,San José Las Flores,,,,,307.0,Shaking,ProteccionCivil ,
SV03,Chalatenango,SV0310,El Paraíso,,,,,171.0,Shaking,ProteccionCivil ,
SV03,Chalatenango,SV0321,San Antonio Los Ranchos,,,,,171.0,Shaking,ProteccionCivil ,
SV03,Chalatenango,SV0320,San Antonio de la Cruz,,,,,54.0,Shaking,ProteccionCivil ,
SV04,Cuscatlán,SV0402,Cojutepeque,10.0,10.0,10.0,,2362.0,Shaking,ProteccionCivil ,
SV04,Cuscatlán,SV0401,Candelaria,3.0,3.0,3.0,,6669.0,Shaking,ProteccionCivil ,
SV04,Cuscatlán,SV0414,Santa Cruz Michapa,5.0,5.0,3.0,,2237.0,Shaking,ProteccionCivil ,
SV04,Cuscatlán,SV0403,El Carmen,,,1.0,,4538.0,Shaking,ProteccionCivil ,
SV04,Cuscatlán,SV0411,San Rafael Cedros,,,,,1516.0,Shaking,ProteccionCivil ,
SV04,Cuscatlán,SV0412,San Ramón,1.0,1.0,9.0,,3301.0,Shaking,ProteccionCivil ,
SV04,Cuscatlán,SV0413,Santa CruzAnalquito,,,6.0,,2598.0,Shaking,ProteccionCivil ,
SV04,Cuscatlán,SV0410,San Pedro Perulapán,,,,,637.0,Shaking,ProteccionCivil ,
SV04,Cuscatlán,SV0408,San Cristóbal,,,4.0,,4606.0,Shaking,ProteccionCivil ,
SV04,Cuscatlán,SV0409,San José Guayabal,1.0,1.0,,,7735.0,Shaking,ProteccionCivil ,
SV04,Cuscatlán,SV0405,Monte San Juan,,,,,1184.0,Shaking,ProteccionCivil ,
SV04,Cuscatlán,SV0407,San Bartolomé Perulapía,,,,,91.0,Shaking,ProteccionCivil ,
SV04,Cuscatlán,SV0406,Oratorio de Concepción,,,,,255.0,Shaking,ProteccionCivil ,
SV04,Cuscatlán,SV0404,El Rosario,,,,,364.0,Shaking,ProteccionCivil ,
SV04,Cuscatlán,SV0415,Suchitoto,,,7.0,,26.0,Shaking,ProteccionCivil ,
SV07,La Unión,SV0704,Conchagua,1.0,1.0,3.0,,2225.0,Shaking,ProteccionCivil ,
SV07,La Unión,SV0705,El Carmen,,,,,3365.0,Shaking,ProteccionCivil ,
SV07,La Unión,SV0708,La Unión,,,1.0,,2560.0,Shaking,ProteccionCivil ,
SV07,La Unión,SV0714,San Alejo,,,4.0,,805.0,Shaking,ProteccionCivil ,
SV07,La Unión,SV0707,Intipucá,,,,,1338.0,Shaking,ProteccionCivil ,
SV07,La Unión,SV0717,Yayantique,,,,,780.0,Shaking,ProteccionCivil ,
SV07,La Unión,SV0712,Pasaquina,,,,,60.0,Shaking,ProteccionCivil ,
SV07,La Unión,SV0710,Meanguera,,,,,1764.0,Shaking,ProteccionCivil ,
