# 20140000_Sequence_Kefalonia/20140203_M6.0_Kefalonia median gmf, Stations:None, gmlt:USGS, Rupture:USGS
custom_site_id,lon,lat,AkkarEtAlRjb2014,CauzziEtAl2014,ZhaoEtAl2016Asc
t_1020,24.12786,35.23459,0.0008973539,0.001235916,0.00041210133
t_1021,24.500920000000008,35.14229,0.00089473417,0.0011880263,0.00031497862
t_1022,24.58435,35.19866,0.0007898708,0.0010821011,0.0003119459
t_1023,24.43222,35.21077,0.0008601212,0.0011672287,0.0003426409
t_1024,24.28004999999999,35.22275,0.00088055956,0.0012030746,0.00037597795
t_1025,24.51567,35.26716,0.00094272103,0.0012473695,0.00033925942
t_1026,24.363439999999997,35.27921,0.001011579,0.0013313915,0.0004976109
t_1027,24.59921,35.32349,0.0009643669,0.0012664779,0.00044762963
t_1028,24.446910000000003,35.33561,0.0010134431,0.0013313155,0.0004925716
t_1036,24.682819999999992,35.37977,0.0010647379,0.0013603504,0.00044176631
t_1037,23.975629999999995,35.2463,0.0008840628,0.0012384239,0.00045116091
t_1038,24.211180000000013,35.29112,0.00087037036,0.001207168,0.00040924264
t_1039,24.05888999999999,35.3029,0.0009888347,0.0013441717,0.0004487485
t_1040,24.142230000000012,35.35945,0.0008972994,0.0012498137,0.0004455479
t_1041,23.989840000000015,35.37116,0.00091476983,0.0012850233,0.0004887688
t_1042,24.073199999999986,35.42773,0.000977591,0.0013481434,0.0004851827
t_1043,23.920709999999985,35.43938,0.001249893,0.0016394068,0.00071076455
t_1044,24.004079999999988,35.49596,0.0014330316,0.0018129644,0.00070539606
t_1045,24.29459,35.34759,0.0012279346,0.0015554703,0.0005415104
t_1047,23.82337000000001,35.25788,0.0009371861,0.0013099783,0.0004932852
t_1048,23.671089999999992,35.26933,0.001154929,0.0015488359,0.0007188934
t_1049,23.906569999999988,35.31455,0.00092358596,0.0012952123,0.00049147685
t_1050,23.754220000000004,35.32607,0.000976958,0.0013682357,0.00053756987
t_1051,23.601830000000007,35.33745,0.0009810579,0.0013909781,0.0005871473
t_1052,23.83742000000001,35.38275,0.0011924112,0.0015845443,0.00071482407
t_1053,23.684979999999996,35.3942,0.001137173,0.001550854,0.0005859915
t_1054,23.768200000000007,35.4509,0.0012501802,0.0016625158,0.0007791114
t_1055,23.61565999999999,35.46229,0.0012643508,0.0016999086,0.0008528841
t_1056,23.851499999999987,35.50755,0.0013095124,0.0017191332,0.0007745526
t_1057,23.782209999999992,35.57568,0.0011677562,0.0016003042,0.0006325413
t_1058,23.71284,35.64376,0.0010751707,0.0015260904,0.00068971026
t_1059,21.90324000000001,36.83408,0.00397512,0.005935994,0.0066423444
t_1060,21.68932000000001,37.03483,0.0044442713,0.0069884444,0.00917997
t_1061,21.617850000000004,37.10165,0.004644409,0.0074359495,0.010276044
t_1062,21.701279999999997,37.15891,0.0045664166,0.007338737,0.010254376
t_1063,21.748699999999985,36.84378,0.004197007,0.006335788,0.007354175
t_1064,21.83202,36.90104,0.0038295214,0.005921364,0.007382576
t_1065,21.91541000000001,36.95825,0.00360724,0.0056616105,0.0073713143
t_1066,21.76070999999999,36.96796,0.0045820926,0.006955542,0.008222666
t_1067,21.844120000000004,37.02519,0.004072979,0.0063652266,0.008208729
t_1068,21.927610000000016,37.08236,0.0043567703,0.006681403,0.008147601
t_1069,21.77274,37.09207,0.00443171,0.006970317,0.0091626085
t_1070,22.011179999999996,37.13947,0.0049913647,0.0073858807,0.008041094
t_1071,22.48277999999999,36.42103,0.0022491757,0.0033237755,0.0033088354
t_1072,22.412149999999997,36.48835,0.00215687,0.0032878274,0.0027278585
t_1073,22.295749999999998,36.87131,0.0024610308,0.003944108,0.0039835097
t_1074,22.424829999999986,36.61268,0.002099165,0.0032874541,0.0029910884
t_1075,22.508309999999994,36.66968,0.0026844982,0.003937225,0.003959286
t_1076,22.437540000000013,36.73694,0.002203134,0.0034743208,0.0032686826
t_1077,22.521119999999996,36.79391,0.0026298866,0.0039494787,0.004307965
t_1078,22.366690000000006,36.80415,0.0025355069,0.0039405413,0.0036061355
t_1079,22.604780000000005,36.85082,0.0027746928,0.004095114,0.0042375596
t_1080,22.450279999999992,36.86113,0.0026722397,0.004084409,0.0035580222
t_1081,22.533950000000004,36.91806,0.0031731816,0.0046237493,0.0046672225
t_1082,22.90046000000001,36.70562,0.002057554,0.0030770313,0.0023486267
t_1083,22.82990000000001,36.77302,0.0022307069,0.0033305292,0.0025773863
t_1084,22.913690000000003,36.82979,0.0021732326,0.0032520709,0.0025225757
t_1085,22.75925000000001,36.84037,0.002941007,0.0041737054,0.0037782763
t_1086,22.84306000000001,36.89716,0.00254274,0.0037258682,0.003693997
t_1087,22.68852000000001,36.90768,0.0029021618,0.004216105,0.0041529974
t_1088,22.224739999999997,36.93843,0.002936763,0.004602334,0.0044065313
t_1089,22.30834999999999,36.99544,0.00284982,0.00448492,0.0043401946
t_1090,22.153629999999993,37.00549,0.0030241434,0.0048202113,0.00488202
t_1091,22.237269999999995,37.06252,0.002846386,0.0045912443,0.004803537
t_1092,22.082449999999994,37.07251,0.0032680985,0.0052371067,0.0054180482
t_1093,22.1661,37.12955,0.0034483217,0.005426378,0.0053247465
t_1094,22.24982,37.18654,0.0032877405,0.005209199,0.0052070995
t_1095,22.094840000000005,37.19653,0.0034205932,0.0055365637,0.0059128
t_1096,22.37935999999999,36.92831,0.0024698977,0.0039414964,0.003927125
t_1097,22.463040000000007,36.98526,0.0034555187,0.0050375895,0.00514608
t_1098,22.546809999999994,37.04215,0.0030464802,0.004561193,0.0050315503
t_1099,22.392050000000012,37.0524,0.002735274,0.004330809,0.0042559477
t_110,14.857740000000007,37.32605,0.0011651025,0.0014520338,0.00043745775
t_1100,22.475840000000005,37.10931,0.0032408724,0.0048841,0.0055467165
t_1101,22.32097999999999,37.1195,0.0027343149,0.004434586,0.0047042426
t_1102,22.559699999999992,37.16616,0.002947815,0.004522472,0.0053937742
t_1103,22.404779999999988,37.17642,0.0031658025,0.004912214,0.004586235
