calc_id,description,cal_time,gmpe,imt,nominal_bias,abs_nominal_bias,max_gmv,Rupture,GMLT,Recording_Stations
881,"Median gmf - DRAFT_19920313_M6.68_Erzincan (Rupture:USGS, GMPEs:USGS, Recording Stations:all)",28,AkkarEtAlRjb2014,PGA,0,0,0.78440267,USGS,USGS,all
882,"Median gmf - DRAFT_19920313_M6.68_Erzincan (Rupture:ESM, GMPEs:USGS, Recording Stations:all)",29,AkkarEtAlRjb2014,PGA,0.004,0.004,0.78408074,ESM,USGS,all
880,"Median gmf - DRAFT_19920313_M6.68_Erzincan (Rupture:GCMT, GMPEs:USGS, Recording Stations:all)",28,ZhaoEtAl2016Asc,PGA,-0.015,0.015,0.81326836,GCMT,USGS,all
886,"Median gmf - DRAFT_19920313_M6.68_Erzincan (Rupture:ESM, GMPEs:GEM, Recording Stations:all)",38,KothaEtAl2020ESHM20SlopeGeology,PGA,0.035,0.035,0.79234874,ESM,GEM,all
886,"Median gmf - DRAFT_19920313_M6.68_Erzincan (Rupture:ESM, GMPEs:GEM, Recording Stations:all)",38,KothaEtAl2020ESHM20SlopeGeology,PGA,0.036,0.036,0.79234874,ESM,GEM,all
886,"Median gmf - DRAFT_19920313_M6.68_Erzincan (Rupture:ESM, GMPEs:GEM, Recording Stations:all)",38,KothaEtAl2020ESHM20SlopeGeology,PGA,0.036,0.036,0.79234874,ESM,GEM,all
882,"Median gmf - DRAFT_19920313_M6.68_Erzincan (Rupture:ESM, GMPEs:USGS, Recording Stations:all)",29,CauzziEtAl2014,PGA,-0.04,0.04,0.7968671,ESM,USGS,all
881,"Median gmf - DRAFT_19920313_M6.68_Erzincan (Rupture:USGS, GMPEs:USGS, Recording Stations:all)",28,CauzziEtAl2014,PGA,-0.053,0.053,0.7991321,USGS,USGS,all
884,"Median gmf - DRAFT_19920313_M6.68_Erzincan (Rupture:GCMT, GMPEs:GEM, Recording Stations:all)",42,KothaEtAl2020ESHM20SlopeGeology,PGA,0.091,0.091,0.7657619,GCMT,GEM,all
879,"Median gmf - DRAFT_19920313_M6.68_Erzincan (Rupture:EFEHR, GMPEs:USGS, Recording Stations:all)",22,AkkarEtAlRjb2014,PGA,-0.101,0.101,0.7801647,EFEHR,USGS,all
883,"Median gmf - DRAFT_19920313_M6.68_Erzincan (Rupture:EFEHR, GMPEs:GEM, Recording Stations:all)",45,KothaEtAl2020ESHM20SlopeGeology,PGA,0.106,0.106,0.75832266,EFEHR,GEM,all
883,"Median gmf - DRAFT_19920313_M6.68_Erzincan (Rupture:EFEHR, GMPEs:GEM, Recording Stations:all)",45,KothaEtAl2020ESHM20SlopeGeology,PGA,0.107,0.107,0.75832266,EFEHR,GEM,all
883,"Median gmf - DRAFT_19920313_M6.68_Erzincan (Rupture:EFEHR, GMPEs:GEM, Recording Stations:all)",45,KothaEtAl2020ESHM20SlopeGeology,PGA,0.108,0.108,0.75832266,EFEHR,GEM,all
885,"Median gmf - DRAFT_19920313_M6.68_Erzincan (Rupture:USGS, GMPEs:GEM, Recording Stations:all)",40,KothaEtAl2020ESHM20SlopeGeology,PGA,-0.145,0.145,0.7667258,USGS,GEM,all
885,"Median gmf - DRAFT_19920313_M6.68_Erzincan (Rupture:USGS, GMPEs:GEM, Recording Stations:all)",40,KothaEtAl2020ESHM20SlopeGeology,PGA,0.174,0.174,0.7667258,USGS,GEM,all
885,"Median gmf - DRAFT_19920313_M6.68_Erzincan (Rupture:USGS, GMPEs:GEM, Recording Stations:all)",40,KothaEtAl2020ESHM20SlopeGeology,PGA,0.175,0.175,0.7667258,USGS,GEM,all
885,"Median gmf - DRAFT_19920313_M6.68_Erzincan (Rupture:USGS, GMPEs:GEM, Recording Stations:all)",40,KothaEtAl2020ESHM20SlopeGeology,PGA,0.177,0.177,0.7667258,USGS,GEM,all
883,"Median gmf - DRAFT_19920313_M6.68_Erzincan (Rupture:EFEHR, GMPEs:GEM, Recording Stations:all)",45,KothaEtAl2020ESHM20SlopeGeology,PGA,-0.213,0.213,0.75832266,EFEHR,GEM,all
879,"Median gmf - DRAFT_19920313_M6.68_Erzincan (Rupture:EFEHR, GMPEs:USGS, Recording Stations:all)",22,ZhaoEtAl2016Asc,PGA,-0.218,0.218,0.8086041,EFEHR,USGS,all
879,"Median gmf - DRAFT_19920313_M6.68_Erzincan (Rupture:EFEHR, GMPEs:USGS, Recording Stations:all)",22,CauzziEtAl2014,PGA,0.267,0.267,0.7933451,EFEHR,USGS,all
886,"Median gmf - DRAFT_19920313_M6.68_Erzincan (Rupture:ESM, GMPEs:GEM, Recording Stations:all)",38,KothaEtAl2020ESHM20SlopeGeology,PGA,-0.285,0.285,0.79234874,ESM,GEM,all
886,"Median gmf - DRAFT_19920313_M6.68_Erzincan (Rupture:ESM, GMPEs:GEM, Recording Stations:all)",38,KothaEtAl2020ESHM20SlopeGeology,PGA,0.356,0.356,0.79234874,ESM,GEM,all
881,"Median gmf - DRAFT_19920313_M6.68_Erzincan (Rupture:USGS, GMPEs:USGS, Recording Stations:all)",28,ZhaoEtAl2016Asc,PGA,-0.386,0.386,0.8034449,USGS,USGS,all
882,"Median gmf - DRAFT_19920313_M6.68_Erzincan (Rupture:ESM, GMPEs:USGS, Recording Stations:all)",29,ZhaoEtAl2016Asc,PGA,-0.387,0.387,0.79940814,ESM,USGS,all
880,"Median gmf - DRAFT_19920313_M6.68_Erzincan (Rupture:GCMT, GMPEs:USGS, Recording Stations:all)",28,AkkarEtAlRjb2014,PGA,0.387,0.387,1.0184616,GCMT,USGS,all
880,"Median gmf - DRAFT_19920313_M6.68_Erzincan (Rupture:GCMT, GMPEs:USGS, Recording Stations:all)",28,CauzziEtAl2014,PGA,0.389,0.389,0.7932456,GCMT,USGS,all
884,"Median gmf - DRAFT_19920313_M6.68_Erzincan (Rupture:GCMT, GMPEs:GEM, Recording Stations:all)",42,KothaEtAl2020ESHM20SlopeGeology,PGA,0.405,0.405,0.7657619,GCMT,GEM,all
884,"Median gmf - DRAFT_19920313_M6.68_Erzincan (Rupture:GCMT, GMPEs:GEM, Recording Stations:all)",42,KothaEtAl2020ESHM20SlopeGeology,PGA,0.412,0.412,0.7657619,GCMT,GEM,all
884,"Median gmf - DRAFT_19920313_M6.68_Erzincan (Rupture:GCMT, GMPEs:GEM, Recording Stations:all)",42,KothaEtAl2020ESHM20SlopeGeology,PGA,0.418,0.418,0.7657619,GCMT,GEM,all
883,"Median gmf - DRAFT_19920313_M6.68_Erzincan (Rupture:EFEHR, GMPEs:GEM, Recording Stations:all)",45,KothaEtAl2020ESHM20SlopeGeology,PGA,0.427,0.427,0.75832266,EFEHR,GEM,all
885,"Median gmf - DRAFT_19920313_M6.68_Erzincan (Rupture:USGS, GMPEs:GEM, Recording Stations:all)",40,KothaEtAl2020ESHM20SlopeGeology,PGA,0.495,0.495,0.7667258,USGS,GEM,all
884,"Median gmf - DRAFT_19920313_M6.68_Erzincan (Rupture:GCMT, GMPEs:GEM, Recording Stations:all)",42,KothaEtAl2020ESHM20SlopeGeology,PGA,0.732,0.732,0.7657619,GCMT,GEM,all
