# 20191126_M6.4_Albania median gmf, Stations:Seismic, gmlt:GEM_best, Rupture:EFEHR
custom_site_id,lon,lat,KothaEtAl2020ESHM20SlopeGeology
s_31,19.4527,41.3206,0.18999115
s_32,19.6745,41.5755,0.11985723
s_33,19.787,41.3336,0.1176269
s_34,19.8111,41.3248,0.10746639
s_35,19.8232,41.316,0.09613947
s_36,19.7994,41.3067,0.10142536
s_37,19.7991,41.3247,0.1078072
s_38,19.8114,41.3068,0.08804203
s_39,19.8351,41.3161,0.09283889
s_40,19.8109,41.3338,0.108251505
s_41,19.8112,41.3158,0.10307724
s_42,19.823,41.325,0.10152338
s_43,19.7752,41.3245,0.112595834
s_44,19.8228,41.334,0.103016734
s_45,19.8346,41.3431,0.09853812
s_46,19.4841,40.4742,0.017167026
s_47,19.9642,40.7048,0.01574928
s_48,19.8348,41.3341,0.098816924
s_49,20.0769,41.1111,0.020252572
s_50,19.0953,42.0988,0.032475445
s_51,20.9581,41.5111,0.012347668
s_52,18.7087,42.4249,0.013094416
s_53,21.1769,42.6548,0.004967799
s_54,20.8964,42.5829,0.00913385
s_55,20.4351,42.3834,0.011622832
s_56,18.8348,42.2923,0.016128717
s_57,20.9577,41.9975,0.009404591
s_58,20.9097,41.7903,0.013117008
s_59,18.7694,42.4261,0.012336698
s_60,19.243,42.4434,0.018432712
s_61,21.4648,41.9876,0.0079409415
s_62,20.9097,41.7993,0.013501322
s_63,20.9698,42.0065,0.010920921
s_64,18.6962,42.4337,0.012682837
s_66,20.2984,42.6618,0.008828847
s_67,20.7395,42.2134,0.009483409
s_68,19.2089,41.9295,0.048113957
s_69,21.4045,42.0058,0.008277424
s_70,21.4166,42.0058,0.008379356
s_71,19.5072,42.0689,0.040320985
s_72,17.2469,40.4623,0.0039195335
s_73,19.2675,42.4347,0.01976481
s_74,18.418,43.8594,0.0036772157
s_75,20.8035,41.1146,0.015683843
s_76,19.2575,42.7948,0.009369956
s_77,21.0915,42.6369,0.0062893853
s_78,16.8644,41.1267,0.004285151
s_79,21.1648,42.6728,0.0049674017
s_80,21.3804,42.0059,0.0071760234
s_81,20.2862,42.6617,0.008915676
s_82,21.3924,41.9968,0.006103325
s_83,21.4286,41.9967,0.008131633
s_84,21.4406,41.9786,0.0059468905
s_85,21.4527,41.9876,0.008302432
s_86,20.5143,43.1402,0.0070566754
s_87,18.3811,43.8496,0.003473818
s_88,20.4879,44.8058,0.0010812358
s_89,22.5197,44.6672,0.0006244442
s_90,19.7962,39.7127,0.004858419
s_91,22.4892,40.1033,0.001397194
t_1,19.38889,40.30764,0.012336128
t_10,19.39583,42.07084,0.033786632
t_100,19.47917,41.32084,0.215305
t_1000,20.19583,41.40417,0.031372048
t_1001,20.19583,41.47917,0.033187278
t_1002,20.09583,41.4875,0.040826287
t_1003,20.1125,41.4875,0.040539876
t_1004,20.10417,41.52083,0.040675797
t_1005,20.08666,41.50733,0.04898224
t_1006,20.10379,41.58727,0.039016675
t_1007,20.1471,41.71776,0.027965792
t_1008,20.12459,41.87095,0.023729756
t_1009,20.11596,41.96607,0.01864085
t_101,19.47083,41.32084,0.20102733
t_1010,20.12622,42.09241,0.015646433
t_1011,20.08135,42.31895,0.014965542
t_1012,20.07912,42.32916,0.015946385
t_1013,20.09583,42.32917,0.015714737
t_1014,20.08891,42.35417,0.01485747
t_1015,20.07083,42.34583,0.012455892
t_1016,20.07917,42.34583,0.014976508
t_1017,20.07917,42.35417,0.013206031
t_1018,20.07083,42.35417,0.012456515
t_1019,20.10925,42.34671,0.015050092
t_102,19.47083,41.32917,0.22041702
t_1020,20.11204,42.36996,0.014446408
t_1021,20.07864,42.36937,0.012449392
t_1022,20.15401,42.38667,0.01338933
t_1023,20.15974,42.41571,0.0103693595
t_1024,20.09878,42.4426,0.010186404
t_1025,20.12939,42.47869,0.009648883
t_1026,20.24229,39.74223,0.0047790767
t_1027,20.29486,39.90142,0.005624247
t_1028,20.24933,39.98425,0.0072500454
t_1029,20.27145,40.07554,0.006870165
t_103,19.47917,41.32917,0.22295466
t_1030,20.27798,40.27728,0.010189185
t_1031,20.25824,40.40522,0.010731829
t_1032,20.21666,40.475,0.011795569
t_1033,20.25,40.475,0.011779041
t_1034,20.2375,40.51242,0.012207486
t_1035,20.22769,40.50485,0.011686517
t_1036,20.3,40.49166,0.011350787
t_1037,20.3,40.55833,0.011373706
t_1038,20.23333,40.55833,0.0118416585
t_1039,20.25417,40.62917,0.012452891
t_104,19.47917,41.3375,0.23066168
t_1040,20.2284,40.8171,0.01763023
t_1041,20.22624,40.91962,0.019671371
t_1042,20.21919,41.04337,0.017840132
t_1043,20.22929,41.1652,0.023396116
t_1044,20.29583,41.15417,0.019819051
t_1045,20.31667,41.14167,0.01869761
t_1046,20.30417,41.1625,0.020450525
t_1047,20.3125,41.1625,0.020524604
t_1048,20.3125,41.17083,0.020594928
t_1049,20.30417,41.17083,0.020600317
t_105,19.47083,41.3375,0.22828476
t_1050,20.32855,41.17083,0.022244694
t_1051,20.32156,41.18175,0.023179578
t_1052,20.31176,41.18317,0.02220585
t_1053,20.29583,41.1875,0.022086134
t_1054,20.30759,41.20618,0.024056392
t_1055,20.20417,41.2125,0.025397124
t_1056,20.27451,41.27058,0.024293346
t_1057,20.20416,41.42036,0.031658586
t_1058,20.3,41.425,0.026744902
t_1059,20.29844,41.51438,0.027529033
t_106,19.49062,41.33237,0.20750536
t_1060,20.21396,41.48729,0.030256247
t_1061,20.25,41.475,0.028014109
t_1062,20.24837,41.51347,0.03355829
t_1063,20.22126,41.49912,0.030843144
t_1064,20.27884,41.59461,0.026449943
t_1065,20.23024,41.70198,0.025075007
t_1066,20.32444,41.69709,0.023282403
t_1067,20.30789,41.74192,0.022421768
t_1068,20.24523,41.75794,0.022459865
t_1069,20.25722,41.87148,0.017502086
t_107,19.48879,41.3495,0.24848773
t_1070,20.26587,41.96822,0.014741837
t_1071,20.29253,42.0866,0.011722566
t_1072,20.24013,42.28355,0.011791248
t_1073,20.2125,42.37917,0.011971517
t_1074,20.37083,39.7875,0.004426774
t_1075,20.34576,39.8917,0.0064024045
t_1076,20.36499,40.02357,0.0061066775
t_1077,20.35974,40.11571,0.00685152
t_1078,20.35,40.20834,0.007198059
t_1079,20.38334,40.20864,0.007692287
t_108,19.47876,41.35058,0.21755284
t_1080,20.37083,40.22917,0.0090768235
t_1081,20.35509,40.23313,0.0085802
t_1082,20.42083,40.2058,0.007932263
t_1083,20.43333,40.29167,0.008190819
t_1084,20.36667,40.29167,0.008475423
t_1085,20.42917,40.37083,0.01055909
t_1086,20.4,40.525,0.010565004
t_1087,20.39506,40.70417,0.015345831
t_1088,20.40747,40.79583,0.015132045
t_1089,20.4574,40.95393,0.016884578
t_109,19.51706,41.33904,0.21683323
t_1090,20.36667,41.025,0.01779607
t_1091,20.43333,41.025,0.017357111
t_1092,20.44797,41.09089,0.018313784
t_1093,20.37917,41.12083,0.01818574
t_1094,20.37585,41.14629,0.019849867
t_1095,20.39583,41.32084,0.023800975
t_1096,20.36667,41.425,0.023378002
t_1097,20.45495,41.42963,0.020853158
t_1098,20.42114,41.50897,0.023651235
t_1099,20.36873,41.50191,0.023479901
t_11,19.38145,42.22351,0.030636976
t_110,19.51666,41.37131,0.24014589
t_1100,20.35472,41.57398,0.021901043
t_1101,20.42442,41.53882,0.023413016
t_1102,20.44852,41.53912,0.024358643
t_1103,20.45742,41.57818,0.023447378
t_1104,20.42812,41.5662,0.021935709
t_1105,20.44309,41.632,0.021832196
t_1106,20.36808,41.63304,0.023540996
t_1107,20.34627,41.67453,0.024737768
t_1108,20.38282,41.67531,0.023241816
t_1109,20.38791,41.71606,0.02078515
t_111,19.48481,41.37228,0.23772018
t_1110,20.35493,41.70267,0.024625707
t_1111,20.41045,41.67042,0.023131
t_1112,20.42083,41.66756,0.020576172
t_1113,20.42083,41.67916,0.02237206
t_1114,20.42917,41.67916,0.02239319
t_1115,20.42917,41.6875,0.01983308
t_1116,20.42083,41.6875,0.02063806
t_1117,20.41176,41.6875,0.0216812
t_1118,20.44395,41.68121,0.019531881
t_1119,20.44454,41.70528,0.018051427
t_112,19.42917,41.3342,0.17412812
t_1120,20.4117,41.70569,0.019929979
t_1121,20.43702,41.75584,0.017456569
t_1122,20.36348,41.7488,0.021469131
t_1123,20.35363,41.83331,0.018049536
t_1124,20.44721,41.82743,0.015857268
t_1125,20.42713,41.89738,0.014287734
t_1126,20.38082,41.90906,0.01363822
t_1127,20.38254,41.94595,0.013832451
t_1128,20.43951,41.97876,0.011806921
t_1129,20.41368,42.00026,0.012044216
t_113,19.42917,41.34974,0.1821736
t_1130,20.45963,41.99711,0.011059076
t_1131,20.44112,42.04652,0.009869169
t_1132,20.4125,42.02917,0.011759593
t_1133,20.42547,42.03722,0.010807756
t_1134,20.4227,42.05346,0.011374512
t_1135,20.40833,42.05,0.010665511
t_1136,20.3811,42.02058,0.010540165
t_1137,20.37213,42.08099,0.009187929
t_1138,20.40621,42.07083,0.008165942
t_1139,20.42609,42.07028,0.010150079
t_114,19.4375,41.32917,0.17014502
t_1140,20.42392,42.08093,0.009892091
t_1141,20.41177,42.07982,0.009630765
t_1142,20.45073,42.06702,0.010066936
t_1143,20.4375,42.10417,0.00880864
t_1144,20.41805,42.09881,0.009052375
t_1145,20.43333,42.15833,0.009174419
t_1146,20.36692,42.15662,0.009710889
t_1147,20.37767,42.23048,0.01117935
t_1148,20.41199,42.19826,0.01019418
t_1149,20.40796,42.2625,0.009913513
t_115,19.44583,41.32917,0.18751594
t_1150,20.38497,42.27385,0.010604517
t_1151,20.58975,40.15062,0.0067680026
t_1152,20.53333,40.25834,0.0074950824
t_1153,20.53333,40.39166,0.008697888
t_1154,20.58749,40.52518,0.009831968
t_1155,20.58919,40.63282,0.011822393
t_1156,20.57202,40.7363,0.013036321
t_1157,20.5,40.89166,0.013926895
t_1158,20.5685,40.90037,0.012875944
t_1159,20.57083,40.97917,0.014189885
