# 20191126_M6.4_Albania median gmf, Stations:Seismic, gmlt:GEM_best, Rupture:Matrakuetal2023
custom_site_id,lon,lat,KothaEtAl2020ESHM20SlopeGeology
s_31,19.4527,41.3206,0.18940428
s_32,19.6745,41.5755,0.2351435
s_33,19.787,41.3336,0.12109187
s_34,19.8111,41.3248,0.107642315
s_35,19.8232,41.316,0.096713334
s_36,19.7994,41.3067,0.10170946
s_37,19.7991,41.3247,0.10843434
s_38,19.8114,41.3068,0.08823146
s_39,19.8351,41.3161,0.094095476
s_40,19.8109,41.3338,0.10844864
s_41,19.8112,41.3158,0.1032957
s_42,19.823,41.325,0.10233163
s_43,19.7752,41.3245,0.11605278
s_44,19.8228,41.334,0.104558796
s_45,19.8346,41.3431,0.10285604
s_46,19.4841,40.4742,0.016400155
s_47,19.9642,40.7048,0.015738674
s_48,19.8348,41.3341,0.101554066
s_49,20.0769,41.1111,0.020272242
s_50,19.0953,42.0988,0.03495589
s_51,20.9581,41.5111,0.0138108935
s_52,18.7087,42.4249,0.013606204
s_53,21.1769,42.6548,0.005909174
s_54,20.8964,42.5829,0.010953276
s_55,20.4351,42.3834,0.014067419
s_56,18.8348,42.2923,0.016864551
s_57,20.9577,41.9975,0.010773594
s_58,20.9097,41.7903,0.014770646
s_59,18.7694,42.4261,0.012872864
s_60,19.243,42.4434,0.020278977
s_61,21.4648,41.9876,0.0088107
s_62,20.9097,41.7993,0.015201214
s_63,20.9698,42.0065,0.012520199
s_64,18.6962,42.4337,0.0131705
s_66,20.2984,42.6618,0.010537245
s_67,20.7395,42.2134,0.011380932
s_68,19.2089,41.9295,0.05342421
s_69,21.4045,42.0058,0.009218319
s_70,21.4166,42.0058,0.009326515
s_71,19.5072,42.0689,0.049888737
s_72,17.2469,40.4623,0.0036699981
s_73,19.2675,42.4347,0.021844542
s_74,18.418,43.8594,0.003808367
s_75,20.8035,41.1146,0.017009739
s_76,19.2575,42.7948,0.010170077
s_77,21.0915,42.6369,0.007498424
s_78,16.8644,41.1267,0.0038965757
s_79,21.1648,42.6728,0.0059054783
s_80,21.3804,42.0059,0.008001186
s_81,20.2862,42.6617,0.010638572
s_82,21.3924,41.9968,0.006796424
s_83,21.4286,41.9967,0.009040264
s_84,21.4406,41.9786,0.0066015343
s_85,21.4527,41.9876,0.009216122
s_86,20.5143,43.1402,0.007987397
s_87,18.3811,43.8496,0.0035925
s_88,20.4879,44.8058,0.0011799462
s_89,22.5197,44.6672,0.0006956148
s_90,19.7962,39.7127,0.004737015
s_91,22.4892,40.1033,0.0014498072
t_1,19.38889,40.30764,0.011742284
t_10,19.39583,42.07084,0.039947253
t_100,19.47917,41.32084,0.21735857
t_1000,20.19583,41.40417,0.036590535
t_1001,20.19583,41.47917,0.039549705
t_1002,20.09583,41.4875,0.049672626
t_1003,20.1125,41.4875,0.04914818
t_1004,20.10417,41.52083,0.04982569
t_1005,20.08666,41.50733,0.060068797
t_1006,20.10379,41.58727,0.048195556
t_1007,20.1471,41.71776,0.03524428
t_1008,20.12459,41.87095,0.03160927
t_1009,20.11596,41.96607,0.02439411
t_101,19.47083,41.32084,0.20226797
t_1010,20.12622,42.09241,0.01961803
t_1011,20.08135,42.31895,0.018425455
t_1012,20.07912,42.32916,0.019613653
t_1013,20.09583,42.32917,0.01931463
t_1014,20.08891,42.35417,0.018220173
t_1015,20.07083,42.34583,0.015296593
t_1016,20.07917,42.34583,0.018387625
t_1017,20.07917,42.35417,0.016199252
t_1018,20.07083,42.35417,0.0152829485
t_1019,20.10925,42.34671,0.018456947
t_102,19.47083,41.32917,0.22620271
t_1020,20.11204,42.36996,0.017677484
t_1021,20.07864,42.36937,0.015245984
t_1022,20.15401,42.38667,0.01634288
t_1023,20.15974,42.41571,0.0126268575
t_1024,20.09878,42.4426,0.012375508
t_1025,20.12939,42.47869,0.011681893
t_1026,20.24229,39.74223,0.0046576387
t_1027,20.29486,39.90142,0.005479837
t_1028,20.24933,39.98425,0.0070560914
t_1029,20.27145,40.07554,0.006706336
t_103,19.47917,41.32917,0.2299505
t_1030,20.27798,40.27728,0.010028164
t_1031,20.25824,40.40522,0.0106253335
t_1032,20.21666,40.475,0.011696787
t_1033,20.25,40.475,0.011716119
t_1034,20.2375,40.51242,0.012168315
t_1035,20.22769,40.50485,0.011630509
t_1036,20.3,40.49166,0.011356791
t_1037,20.3,40.55833,0.0114517845
t_1038,20.23333,40.55833,0.01185161
t_1039,20.25417,40.62917,0.012582629
t_104,19.47917,41.3375,0.24373122
t_1040,20.2284,40.8171,0.018080438
t_1041,20.22624,40.91962,0.02030646
t_1042,20.21919,41.04337,0.018558012
t_1043,20.22929,41.1652,0.024974499
t_1044,20.29583,41.15417,0.021363199
t_1045,20.31667,41.14167,0.020144878
t_1046,20.30417,41.1625,0.022113455
t_1047,20.3125,41.1625,0.022214541
t_1048,20.3125,41.17083,0.022337984
t_1049,20.30417,41.17083,0.02232368
t_105,19.47083,41.3375,0.23955314
t_1050,20.32855,41.17083,0.02416579
t_1051,20.32156,41.18175,0.02523486
t_1052,20.31176,41.18317,0.024161424
t_1053,20.29583,41.1875,0.02402065
t_1054,20.30759,41.20618,0.026330518
t_1055,20.20417,41.2125,0.027524615
t_1056,20.27451,41.27058,0.02705711
t_1057,20.20416,41.42036,0.037090003
t_1058,20.3,41.425,0.031083817
t_1059,20.29844,41.51438,0.03250272
t_106,19.49062,41.33237,0.21765302
t_1060,20.21396,41.48729,0.03601812
t_1061,20.25,41.475,0.033092283
t_1062,20.24837,41.51347,0.039913967
t_1063,20.22126,41.49912,0.036757864
t_1064,20.27884,41.59461,0.031510618
t_1065,20.23024,41.70198,0.030467803
t_1066,20.32444,41.69709,0.027587356
t_1067,20.30789,41.74192,0.026842136
t_1068,20.24523,41.75794,0.027552906
t_1069,20.25722,41.87148,0.02190069
t_107,19.48879,41.3495,0.27672866
t_1070,20.26587,41.96822,0.017970484
t_1071,20.29253,42.0866,0.013388557
t_1072,20.24013,42.28355,0.014325813
t_1073,20.2125,42.37917,0.0145904
t_1074,20.37083,39.7875,0.0043210657
t_1075,20.34576,39.8917,0.006252116
t_1076,20.36499,40.02357,0.0059883785
t_1077,20.35974,40.11571,0.00673688
t_1078,20.35,40.20834,0.0070998645
t_1079,20.38334,40.20864,0.0076056984
t_108,19.47876,41.35058,0.24053
t_1080,20.37083,40.22917,0.008975492
t_1081,20.35509,40.23313,0.008476271
t_1082,20.42083,40.2058,0.007862592
t_1083,20.43333,40.29167,0.008164051
t_1084,20.36667,40.29167,0.008406032
t_1085,20.42917,40.37083,0.010575589
t_1086,20.4,40.525,0.010691879
t_1087,20.39506,40.70417,0.015747499
t_1088,20.40747,40.79583,0.015661938
t_1089,20.4574,40.95393,0.017819315
t_109,19.51706,41.33904,0.23745947
t_1090,20.36667,41.025,0.018839538
t_1091,20.43333,41.025,0.018465776
t_1092,20.44797,41.09089,0.01974408
t_1093,20.37917,41.12083,0.019577825
t_1094,20.37585,41.14629,0.021528257
t_1095,20.39583,41.32084,0.026873551
t_1096,20.36667,41.425,0.027007237
t_1097,20.45495,41.42963,0.023929372
t_1098,20.42114,41.50897,0.027486054
t_1099,20.36873,41.50191,0.027430227
t_11,19.38145,42.22351,0.035225943
t_110,19.51666,41.37131,0.30747947
t_1100,20.35472,41.57398,0.025777597
t_1101,20.42442,41.53882,0.02726468
t_1102,20.44852,41.53912,0.028290488
t_1103,20.45742,41.57818,0.027255194
t_1104,20.42812,41.5662,0.025571752
t_1105,20.44309,41.632,0.025424728
t_1106,20.36808,41.63304,0.02766907
t_1107,20.34627,41.67453,0.029149503
t_1108,20.38282,41.67531,0.02722834
t_1109,20.38791,41.71606,0.02435877
t_111,19.48481,41.37228,0.2929146
t_1110,20.35493,41.70267,0.029013047
t_1111,20.41045,41.67042,0.026998365
t_1112,20.42083,41.66756,0.023988362
t_1113,20.42083,41.67916,0.026070988
t_1114,20.42917,41.67916,0.026068216
t_1115,20.42917,41.6875,0.023083098
t_1116,20.42083,41.6875,0.024046436
t_1117,20.41176,41.6875,0.025293283
t_1118,20.44395,41.68121,0.022695255
t_1119,20.44454,41.70528,0.020963369
t_112,19.42917,41.3342,0.17463651
t_1120,20.4117,41.70569,0.023254316
t_1121,20.43702,41.75584,0.020326668
t_1122,20.36348,41.7488,0.025361106
t_1123,20.35363,41.83331,0.02163632
t_1124,20.44721,41.82743,0.018512119
t_1125,20.42713,41.89738,0.01672829
t_1126,20.38082,41.90906,0.01614198
t_1127,20.38254,41.94595,0.01614463
t_1128,20.43951,41.97876,0.013347741
t_1129,20.41368,42.00026,0.013398852
t_113,19.42917,41.34974,0.18902616
t_1130,20.45963,41.99711,0.012352122
t_1131,20.44112,42.04652,0.010496378
t_1132,20.4125,42.02917,0.012654057
t_1133,20.42547,42.03722,0.011529334
t_1134,20.4227,42.05346,0.0118697565
t_1135,20.40833,42.05,0.011129352
t_1136,20.3811,42.02058,0.011561191
t_1137,20.37213,42.08099,0.009626915
t_1138,20.40621,42.07083,0.008226964
t_1139,20.42609,42.07028,0.01046784
t_114,19.4375,41.32917,0.17012453
t_1140,20.42392,42.08093,0.010202941
t_1141,20.41177,42.07982,0.009804752
t_1142,20.45073,42.06702,0.010656264
t_1143,20.4375,42.10417,0.009394948
t_1144,20.41805,42.09881,0.009498838
t_1145,20.43333,42.15833,0.010320641
t_1146,20.36692,42.15662,0.010968
t_1147,20.37767,42.23048,0.013173606
t_1148,20.41199,42.19826,0.011791211
t_1149,20.40796,42.2625,0.011793399
t_115,19.44583,41.32917,0.18889485
t_1150,20.38497,42.27385,0.012669384
t_1151,20.58975,40.15062,0.0067633023
t_1152,20.53333,40.25834,0.0075072683
t_1153,20.53333,40.39166,0.008790239
t_1154,20.58749,40.52518,0.010040883
t_1155,20.58919,40.63282,0.012160305
t_1156,20.57202,40.7363,0.013510663
t_1157,20.5,40.89166,0.014636584
t_1158,20.5685,40.90037,0.013579996
t_1159,20.57083,40.97917,0.015115553
t_116,19.44583,41.3375,0.19692455
t_1160,20.50463,40.95912,0.015527877
t_1161,20.47862,41.03906,0.018914003
t_1162,20.55899,41.03896,0.01696277
t_1163,20.54908,41.07029,0.017196383
t_1164,20.58059,41.07429,0.018640043
t_1165,20.57762,41.10125,0.015321761
t_1166,20.55,41.10833,0.017261555
t_1167,20.48327,41.0661,0.019290568
t_1168,20.5149,41.17922,0.018464696
t_1169,20.49666,41.33404,0.021904938
t_117,19.4375,41.3375,0.18022233
t_1170,20.52043,41.431,0.022858554
t_1171,20.49203,41.58018,0.023130124
t_1172,20.54417,41.58417,0.019051429
t_1173,20.5375,41.60417,0.019052573
t_1174,20.48959,41.61222,0.021360308
t_1175,20.4943,41.73612,0.01862819
t_1176,20.50264,41.82069,0.017742049
t_1177,20.50532,41.96883,0.013221197
t_1178,20.58491,41.98418,0.014113668
t_1179,20.57095,42.02852,0.011309416
t_118,19.45417,41.32917,0.20189534
t_1180,20.49554,42.03075,0.01054233
t_1181,20.51169,42.07767,0.010529948
t_1182,20.47083,42.22917,0.012275343
t_1183,20.60417,40.15258,0.0063253334
t_1184,20.67748,40.30754,0.007843394
t_1185,20.63615,40.35309,0.008487293
t_1186,20.68518,40.34445,0.008425285
t_1187,20.69341,40.41,0.008234137
t_1188,20.6375,40.4336,0.009901963
t_1189,20.6125,40.47083,0.008231187
t_119,19.4625,41.32917,0.22215281
t_1190,20.71154,40.50649,0.007874499
t_1191,20.70288,40.55145,0.009887908
t_1192,20.61405,40.52917,0.010281383
t_1193,20.65001,40.62703,0.010119435
t_1194,20.69273,40.60968,0.009511745
t_1195,20.70817,40.61312,0.010842011
t_1196,20.71289,40.63594,0.010050611
t_1197,20.69583,40.62917,0.009489592
t_1198,20.68333,40.675,0.00998942
t_1199,20.7259,40.68325,0.011113906
t_12,19.52917,40.1875,0.009966954
t_120,19.4625,41.3375,0.23502974
t_1200,20.71305,40.7042,0.011225512
t_1201,20.69132,40.70939,0.0111786
t_1202,20.63333,40.69167,0.010561273
t_1203,20.6625,40.72917,0.012429082
t_1204,20.68333,40.74167,0.011489687
t_1205,20.72165,40.74228,0.012263552
t_1206,20.71541,40.78631,0.011939964
t_1207,20.68333,40.775,0.011010126
t_1208,20.69456,40.80325,0.012011613
t_1209,20.71854,40.80839,0.011998626
t_121,19.45417,41.3375,0.21723944
t_1210,20.71603,40.85086,0.012496006
t_1211,20.6808,40.85417,0.012488724
t_1212,20.65813,40.84178,0.012752261
t_1213,20.61667,40.875,0.01323799
t_1214,20.64167,40.86667,0.012742513
t_1215,20.65833,40.86667,0.0119878575
t_1216,20.65417,40.87917,0.01169279
t_1217,20.6625,40.87917,0.011990109
t_1218,20.6625,40.8875,0.014329259
t_1219,20.65417,40.8875,0.0127555365
t_122,19.45477,41.34624,0.2441201
t_1220,20.6375,40.87917,0.017418444
t_1221,20.64583,40.87917,0.012392986
t_1222,20.64583,40.8875,0.012208003
t_1223,20.6375,40.8875,0.012864956
t_1224,20.65697,40.90038,0.01441303
t_1225,20.61667,40.90833,0.013340339
t_1226,20.67488,40.87084,0.01168487
t_1227,20.69275,40.86986,0.012370213
t_1228,20.68762,40.8862,0.014726136
t_1229,20.67653,40.88583,0.014520487
t_123,19.44274,41.34833,0.21375586
t_1230,20.71324,40.8857,0.013505522
t_1231,20.71905,40.90387,0.013655673
t_1232,20.67581,40.89708,0.01516643
t_1233,20.69387,40.95548,0.021912415
t_1234,20.64012,40.94783,0.013541543
t_1235,20.62774,41.05118,0.017215626
t_1236,20.60454,41.97917,0.013536407
t_1237,20.74166,40.31667,0.0067178393
t_1238,20.76404,40.40473,0.0066699577
t_1239,20.76675,40.57359,0.00863196
t_124,19.44718,41.36743,0.25559118
t_1240,20.74565,40.60417,0.010657263
t_1241,20.75417,40.59583,0.010384031
t_1242,20.7625,40.59583,0.010233248
