FIELD,DESCRIPTION
Year,2008
Country,Colombia
Region,Quetame
Event_Name,Quetame_2008
Local_Date,24/05/2008
Local_Time,14:20:00
Latitude,4.44
Longitude,-73.81
Depth_(km),10
Mw,5.9
Max_Intensity_(MMI),VII
Fault_mechanism,Strike-Slip
Tectonic_region_type,Active Shallow Crust
Fatalities,5-33
Injured,32-4181
Displaced_Population,1700-9000
Affected_Population,1754-10000
Affected_Units,
Damaged_Units,160-2316 Units
Collapsed_Units,47-1234 Units
Economic_Losses,10 M USD
Insured_Losses,
Induced_Effects,Landslides
USGS page,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g7p6/executive
Wikipedia page,https://en.wikipedia.org/wiki/2008_El_Calvario_earthquake
