STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,REFERENCES,STATION_TYPE,SOIL_TYPE,PGA_VALUE_V,SA(0.3)_VALUE_V,SA(0.6)_VALUE_V,SA(1.0)_VALUE_V,PGA_VALUE_1,SA(0.3)_VALUE_1,SA(0.6)_VALUE_1,SA(1.0)_VALUE_1,PGA_VALUE_2,SA(0.3)_VALUE_2,SA(0.6)_VALUE_2,SA(1.0)_VALUE_2,PGA_VALUE,SA(0.3)_VALUE,SA(0.6)_VALUE,SA(1.0)_VALUE,PGA_LN_SIGMA,SA(0.3)_LN_SIGMA,SA(0.6)_LN_SIGMA,SA(1.0)_LN_SIGMA,VS30,MMI_VALUE,MMI_STDDEV,PGV_LN_SIGMA,PGV_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE,VS30_TYPE
HVSC,HVSC,-43.58,172.709,Stations_GeoNet,seismic, ,2.307234092346876,1.933501931938601,0.6074066349472951,0.2144147234546458,1.279094338295535,3.739278602376955,1.3758052634889004,0.4707573557528191,1.6306043035758016,3.577029976915441,2.0149690776914597,0.9379654174239872,1.6306043035758016,3.739278602376955,2.0149690776914597,0.9379654174239872,0.0,0.0,0.0,0.0,,,,,,,,
LPCC,LPCC,-43.608,172.725,Stations_GeoNet,seismic, ,0.5139469492812161,0.5871547503187596,0.1982071134973595,0.1032080647267136,0.9723248224132044,1.1319185857389449,0.3589803305272124,0.4016465922189913,0.9614705310319904,0.8457512922060477,0.6548149883237795,0.2263919631549084,0.9723248224132044,1.1319185857389449,0.6548149883237795,0.4016465922189913,0.0,0.0,0.0,0.0,,,,,,,,
NNBS,NNBS,-43.495,172.718,Stations_GeoNet,seismic, ,0.7977147836325487,0.6818469037179764,0.3910512624268383,0.2514855960250106,0.6597802301187156,0.8036034720281793,0.8268621419957659,0.6353373496968424,0.8555933362239483,1.1524573996873877,1.1490343003955192,0.7527539283820746,0.8555933362239483,1.1524573996873877,1.1490343003955192,0.7527539283820746,0.0,0.0,0.0,0.0,,,,,,,,
REHS,REHS,-43.522,172.635,Stations_GeoNet,seismic, ,0.5195018348343875,0.8076009210924956,0.2786828680825458,0.2139139887903889,0.3836335999763947,0.8639550982054521,0.7878262855345551,1.1523998377108646,0.7188940388468549,0.9194066587391811,0.9441712277245042,1.654632179918927,0.7188940388468549,0.9194066587391811,0.9441712277245042,1.654632179918927,0.0,0.0,0.0,0.0,,,,,,,,
PRPC,PRPC,-43.526,172.683,Stations_GeoNet,seismic, ,1.855033034578376,1.5481047103725154,0.6469418688192314,0.3201970763223286,0.6004794292858252,0.833415985416551,0.7021714930717947,0.5152331322440116,0.6482824759138226,0.9973830874669776,0.7420766056723507,0.4867275964984924,0.6482824759138226,0.9973830874669776,0.7420766056723507,0.5152331322440116,0.0,0.0,0.0,0.0,,,,,,,,
CCCC,CCCC,-43.538,172.647,Stations_GeoNet,seismic, ,0.7950564529310065,0.5561384700828457,0.2645802341896084,0.1879471692056613,0.3748567826157316,1.0151467586249667,1.3002419045841185,0.4629849226265455,0.4880609619265059,0.7792853217631006,1.3461681177857865,0.7956246364639159,0.4880609619265059,1.0151467586249667,1.3461681177857865,0.7956246364639159,0.0,0.0,0.0,0.0,,,,,,,,
CHHC,CHHC,-43.536,172.628,Stations_GeoNet,seismic, ,0.6225170831553919,0.6164446309464219,0.2921192156760477,0.131303274291741,0.3852102248554443,1.1200092865347029,0.7976754358008782,0.7890880792081963,0.3495177240789726,0.9744620044382218,1.1822193952463544,0.7599642083602712,0.3852102248554443,1.1200092865347029,1.1822193952463544,0.7890880792081963,0.0,0.0,0.0,0.0,,,,,,,,
SHLC,SHLC,-43.505,172.663,Stations_GeoNet,seismic, ,0.4864129815991136,0.714281600516015,0.2644420450722181,0.2367434235326046,0.3749141877822798,0.8804018380785565,0.7945177589786987,0.8024712276216802,0.2966925517013192,1.403220054743119,0.8308017596178111,0.8841460883202631,0.3749141877822798,1.403220054743119,0.8308017596178111,0.8841460883202631,0.0,0.0,0.0,0.0,,,,,,,,
LPOC,LPOC,-43.608,172.715,Stations_GeoNet,seismic, ,0.4052120611208294,0.4324696197721437,0.1787914254771629,0.1909155826129938,0.3417796923358384,0.6961814551688281,0.6218889178789465,0.4527059325284385,0.3461533487146904,0.6736907270695558,0.6418541097528048,0.4157558185357792,0.3461533487146904,0.6961814551688281,0.6418541097528048,0.4527059325284385,0.0,0.0,0.0,0.0,,,,,,,,
RHSC,RHSC,-43.536,172.564,Stations_GeoNet,seismic, ,0.1944488949245876,0.2292254614233732,0.137863236536098,0.0998293162082091,0.2543600327378019,0.743962927168722,0.5105869917715786,0.2166131593995372,0.2975926851278416,0.7852749062135442,0.8689155717472208,0.2707283555757305,0.2975926851278416,0.7852749062135442,0.8689155717472208,0.2707283555757305,0.0,0.0,0.0,0.0,,,,,,,,
