FIELD,DESCRIPTION
Year,2002
Region,Europe
Country,Italy
Event_Name,Molise_2002
Local_Date,31/10/2002
Local_Time,10:32:58
Latitude,41.789
Longitude,14.872
Depth_(km),10
Mw,5.9
Max_Intensity_(MMI),VIII
Fault_mechanism,Strike-slip
Tectonic_region_type,Active Shallow Crust
Fatalities,29-30
Injured,33-135
Displaced_Population,2295-3000
Affected_Population,8533
Affected_Units,
Damaged_Units,
Collapsed_Units,
Economic_Losses,796 M USD
Insured_Losses,
Induced_Effects,
USGS page,https://earthquake.usgs.gov/earthquakes/eventpage/usp000bfqg/executive
Wikipedia page,https://en.wikipedia.org/wiki/2002_Molise_earthquakes
