custom_site_id,lon,lat,slope,vs30,geology,xvf,region,vs30measured
t_1,19.92791632,40.7037508,0.04865694,461.3989,PLEISTOCENE,50.66557788,4,FALSE
t_2,19.92791632,40.71208413,0.019652722,428.01544,PLEISTOCENE,50.4672689,4,FALSE
t_3,19.92791632,40.72041746,0.012679003,362.723,PLEISTOCENE,50.26895993,4,FALSE
t_4,19.93624965,40.7037508,0.05229526,486.36096,PLEISTOCENE,49.97944187,4,FALSE
t_5,19.93624965,40.71208413,0.077960774,454.22516,PLEISTOCENE,49.78119656,4,FALSE
t_6,19.93624965,40.72041746,0.015895065,379.56915,PLEISTOCENE,49.58295125,4,FALSE
t_7,19.94458298,40.7037508,0.07024609,527.06213,PLEISTOCENE,49.29330586,4,FALSE
t_8,19.94458298,40.71208413,0.081243806,485.07755,CENOZOIC,49.09512421,4,FALSE
t_9,19.94458298,40.72041746,0.07324159,494.00464,PLEISTOCENE,48.89694257,4,FALSE
t_10,19.95291631,40.69541747,0.19706103,694.7333,CENOZOIC,48.80528783,4,FALSE
t_11,19.95291631,40.7037508,0.024206592,489.24597,PLEISTOCENE,48.60716985,4,FALSE
t_12,19.95291631,40.71208413,0.022430437,444.70288,CENOZOIC,48.40905187,4,FALSE
t_13,19.96124964,40.69541747,0.08002183,616.75244,CENOZOIC,48.11908815,4,FALSE
t_14,19.96124964,40.7037508,0.045546122,486.8982,PLEISTOCENE,47.92103384,4,FALSE
t_15,19.96958297,40.69541747,0.011292768,456.47363,PLEISTOCENE,47.43288848,4,FALSE
t_16,19.96958297,40.7037508,0.061714984,497.51923,PLEISTOCENE,47.23489783,4,FALSE
t_17,19.96958297,40.71208413,0.09070289,591.0341,CENOZOIC,47.03690718,4,FALSE
t_18,19.9779163,40.7037508,0.05878185,510.01428,PLEISTOCENE,46.54876182,4,FALSE
t_19,19.9779163,40.71208413,0.10149454,595.02814,CENOZOIC,46.35083483,4,FALSE
t_20,19.76124972,40.71208413,0.025904203,405.4986,CENOZOIC,64.18632503,4,FALSE
t_21,19.76124972,40.72041746,0.009035861,331.4768,CENOZOIC,63.9863138,4,FALSE
t_22,19.76124972,40.72875079,0.011769493,335.64246,CENOZOIC,63.78630257,4,FALSE
t_23,19.76124972,40.73708412,0.030129673,399.11844,CENOZOIC,63.58629134,4,FALSE
t_24,19.76958305,40.71208413,0.042850144,482.4234,CENOZOIC,63.50046572,4,FALSE
t_25,19.76958305,40.72041746,0.03886184,426.7439,CENOZOIC,63.30053948,4,FALSE
t_26,19.76958305,40.72875079,0.024591506,377.0526,CENOZOIC,63.10061324,4,FALSE
t_27,19.76958305,40.73708412,0.022454806,392.68707,CENOZOIC,62.900687,4,FALSE
t_28,19.76958305,40.74541745,0.034797307,419.9589,CENOZOIC,62.70076076,4,FALSE
t_29,19.76958305,40.75375078,0.0221785,403.23032,CENOZOIC,62.50082579,4,FALSE
t_30,19.77791638,40.71208413,0.05846264,497.1588,CENOZOIC,62.81460641,4,FALSE
t_31,19.77791638,40.72041746,0.049877886,497.56274,CENOZOIC,62.61476516,4,FALSE
t_32,19.77791638,40.72875079,0.054555397,473.045,CENOZOIC,62.41492391,4,FALSE
t_33,19.77791638,40.73708412,0.03596029,447.50125,CENOZOIC,62.21508266,4,FALSE
t_34,19.77791638,40.74541745,0.028819108,432.24976,CENOZOIC,62.01524141,4,FALSE
t_35,19.77791638,40.75375078,0.031416163,447.0655,CENOZOIC,61.81539121,4,FALSE
t_36,19.77791638,40.76208411,0.06197932,469.8498,CENOZOIC,61.61554054,4,FALSE
t_37,19.78624971,40.71208413,0.06573075,476.8764,CENOZOIC,62.12874709,4,FALSE
t_38,19.78624971,40.72041746,0.060198274,548.384,CENOZOIC,61.92899084,4,FALSE
t_39,19.78624971,40.72875079,0.0717259,534.4232,CENOZOIC,61.72923458,4,FALSE
t_40,19.78624971,40.73708412,0.052016295,497.75317,CENOZOIC,61.52947832,4,FALSE
t_41,19.78624971,40.74541745,0.0498937,479.50223,CENOZOIC,61.32972206,4,FALSE
t_42,19.78624971,40.75375078,0.04818886,476.44464,CENOZOIC,61.12995664,4,FALSE
t_43,19.79458304,40.7037508,0.040850963,435.30347,CENOZOIC,61.64255905,4,FALSE
t_44,19.79458304,40.71208413,0.049715888,512.667,CENOZOIC,61.44288778,4,FALSE
t_45,19.79458304,40.72875079,0.08203181,588.4662,CENOZOIC,61.04354524,4,FALSE
t_46,19.79458304,40.73708412,0.055993244,529.6662,CENOZOIC,60.84387398,4,FALSE
t_47,19.79458304,40.74541745,0.0636921,512.69727,CENOZOIC,60.64420271,4,FALSE
t_48,19.79458304,40.75375078,0.054353453,504.23376,CENOZOIC,60.44452206,4,FALSE
t_49,19.80291637,40.67875081,0.08255711,556.704,CENOZOIC,61.55537359,4,FALSE
t_50,19.80291637,40.69541747,0.07514935,551.0609,CENOZOIC,61.15620103,4,FALSE
t_51,19.80291637,40.7037508,0.1306066,568.8626,CENOZOIC,60.95661475,4,FALSE
t_52,19.80291637,40.74541745,0.04566233,530.70496,CENOZOIC,59.95868336,4,FALSE
t_53,19.80291637,40.75375078,0.09984251,547.14087,CENOZOIC,59.75908749,4,FALSE
t_54,19.8112497,40.67875081,0.13884471,640.7477,CENOZOIC,60.86917432,4,FALSE
t_55,19.8112497,40.68708414,0.11445494,632.15704,CENOZOIC,60.66967303,4,FALSE
t_56,19.8112497,40.69541747,0.084570274,565.5272,CENOZOIC,60.47017174,4,FALSE
t_57,19.8112497,40.7037508,0.04629412,543.92706,CENOZOIC,60.27067045,4,FALSE
t_58,19.81958303,40.68708414,0.08493237,633.8651,CENOZOIC,59.98355875,4,FALSE
t_59,19.81958303,40.69541747,0.086197086,563.5421,CENOZOIC,59.78414245,4,FALSE
t_60,19.81958303,40.7037508,0.010750545,570.5112,CENOZOIC,59.58472615,4,FALSE
t_61,19.73624973,40.7870841,0.000539592,193.30319,PLEISTOCENE,64.44118992,4,FALSE
t_62,19.73624973,40.79541743,0.001079185,209.414,PLEISTOCENE,64.24090936,4,FALSE
t_63,19.73624973,40.80375076,0.001079185,210.53087,PLEISTOCENE,64.0406288,4,FALSE
t_64,19.73624973,40.81208409,0,206.30063,PLEISTOCENE,63.84034824,4,FALSE
t_65,19.74458306,40.77875077,0.000893833,194.66626,PLEISTOCENE,63.95641583,4,FALSE
t_66,19.74458306,40.7870841,0.000539592,202.178,PLEISTOCENE,63.75622286,4,FALSE
t_67,19.74458306,40.79541743,0.001079185,213.57777,PLEISTOCENE,63.55602988,4,FALSE
t_68,19.74458306,40.80375076,0.001293367,209.64175,PLEISTOCENE,63.35583691,4,FALSE
t_69,19.74458306,40.81208409,0.001293417,199.1866,PLEISTOCENE,63.15564394,4,FALSE
t_70,19.74458306,40.82041742,0.001426064,203.59595,PLEISTOCENE,62.95545096,4,FALSE
t_71,19.75291639,40.77041744,0.001787523,230.2359,PLEISTOCENE,63.47146657,4,FALSE
t_72,19.75291639,40.77875077,0.001787665,225.32936,PLEISTOCENE,63.27136118,4,FALSE
t_73,19.75291639,40.7870841,0.001425348,215.17612,PLEISTOCENE,63.0712558,4,FALSE
t_74,19.75291639,40.79541743,0.001768748,211.9341,PLEISTOCENE,62.87115041,4,FALSE
t_75,19.75291639,40.80375076,0.001768785,207.97934,PLEISTOCENE,62.67104502,4,FALSE
t_76,19.75291639,40.81208409,0.000894118,193.78285,PLEISTOCENE,62.47093963,4,FALSE
t_77,19.76124972,40.77041744,0.011450892,297.13492,PLEISTOCENE,62.78621996,4,FALSE
t_78,19.76124972,40.77875077,0.009990768,272.77283,PLEISTOCENE,62.58619977,4,FALSE
t_79,19.76124972,40.7870841,0.002850696,237.4625,PLEISTOCENE,62.38617957,4,FALSE
t_80,19.76124972,40.79541743,0.004310488,220.04062,PLEISTOCENE,62.18615937,4,FALSE
t_81,19.76124972,40.80375076,0.001079185,209.74466,PLEISTOCENE,61.98613917,4,FALSE
t_82,19.76124972,40.81208409,0.000539592,204.26404,PLEISTOCENE,61.78611897,4,FALSE
t_83,19.76958305,40.76208411,0.029228576,403.54898,CENOZOIC,62.30089035,4,FALSE
t_84,19.76958305,40.77041744,0.024943173,379.7063,PLEISTOCENE,62.10095492,4,FALSE
t_85,19.76958305,40.77875077,0.016762964,327.01962,PLEISTOCENE,61.90101949,4,FALSE
t_86,19.76958305,40.7870841,0.009579795,301.95422,PLEISTOCENE,61.70108405,4,FALSE
t_87,19.76958305,40.79541743,0.012841086,295.67322,PLEISTOCENE,61.50114862,4,FALSE
t_88,19.76958305,40.80375076,0.002157099,263.35468,PLEISTOCENE,61.30121319,4,FALSE
t_89,19.76958305,40.81208409,0.002205843,261.99463,PLEISTOCENE,61.10127775,4,FALSE
t_90,19.76958305,40.82041742,0.011421268,283.3786,PLEISTOCENE,60.90134232,4,FALSE
t_91,19.77791638,40.77041744,0.03153221,438.28003,CENOZOIC,61.41568987,4,FALSE
t_92,19.77791638,40.77875077,0.022024276,391.01926,PLEISTOCENE,61.21583921,4,FALSE
t_93,19.77791638,40.7870841,0.02357389,388.59726,PLEISTOCENE,61.01598854,4,FALSE
t_94,19.77791638,40.79541743,0.039501652,399.32782,PLEISTOCENE,60.81613787,4,FALSE
t_95,19.77791638,40.80375076,0.019152172,360.2625,PLEISTOCENE,60.6162872,4,FALSE
t_96,19.77791638,40.81208409,0.026911912,374.17023,PLEISTOCENE,60.41643653,4,FALSE
t_97,19.77791638,40.82041742,0.033551585,430.96783,PLEISTOCENE,60.21658586,4,FALSE
t_98,19.77791638,40.82875075,0.032038502,411.40753,PLEISTOCENE,60.0167352,4,FALSE
t_99,19.78624971,40.76208411,0.051364135,472.94214,CENOZOIC,60.93019073,4,FALSE
t_100,19.78624971,40.77041744,0.045289155,469.4065,CENOZOIC,60.73042483,4,FALSE
t_101,19.78624971,40.77875077,0.045747306,442.81442,CENOZOIC,60.53065893,4,FALSE
t_102,19.78624971,40.7870841,0.023834197,423.81415,CENOZOIC,60.33089302,4,FALSE
t_103,19.78624971,40.79541743,0.038794395,424.36984,CENOZOIC,60.13112712,4,FALSE
t_104,19.78624971,40.80375076,0.022613484,413.81955,CENOZOIC,59.93136122,4,FALSE
t_105,19.78624971,40.81208409,0.05142597,467.77533,CENOZOIC,59.73159531,4,FALSE
t_106,19.78624971,40.82041742,0.0814306,546.26184,PLEISTOCENE,59.53182941,4,FALSE
t_107,19.78624971,40.82875075,0.08900568,543.92993,PLEISTOCENE,59.33206351,4,FALSE
t_108,19.79458304,40.76208411,0.03281674,481.54984,CENOZOIC,60.24484092,4,FALSE
t_109,19.79458304,40.77041744,0.058195256,492.6437,CENOZOIC,60.04515979,4,FALSE
t_110,19.79458304,40.77875077,0.042090695,470.0577,CENOZOIC,59.84547865,4,FALSE
t_111,19.79458304,40.7870841,0.020136848,418.58246,CENOZOIC,59.64579751,4,FALSE
t_112,19.79458304,40.79541743,0.031218285,406.4604,CENOZOIC,59.44611637,4,FALSE
t_113,19.79458304,40.80375076,0.012933062,435.22668,CENOZOIC,59.24643523,4,FALSE
t_114,19.79458304,40.81208409,0.071492456,496.81537,CENOZOIC,59.04675409,4,FALSE
t_115,19.80291637,40.76208411,0.043486904,516.7163,CENOZOIC,59.55949111,4,FALSE
t_116,19.80291637,40.77041744,0.062010173,504.09296,CENOZOIC,59.35989474,4,FALSE
t_117,19.80291637,40.77875077,0.058660287,490.2984,CENOZOIC,59.16029837,4,FALSE
t_118,19.80291637,40.7870841,0.03352509,434.1696,CENOZOIC,58.96070199,4,FALSE
t_119,19.8112497,40.77041744,0.030331807,471.66846,CENOZOIC,58.6746297,4,FALSE
t_120,19.8112497,40.77875077,0.049281802,461.94272,CENOZOIC,58.47511809,4,FALSE
t_121,19.8112497,40.7870841,0.04103435,420.8118,CENOZOIC,58.27560648,4,FALSE
t_122,19.93624965,40.7870841,0.06846989,562.7647,CENOZOIC,47.99710443,4,FALSE
t_123,19.94458298,40.77875077,0.035710923,523.25635,CENOZOIC,47.50985136,4,FALSE
t_124,19.94458298,40.7870841,0.051719468,494.07556,CENOZOIC,47.31171536,4,FALSE
t_125,19.95291631,40.77875077,0.09483507,548.899,CENOZOIC,46.82437634,4,FALSE
t_126,19.95291631,40.7870841,0.042163923,503.03143,CENOZOIC,46.62632629,4,FALSE
t_127,19.95291631,40.79541743,0.021556694,463.70532,CENOZOIC,46.42827623,4,FALSE
t_128,19.95291631,40.80375076,0.016310284,447.1909,CENOZOIC,46.23022618,4,FALSE
t_129,19.95291631,40.81208409,0.04665436,491.99872,CENOZOIC,46.03217612,4,FALSE
t_130,19.95291631,40.82041742,0.08768752,573.3598,CENOZOIC,45.83412607,4,FALSE
