ID_0,NAME_0,FATALITIES,FATALITIES_GROUND_SHAKING,INJURIES,DISPLACED_POPULATION,AFFECTED_POPULATION,AFFECTED_UNITS,DAMAGED_UNITS,COLLAPSED_UNITS,UNIT_TYPES,ECONOMIC_LOSSES,INSURED_LOSSES,CURRENCY,INDUCED_EFFECTS,FLAG,REFERENCE,COMMENTS
PER,Peru,593,593,1366,,656965,,,,,600000000.0,200000000.0,USD,,,EM-DAT,"Geo Locations: Chincha, Ica, Lima, Pisco (Adm2)."
PER,Peru,,,,,,,,,,,,,,,Desinventar ,
PER,Peru,514,514,1090,,,,,,,,,,"Tsunami, Landslides",,UTSU,
PER,Peru,514,514,1090,,,,39700.0,,Buildings,,,,"Tsunami, Landslides",,USGS,
PER,Peru,514,514,1090,,,,23632.0,52154,Buildings,,,,"Tsunami, Landslides",,NOAA,
PER,Peru,610,610,1042,,,2574.0,,33676,Buildings,,,,,,Reliefweb,
PER,Peru,514-600,514-600,1300-2291,,431000-450000,13688.0,,48000-76000,Buildings,,,,"Tsunami, Landslides",,Wikipedia,
PER,Peru,519,519,1366,,200000,13585.0,,58581,Buildings,450000000.0,,USD,"Tsunami, Landslides, Liquefaction",,Alarcon_et_al_2008,
PER,Peru,519,519,1300,,,,,,,300000000.0,,USD,,,ASCE,
PER,Peru,595,595,,,,,,,,,,,,,Biggs_et_al_2009,
PER,Peru,593,593,,,,,45500.0,48208,Buildings,,,,,,Blondet_et_al_2008,
PER,Peru,500,500,>1000,,>600000,,180000.0,,Buildings,,,,,,Cuadra_and_Tokeshi_2008,
PER,Peru,519,519,1090,,,,,,,,,,,,EERI_Preliminary_Reconnaissance,
PER,Peru,596,596,,,,,,75786,Buildings,,,,,,ERN,
PER,Peru,337,337,1350,,,,,,,,,,,,NASA,
PER,Peru,595,595,1500,,,,17000.0,,Buildings,,,,,,Lermo_et_al_2008,
PER,Peru,519,519,1291,,,,91300.0,48200,Buildings,,,,"Tsunami, Landslides",,Tavera_et_al_2008,
PER,Peru,519,519,1366,,,13585.0,,58581,Buildings,450000000.0,,USD,"Tsunami, Landslides",,Taucer_et_al_2009,
PER,Peru,519,519,1500,,,,,,,,,,,,Scientific_American_2019,
PER,Peru,519,519,1500,,722643,,192492.0,52164,Buildings,139100000.0,,USD,,,Vladimir_et_al_2009,
PER,Peru,595,595,,,320000,,230000.0,52150,Buildings,,,,"Tsunami, Landslides, Liquefaction",,Tavera_Bernal_2008,
PER,Peru,595,595,1500,,,,17000.0,,Buildings,,,,,,Samaniego_et_al_2008,
PER,Peru,593,593,,,,,,,,,,,,,IFRC,
PER,Peru,597,597,>2000,100000.0,,,,,,,,,"Tsunami, Landslides, Liquefaction",,Peru_Reports_2017,
PER,Peru,503,503,1042,,,,34414.0,,Buildings,,,,,,Press_Release_EERI,
PER,Peru,519,519,1291,,,,,94000,Buildings,,,,,,Rodriguez_Marek_et_al_2007,
PER,Peru,600,600,>1000,,266985,,,36000,Buildings,,,,"Tsunami, Landslides, Liquefaction",,Rios_and_Zavala_2008,
PER,Peru,519,519,1366,,200000,13585.0,,58581,Buildings,450000000.0,,USD,"Tsunami, Landslides, Liquefaction",,EEFIT_Report_2008,
PER,Peru,595,595,,,32000,,230000.0,52150,Buildings,,,,"Tsunami, Landslides, Liquefaction",,IGP_2008,
PER,Peru,596,596,1268,,655674,,,,,,,,"Tsunami, Landslides, Liquefaction",,Jimenez_Cieza_2018,
PER,Peru,519,519,1291,,650000,,,,,,,,"Tsunami, Landslides, Liquefaction",,JSCE_Report_2007,
PER,Peru,596,596,1292,,221060,,,,,,,,"Tsunami, Landslides, Liquefaction",,Paho_2010,
PER,Peru,519,519,1300,,,,,47184,Buildings,300000000.0,,USD,"Tsunami, Landslides, Liquefaction",,Tang_Johnsson_2008,
