# 19910422_M7.6_Limon median gmf, Stations:Seismic, gmlt:GEM, Rupture:GCMT
custom_site_id,lon,lat,AbrahamsonEtAl2014,AkkarEtAlRjb2014,CauzziEtAl2014
s_0,-83.892,9.867,0.256,0.256,0.256
s_1,-83.705,9.373,0.19,0.19,0.19
s_10,-83.92,9.864,0.2608,0.2608,0.2608
s_11,-83.70292,9.37241,0.1927,0.1927,0.1927
s_12,-84.05,9.935,0.1909,0.1909,0.1909
s_13,-84.1041,9.91855,0.1199,0.1199,0.1199
s_14,-84.036,9.869,0.1049,0.1049,0.1049
s_15,-84.07826,9.93327,0.092,0.092,0.092
s_16,-84.08,9.935,0.0779,0.0779,0.0779
s_17,-84.075,9.936,0.0739,0.0739,0.0739
s_18,-83.171,8.635,0.056,0.056,0.056
s_19,-84.166,9.432,0.036,0.036,0.036
s_2,-84.053,9.387,0.188,0.188,0.188
s_20,-84.07605,9.93584,0.0279,0.0279,0.0279
s_21,-83.925,9.867,0.26174,0.26174,0.26174
s_22,-84.054,9.937,0.19367,0.19367,0.19367
s_23,-83.805,9.842,0.14378,0.14378,0.14378
s_24,-84.22,10.019,0.11459,0.11459,0.11459
s_25,-84.038,9.87,0.10531,0.10531,0.10531
s_26,-84.078,9.938,0.10235,0.10235,0.10235
s_27,-84.482,10.088,0.09408,0.09408,0.09408
s_28,-83.314,9.848,0.0901,0.0901,0.0901
s_29,-84.083,9.937,0.07398,0.07398,0.07398
s_3,-83.806,9.843,0.138,0.138,0.138
s_30,-83.172,8.645,0.05857,0.05857,0.05857
s_31,-84.166,9.431,0.03847,0.03847,0.03847
s_4,-84.099,9.916,0.118,0.118,0.118
s_5,-84.217,10.02,0.108,0.108,0.108
s_6,-84.038,9.871,0.102,0.102,0.102
s_7,-84.485,10.087,0.0922,0.0922,0.0922
s_8,-84.082,9.936,0.0742,0.0742,0.0742
s_9,-84.077,9.938,0.0725,0.0725,0.0725
t_0,-82.89334,8.13196,0.042855635,0.039971735,0.047782145
t_1,-83.02808,8.26533,0.042939745,0.03856611,0.046854623
