# 20150425_M7.8_Gorkha median gmf, Stations:None, gmlt:Adjusted, Rupture:Stevens
custom_site_id,lon,lat,"AbrahamsonEtAl2014
region = ""CHN""",AbrahamsonEtAl2015SInter,AtkinsonBoore2003SInter,CauzziEtAl2014,ChiouYoungs2014,YoungsEtAl1997SInter,ZhaoEtAl2016SInter
t_0,82.93477,27.03676,0.09466486,0.0760961,0.07352176,0.07356704,0.08066354,0.07558582,0.028321603
t_1,82.93477,27.11675,0.10443458,0.08457975,0.07682106,0.08192734,0.09112377,0.079098985,0.038750056
t_10,82.93477,27.83404,0.08726043,0.0762098,0.08770889,0.06862046,0.07344738,0.103300974,0.049940974
t_100,83.20426,27.59546,0.1468644,0.12886485,0.11549901,0.11411558,0.13338129,0.12420628,0.06985474
t_1000,85.80938,27.67504,0.6063116,0.6780534,0.12406424,0.45699698,0.6700036,0.2696094,1.1000899
t_1001,85.80938,27.75457,0.5792498,0.6320522,0.12381566,0.41844645,0.6546501,0.26459014,1.0368916
t_1002,85.80938,27.83404,0.5816278,0.60189724,0.12353359,0.39745504,0.6584022,0.25961024,0.9777507
t_1003,85.80938,27.91345,0.58280283,0.5752343,0.12323657,0.37920344,0.6560447,0.25496107,0.9255438
t_1004,85.80938,27.9928,0.5820736,0.5512192,0.12292369,0.3630007,0.650308,0.25055856,0.8786259
t_1005,85.80938,28.07209,0.5942662,0.5383422,0.12257911,0.35399655,0.6597211,0.24616337,0.83409417
t_1006,85.80938,28.15132,0.5708201,0.50672036,0.12220388,0.33353412,0.63179076,0.24180274,0.7920676
t_1007,85.80938,28.2305,0.56059295,0.48628947,0.121798985,0.3202324,0.6202372,0.23749474,0.752543
t_1008,85.80938,28.30962,0.54814327,0.4676558,0.121380314,0.3082178,0.6082102,0.23339155,0.7166443
t_1009,85.80938,28.38867,0.58607197,0.46783054,0.18354149,0.31580052,0.65215445,0.3382804,0.6832212
t_101,83.20426,27.67504,0.14440414,0.12771954,0.118499115,0.109898746,0.13028045,0.12806806,0.07399276
t_1010,85.80938,28.46767,0.5869792,0.45702025,0.18264847,0.34020618,0.6463784,0.3307482,0.80119693
t_1011,85.80938,28.54661,0.5166899,0.40553018,0.17979848,0.3092493,0.4811803,0.310593,0.6845068
t_1012,85.80938,28.6255,0.36836112,0.3086294,0.11450992,0.20942838,0.27532342,0.18953909,0.4195498
t_1013,85.80938,28.70432,0.38309112,0.29272044,0.16862866,0.21599127,0.28321254,0.25802463,0.43650395
t_1014,85.80938,28.78308,0.32796493,0.26131517,0.18075262,0.23458837,0.26270625,0.23344825,0.25255445
t_1015,85.80938,28.86178,0.28621987,0.21159758,0.15258682,0.1582245,0.19597045,0.21135928,0.27810797
t_1016,85.80938,28.94043,0.2621222,0.19132851,0.14338325,0.1479497,0.1828372,0.19175978,0.22592267
t_1017,85.80938,29.01901,0.20855719,0.15108234,0.1343191,0.11662827,0.13770862,0.1744715,0.13652745
t_1018,85.80938,29.09753,0.15993139,0.12007948,0.081078425,0.0958132,0.10611357,0.1000442,0.11344224
t_1019,85.80938,29.176,0.14649151,0.1088286,0.075713985,0.08884023,0.0985233,0.09074931,0.09527346
