# 19780916_M7.3_Tabas median gmf, Stations:Seismic, gmlt:USGS, Rupture:Walker_et_al_2003, Max_dist:50km
custom_site_id,lon,lat,AbrahamsonEtAl2014,CampbellBozorgnia2014,ChiouYoungs2014
m_100,56.76213,33.70142,0.240537,0.19803369,0.22753303
m_101,56.78848,33.73223,0.24299823,0.19798404,0.23033676
m_102,56.8821,33.8282,0.19830005,0.16975543,0.18470186
m_103,56.982,33.02844,0.16331656,0.15039107,0.14821285
m_104,56.91933,33.01659,0.17991991,0.1456338,0.1682654
m_105,56.67772,33.71564,0.16899216,0.14132856,0.15861818
m_106,56.64834,33.6564,0.17839248,0.14274593,0.16899599
m_107,56.64823,33.29858,0.13127232,0.10830453,0.12316789
m_108,56.61398,33.45853,0.12735684,0.111191586,0.118856676
m_109,57.12946,33.77962,0.22853222,0.23837052,0.21516848
m_110,57.42479,33.37796,0.52074796,0.5448012,0.507689
m_111,57.51184,33.30213,0.41791207,0.39971235,0.40564469
m_112,57.20219,33.75948,0.27273113,0.27354175,0.26180738
m_113,57.39298,33.42891,0.56106013,0.66559374,0.4853599
m_114,57.51631,33.32464,0.41693652,0.37730265,0.41044194
m_115,57.12085,33.80806,0.21155828,0.21110022,0.19647816
m_116,57.23418,33.75,0.25622594,0.27518559,0.2472561
m_117,57.23585,33.79858,0.23084286,0.21582446,0.22106542
m_118,56.50162,33.74171,0.10310827,0.0895347,0.097774506
m_119,57.24463,33.80687,0.2324489,0.21062122,0.22978534
m_120,57.25041,33.79621,0.2271526,0.21659082,0.22019093
m_121,57.56518,33.17773,0.4245745,0.36106372,0.38370416
m_122,57.27236,33.82109,0.21187097,0.18911971,0.2122912
m_123,57.31641,33.57109,0.5630656,0.73648494,0.4630224
m_124,57.35271,33.54502,0.65236473,0.7332692,0.55001503
m_125,57.29044,33.62559,0.6393885,0.6908886,0.5264305
m_126,57.226,33.87559,0.18077068,0.15940757,0.17013884
m_127,57.30781,33.6019,0.64900726,0.7148465,0.53127795
m_128,57.19543,33.88033,0.17821895,0.15963092,0.16524899
m_129,57.22609,33.89692,0.16929725,0.14851677,0.15799086
m_130,57.38926,33.5782,0.6282039,0.6899194,0.57992256
m_131,57.37917,33.60308,0.6203243,0.67086184,0.5812482
m_132,57.40678,33.58768,0.6054788,0.6581246,0.5794634
m_133,57.35636,33.71564,0.3071768,0.34546387,0.36307406
m_134,57.35787,33.7263,0.2877359,0.3165755,0.33416182
m_135,57.17524,33.92536,0.16688396,0.14385766,0.15462591
m_136,57.37377,33.70024,0.39175382,0.3842133,0.41597193
m_137,57.22044,33.93839,0.16099934,0.13644475,0.14988376
m_138,57.37512,33.67417,0.55285555,0.4848099,0.49103513
m_139,57.56476,33.08175,0.4564184,0.4028635,0.3974163
m_140,57.20883,33.94668,0.1605156,0.1354089,0.14924736
m_141,57.55585,33.04147,0.4255449,0.4364613,0.37564218
m_142,57.6157,33.07583,0.39603075,0.30999687,0.36291918
