# 19780916_M7.3_Tabas median gmf, Stations:Seismic, gmlt:USGS, Rupture:Niazi_And_Kanamori_1981, Max_dist:50km
custom_site_id,lon,lat,AbrahamsonEtAl2014,CampbellBozorgnia2014,ChiouYoungs2014
m_100,56.76213,33.70142,0.38327408,0.29923442,0.38222346
m_101,56.78848,33.73223,0.3792669,0.29512003,0.38049743
m_102,56.8821,33.8282,0.3477067,0.27127996,0.338682
m_103,56.982,33.02844,0.2093424,0.17457475,0.19555688
m_104,56.91933,33.01659,0.23777208,0.17743424,0.23389556
m_105,56.67772,33.71564,0.31400663,0.23953067,0.30884787
m_106,56.64834,33.6564,0.30791354,0.23157392,0.30711758
m_107,56.64823,33.29858,0.2340935,0.17624386,0.23180084
m_108,56.61398,33.45853,0.2533412,0.19768336,0.24611221
m_109,57.12946,33.77962,0.3012035,0.28361857,0.2910283
m_110,57.42479,33.37796,0.40607607,0.35659716,0.42981786
m_111,57.51184,33.30213,0.40575376,0.3975277,0.4123596
m_112,57.20219,33.75948,0.30230632,0.26996216,0.3038509
m_113,57.39298,33.42891,0.3707114,0.33334693,0.37727168
m_114,57.51631,33.32464,0.3967559,0.3718786,0.4185315
m_115,57.12085,33.80806,0.2959764,0.2681791,0.28565058
m_116,57.23418,33.75,0.263021,0.25007015,0.26977885
m_117,57.23585,33.79858,0.26765007,0.228794,0.2800091
m_118,56.50162,33.74171,0.2169043,0.16669038,0.21402189
m_119,57.24463,33.80687,0.26859307,0.22307649,0.29056284
m_120,57.25041,33.79621,0.25812948,0.22204983,0.27185103
m_121,57.56518,33.17773,0.40382752,0.34529006,0.41448483
m_122,57.27236,33.82109,0.24283369,0.201432,0.26677173
m_123,57.31641,33.57109,0.31823912,0.2973975,0.32747096
m_124,57.35271,33.54502,0.3668284,0.3047304,0.387126
m_125,57.29044,33.62559,0.35618356,0.30031365,0.36752304
m_126,57.226,33.87559,0.24113959,0.19934168,0.25593677
m_127,57.30781,33.6019,0.35870636,0.30145314,0.3711023
m_128,57.19543,33.88033,0.24918516,0.2067256,0.2574172
m_129,57.22609,33.89692,0.23333529,0.1922348,0.24764548
m_130,57.38926,33.5782,0.34621194,0.27762863,0.3936508
m_131,57.37917,33.60308,0.33993658,0.27088916,0.38968495
m_132,57.40678,33.58768,0.33721164,0.26752755,0.39145985
m_133,57.35636,33.71564,0.2632477,0.2204151,0.29855093
m_134,57.35787,33.7263,0.25300926,0.2133418,0.28660625
m_135,57.17524,33.92536,0.24888246,0.19917068,0.25953227
m_136,57.37377,33.70024,0.27434295,0.22410247,0.3170841
m_137,57.22044,33.93839,0.23267052,0.18584597,0.2487912
m_138,57.37512,33.67417,0.29278746,0.23765697,0.33789018
m_139,57.56476,33.08175,0.40281072,0.33499104,0.3913192
m_140,57.20883,33.94668,0.23610336,0.18715419,0.25181082
m_141,57.55585,33.04147,0.35369408,0.32128617,0.34176737
m_142,57.6157,33.07583,0.41610765,0.325068,0.4438082
m_143,57.02965,33.93365,0.29382458,0.2203768,0.29702753
m_144,56.75227,33.77962,0.3322126,0.2507414,0.3298293
m_145,56.87949,33.8981,0.2813777,0.22171284,0.26617086
m_146,56.52131,33.58057,0.23397812,0.17930798,0.23039816
m_147,56.78944,33.95379,0.24694273,0.188462,0.23999692
m_148,56.51661,33.50592,0.22799326,0.17426445,0.22522065
m_149,56.51101,33.55569,0.23383982,0.1770778,0.23152159
m_150,56.51053,33.44668,0.21381812,0.16528313,0.21101905
m_151,56.54383,33.7346,0.23573709,0.17969649,0.2321329
m_152,56.49898,33.47038,0.21090433,0.16393334,0.20772132
m_153,56.49634,33.53199,0.21836263,0.16872974,0.21516627
m_154,57.55984,33.2891,0.39067876,0.35366976,0.41885236
m_155,56.54567,33.1564,0.18311721,0.14038579,0.1851244
m_156,57.57446,33.30095,0.38080254,0.3340561,0.4195742
m_157,56.52525,33.81635,0.21764693,0.16567627,0.21551079
m_158,56.64235,33.95261,0.2198669,0.16655041,0.21725288
m_159,56.55906,33.88744,0.1853096,0.15085055,0.17600782
m_160,57.27682,33.84242,0.22441897,0.18904659,0.24445622
m_161,57.30009,33.83412,0.2098909,0.17979078,0.22931805
m_162,57.31018,33.81043,0.21237324,0.18442856,0.23254378
m_163,57.3088,33.8282,0.20126915,0.17603962,0.21857749
m_164,57.30595,33.8436,0.19989568,0.1725767,0.21736939
m_165,57.32485,33.83531,0.18836954,0.16519381,0.2047483
m_166,57.26256,33.91114,0.2152032,0.17717709,0.23176143
m_167,57.26409,33.92773,0.21259293,0.17419346,0.22866613
m_169,57.30934,33.95261,0.19186904,0.15890843,0.20571212
m_170,57.39844,33.68009,0.27854964,0.22663969,0.32430232
m_171,57.22638,33.96327,0.22613642,0.17975289,0.24198566
m_172,57.23669,33.99052,0.22174421,0.17442547,0.23800297
m_173,57.33286,34.00237,0.19741777,0.15772386,0.21218997
m_174,57.23676,34.00592,0.21895987,0.17211749,0.2346935
m_175,57.24991,34.01659,0.2148208,0.16898523,0.23052843
m_176,57.68586,33.13389,0.38212025,0.2930189,0.4429884
m_177,57.21358,34.03318,0.22945905,0.17379132,0.24625404
m_178,57.68432,33.11374,0.38686332,0.29485643,0.44603705
m_179,57.67988,33.09716,0.39173403,0.2977652,0.4478473
m_18,56.94566,33.37678,0.3950555,0.30425003,0.39711356
m_180,57.68108,33.0391,0.39063314,0.2920446,0.43766895
m_181,57.71474,33.07701,0.38028234,0.2848918,0.44006515
m_182,57.69131,33.04858,0.38700175,0.28925925,0.4376485
m_183,57.7308,33.08649,0.37351382,0.27928555,0.43757227
m_184,56.98187,33.99763,0.2637759,0.19599475,0.2646965
m_185,57.66635,33.00118,0.3989902,0.29911914,0.4299805
m_186,57.6795,33.01185,0.39501777,0.2974401,0.42832443
m_187,57.69412,33.02488,0.390203,0.2938777,0.42927173
m_188,56.99069,34.01659,0.25390664,0.1895368,0.2553959
m_189,56.95565,33.99763,0.25650454,0.1933678,0.25420275
m_19,56.94342,33.52962,0.68836415,0.62531,0.68518186
m_190,56.9309,33.99882,0.25607613,0.19219007,0.25329813
m_191,56.93247,34.02488,0.25064403,0.18567564,0.25017667
m_192,56.81734,34.00592,0.23999064,0.17990106,0.23585728
m_193,56.56649,33.92299,0.17189406,0.14396101,0.16339566
m_194,56.62645,33.97986,0.19647838,0.15404056,0.19200493
m_195,56.4436,33.79502,0.20558019,0.15450306,0.20606285
m_196,56.511,33.88863,0.17594974,0.14337945,0.16908167
m_20,57.01041,33.53081,0.6262688,0.5447172,0.63527024
m_21,56.95018,33.41232,0.43234542,0.34071302,0.43499514
m_22,56.92031,33.57346,0.88851696,0.8780988,0.88494974
m_23,56.9503,33.43839,0.46721068,0.37660408,0.4691689
m_24,56.9277,33.59953,0.9159114,0.91149485,0.9150925
m_25,56.93572,33.43483,0.45716104,0.36738572,0.45775464
m_26,56.9329,33.45498,0.46941277,0.3816646,0.4765575
m_27,57.11243,33.21445,0.36360934,0.2727554,0.36835748
m_28,56.9489,33.45261,0.4887376,0.3990595,0.49077064
m_29,57.22252,33.08057,0.3550272,0.2630827,0.3663666
m_30,56.91287,33.53791,0.6821435,0.62130153,0.684458
m_31,57.32361,33.21801,0.42755854,0.34632662,0.44423515
m_32,57.11293,33.66351,0.49779904,0.42747617,0.4844475
m_33,56.89685,33.53791,0.64518476,0.5825737,0.6484884
m_34,57.19183,33.38863,0.45053017,0.35815835,0.4633264
m_35,56.89389,33.52725,0.594237,0.52666676,0.60021824
m_36,56.89861,33.60782,0.80053824,0.76862943,0.7994393
m_37,57.15146,33.1481,0.35218075,0.2608641,0.3608506
m_38,56.91103,33.45024,0.45398378,0.36667082,0.45882827
m_39,56.88389,33.57227,0.7185732,0.67329943,0.71881455
m_40,57.16007,33.45261,0.47666112,0.38318387,0.48782605
m_41,56.89254,33.55095,0.6824557,0.6278336,0.6844241
m_42,57.37696,33.09716,0.40208268,0.32756925,0.3886524
m_43,56.95272,33.32701,0.3486958,0.26281616,0.3561976
m_44,57.00823,33.69787,0.54715717,0.46736842,0.54342574
m_45,57.17286,33.38033,0.44642413,0.35360247,0.45774487
m_46,57.034,33.26422,0.3403773,0.25436857,0.35189146
m_47,56.88531,33.5628,0.70107275,0.6511886,0.7016328
m_48,57.19207,33.11137,0.35374725,0.26223797,0.36419654
m_49,57.33079,33.1955,0.40820542,0.34521368,0.39438817
m_50,56.98063,33.71327,0.52490354,0.44812948,0.5145373
m_51,56.91523,33.74526,0.45989752,0.3754481,0.45492333
m_52,56.87313,33.77607,0.3735503,0.31130907,0.34824038
m_53,57.42562,33.2346,0.4186934,0.3866352,0.40380818
m_54,56.87372,33.5782,0.6899609,0.6387198,0.68981236
m_55,56.89141,33.62678,0.71097904,0.6570049,0.712184
m_56,57.25735,33.38626,0.43261415,0.36295256,0.42061982
m_57,57.24278,33.38389,0.43303177,0.3620034,0.42080322
m_58,57.40016,33.07227,0.34142148,0.31185046,0.32487586
m_59,57.22688,33.41232,0.41663778,0.3632069,0.3981864
m_60,57.411,33.22156,0.4286586,0.37914112,0.4241041
m_61,57.23988,33.05332,0.35483578,0.2621772,0.3656172
m_62,57.14201,33.65284,0.47738084,0.4068519,0.46820638
m_63,57.03024,33.73697,0.47125265,0.39066073,0.46489733
m_64,57.16085,33.63033,0.3971815,0.38553107,0.38029835
m_65,56.84757,33.59242,0.600757,0.53509396,0.60155946
m_66,56.84325,33.60308,0.58612174,0.517765,0.58696544
m_67,56.85795,33.63507,0.5993658,0.52792597,0.5998136
m_68,56.82572,33.59123,0.53627205,0.4636528,0.53786355
m_69,56.82871,33.60782,0.5433412,0.47010997,0.54454106
m_70,56.85662,33.66232,0.5442291,0.46482563,0.5461438
