FIELD,DESCRIPTION
Year,2008
Country,Iceland
Region,Iceland
Event_Name,Iceland_2008
Local_Date,29/05/2008
Local_Time,15:46:00
Latitude,64.005
Longitude,-21.013
Depth_(km),9
Mw,6.3
Max_Intensity_(MMI),VIII
Fault_mechanism,Strike-slip
Tectonic_region_type,Active Shallow Crust
Fatalities,
Injured,0-30
Displaced_Population,
Affected_Population,
Affected_Units,
Damaged_Units,30 Buildings
Collapsed_Units,
Economic_Losses,
Insured_Losses,
Induced_Effects,
USGS page,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g826/executive
Wikipedia page,https://en.wikipedia.org/wiki/2000_Iceland_earthquakes
