calc_id,description,cal_time,gmpe,imt,nominal_bias,max_gmv,Rupture,GMLT,Recording_Stations,abs_bias
23,"Median gmf - 20170908_M8.2_Chiapas (Rupture:SSN, GMPEs:USGS, Recording Stations:seismic)",610,ZhaoEtAl2016SSlab,SA(1.0),-0.034,0.5626867,SSN,USGS,seismic,0.034
17,"Median gmf - 20170908_M8.2_Chiapas (Rupture:Okuwaki_and_Yagi_2017, GMPEs:GEM, Recording Stations:seismic)",442,YoungsEtAl1997SSlab,PGA,-0.058,0.67365265,Okuwaki_and_Yagi_2017,GEM,seismic,0.058
15,"Median gmf - 20170908_M8.2_Chiapas (Rupture:GCMT, GMPEs:USGS, Recording Stations:seismic)",606,ZhaoEtAl2016SSlab,SA(1.0),-0.07,0.6178303,GCMT,USGS,seismic,0.07
18,"Median gmf - 20170908_M8.2_Chiapas (Rupture:Okuwaki_and_Yagi_2017, GMPEs:GEM, Recording Stations:all)",437,YoungsEtAl1997SSlab,SA(0.3),-0.084,1.3329512,Okuwaki_and_Yagi_2017,GEM,all,0.084
18,"Median gmf - 20170908_M8.2_Chiapas (Rupture:Okuwaki_and_Yagi_2017, GMPEs:GEM, Recording Stations:all)",437,YoungsEtAl1997SSlab,PGA,0.097,0.68590987,Okuwaki_and_Yagi_2017,GEM,all,0.097
18,"Median gmf - 20170908_M8.2_Chiapas (Rupture:Okuwaki_and_Yagi_2017, GMPEs:GEM, Recording Stations:all)",437,YoungsEtAl1997SSlab,SA(1.0),0.107,0.90080774,Okuwaki_and_Yagi_2017,GEM,all,0.107
27,"Median gmf - 20170908_M8.2_Chiapas (Rupture:USGS, GMPEs:USGS, Recording Stations:seismic)",638,ZhaoEtAl2016SSlab,SA(1.0),0.114,0.59563583,USGS,USGS,seismic,0.114
15,"Median gmf - 20170908_M8.2_Chiapas (Rupture:GCMT, GMPEs:USGS, Recording Stations:seismic)",606,AbrahamsonEtAl2015SSlab,PGA,0.12,0.5591322,GCMT,USGS,seismic,0.12
13,"Median gmf - 20170908_M8.2_Chiapas (Rupture:GCMT, GMPEs:GEM, Recording Stations:seismic)",526,AbrahamsonEtAl2015SSlab,PGA,0.12,0.5591322,GCMT,GEM,seismic,0.12
25,"Median gmf - 20170908_M8.2_Chiapas (Rupture:USGS, GMPEs:GEM, Recording Stations:seismic)",476,AbrahamsonEtAl2015SSlab,PGA,0.143,0.5632759,USGS,GEM,seismic,0.143
27,"Median gmf - 20170908_M8.2_Chiapas (Rupture:USGS, GMPEs:USGS, Recording Stations:seismic)",638,AbrahamsonEtAl2015SSlab,PGA,0.143,0.5632759,USGS,USGS,seismic,0.143
