FIELD,DESCRIPTION
Year,2016
Country,Japan
Region,East Asia
Event Name,Kumamoto 2016
Local Date,16/04/2016
Local Time,01:25:06
Latitude (decimal degrees),32.7906
Longitude (decimal degrees),130.7543
Depth (km),10
Mw,7
Max Intensity (MMI),IX
Fault mechanism,Strike slip
Tectonic region type,Active Shallow Crustal
Fatalities,50-228
Injured,1500-2753
Displaced population,23985-196000
Affected population,~272763
Affected units,~198636 
Damaged units,~189939 
Collapsed units,~8697 
Economic losses,20000-22580 M USD
Insured losses,5000-5645 M USD
Earthquake-triggered effects,"Landslides, Debris flows, Cliff failures"
USGS event ID,us20005iis
Wikipedia page,https://en.wikipedia.org/wiki/2016 Kumamoto earthquakes
