Clave,A. Máx. (cm/s/s),Zonificación Sísmica,Epicentro [km]
TH35,62.22,Zona IIId - Lago,723
XO36,57.56,Zona IIIc - Lago,730
BA49,56.83,Zona IIIc - Lago,744
CU80,56.57,Zona IIIc - Lago,732
MY19,51.78,Zona IIIc - Lago,731
PD42,50.83,Zona IIId - Lago,740
DM12,50.53,Zona IIIc - Lago,742
C166,47.84,Zona IIIc - Lago,737
NZ31,47.84,Zona IIId - Lago,735
BO39,46.69,Zona IIIc - Lago,745
NZ20,43.49,Zona IIId - Lago,732
CE23,42.83,Zona IIId - Lago,742
AE02,41.9,Zona IIId - Lago,739
CH84,41.65,Zona IIIa - Lago,736
AR14,40.71,Zona IIId - Lago,744
SP51,40.27,Zona IIIb - Lago,738
GC38,39.43,Zona IIIa - Lago,734
CO56,38.75,Zona IIIb - Lago,746
AP68,37.94,Zona IIIc - Lago,739
XP06,37.63,Zona IIIc - Lago,744
MI15,36.86,Zona IIIa - Lago,733
S160,36.57,Zona IIIb - Lago,743
CS66,35.79,Zona IIIc - Lago,737
DX37,35.72,Zona II - Transición,738
CE32,34.23,Zona IIId - Lago,735
CI05,34.15,Zona IIIb - Lago,746
IB22,33.87,Zona IIIa - Lago,738
EX08,33.36,Zona IIIb - Lago,746
JA43,32.64,Zona IIIc - Lago,742
VM29,32.22,Zona IIIc - Lago,740
BL45,31.81,Zona IIIb - Lago,745
HJ72,31.8,Zona IIIc - Lago,744
RI76,31.03,Zona IIIc - Lago,743
CJ03,30.54,Zona IIIb - Lago,745
CJ04,30.17,Zona IIIb - Lago,745
PE10,29.89,Zona IIIb - Lago,741
CC55,29.85,Zona II - Transición,743
EX12,29.54,Zona IIIb - Lago,746
EX09,29.46,Zona IIIb - Lago,746
JC54,29.17,Zona IIIa - Lago,735
AO24,28.09,Zona II - Transición,741
UC44,27.84,Zona IIIa - Lago,747
SI53,27.63,Zona IIIa - Lago,741
AL01,27.36,Zona IIIb - Lago,746
LI58,26.7,Zona IIIb - Lago,746
VG09,26.4,Zona IIIb - Lago,745
GA62,25.96,Zona IIIb - Lago,746
SS60,25.74,Zona IIIb - Lago,743
CA59,25.7,Zona IIIc - Lago,743
C266,25.48,Zona IIIc - Lago,737
LV17,24.57,Zona IIIa - Lago,749
ES57,21.39,Zona II - Transición,746
TL55,21.21,Zona IIIb - Lago,747
RM48,20.78,Zona IIIb - Lago,744
TL08,20.31,Zona IIIb - Lago,746
AU46,20.19,Zona II - Transición,744
S260,14.65,Zona IIIb - Lago,743
PA34,14.31,Zona I - Lomas,721
GR27,14.2,Zona II - Transición,751
ME52,14.07,Zona II - Transición,749
EO30,13.02,Zona II - Transición,745
MT50,12.49,Zona I - Lomas,748
UI21,11.86,Zona I - Lomas,750
DR16,11.29,Zona II - Transición,754
CP28,11.27,Zona I - Lomas,741
CO47,11.17,Zona II - Transición,743
S360,11.12,Zona IIIb - Lago,743
D270,10.53,Zona I - Lomas,743
D170,9.71,Zona I - Lomas,743
CS78,8.75,Zona I - Lomas,747
CE18,8.61,Zona I - Lomas,734
IM40,7.72,Zona I - Lomas,743
CT64,3.54,Zona I - Lomas,747
