ID,NAME,LATITUDE,LONGITUDE,TAXONOMY,GEM_TAXONOMY,AFFECTED_UNITS,DAMAGED_UNITS,D0,D1,D2,D3,D4,D5,TOTAL,DS2_MODARATE_DAMAGED,DS3_EXTENSIVE,DS4_COMPLETE,COLLAPSED_UNITS,UNIT_TYPES,CAUSE_OF_DAMAGE,REFERENCE,COMMENTS
,Camerino,43.13565,3.068325,URM-T,,,,0,19,4,0,1,0,24,,,,,Buildings,Shaking,CEQID/GEER,Unreinforced masonry with Timber floors and roof
,Camerino,43.13565,3.068325,URM-RC,,,,0,5,0,0,2,0,7,,,,,Buildings,Shaking,CEQID/GEER,Unreinforced masonry with Reinforced Concrete floors and roof
,Camerino,43.13565,3.068325,RC-F,,,,1,3,3,0,0,0,7,,,,,Buildings,Shaking,CEQID/GEER,Reinforced concrete frame
,Pié del Colle,43.029963,13.175116,URM-T,,,,0,5,2,1,0,1,9,,,,,Buildings,Shaking,CEQID/GEER,Unreinforced masonry with Timber floors and roof
,Pié del Colle,43.029963,13.175116,URM-RC,,,,1,0,1,0,0,0,2,,,,,Buildings,Shaking,CEQID/GEER,Unreinforced masonry with Reinforced Concrete floors and roof
,Pié del Colle,43.029963,13.175116,RC-F,,,,1,0,2,0,1,0,4,,,,,Buildings,Shaking,CEQID/GEER,Reinforced concrete frame
,Pievebovigliana,43.061457,13.082485,URM-T,,,,0,2,2,2,3,0,9,,,,,Buildings,Shaking,CEQID/GEER,Unreinforced masonry with Timber floors and roof
,Pievebovigliana,43.061457,13.082485,URM-RC,,,,0,1,1,6,0,0,8,,,,,Buildings,Shaking,CEQID/GEER,Unreinforced masonry with Reinforced Concrete floors and roof
,Pievebovigliana,43.061457,13.082485,RC-F,,,,0,0,2,2,0,0,4,,,,,Buildings,Shaking,CEQID/GEER,Reinforced concrete frame
,San Severino Marche,43.230415,13.16538,URM-T,,,,0,0,0,0,0,0,0,,,,,Buildings,Shaking,CEQID/GEER,Unreinforced masonry with Timber floors and roof
,San Severino Marche,43.230415,13.16538,URM-RC,,,,0,0,1,0,1,0,2,,,,,Buildings,Shaking,CEQID/GEER,Unreinforced masonry with Reinforced Concrete floors and roof
,San Severino Marche,43.230415,13.16538,RC-F,,,,1,0,5,2,1,1,10,,,,,Buildings,Shaking,CEQID/GEER,Reinforced concrete frame
,Visso,42.929273,13.087669,URM-T,,,,0,0,2,3,5,1,11,,,,,Buildings,Shaking,CEQID/GEER,Unreinforced masonry with Timber floors and roof
,Visso,42.929273,13.087669,URM-RC,,,,0,0,0,0,1,1,2,,,,,Buildings,Shaking,CEQID/GEER,Unreinforced masonry with Reinforced Concrete floors and roof
,Visso,42.929273,13.087669,RC-F,,,,0,0,0,3,0,0,3,,,,,Buildings,Shaking,CEQID/GEER,Reinforced concrete frame
