# 20010213_M6.6_SanVicente median gmf, Stations:Seismic, gmlt:GEM, Rupture:USGS
custom_site_id,lon,lat,AbrahamsonEtAl2015SInterHigh,MontalvaEtAl2017SInter,ZhaoEtAl2006SInter
t_0,-88.07562,13.1642,0.016620334,0.01718026,0.022307184
t_1,-88.03968,13.1642,0.01586843,0.016290287,0.021256017
t_10,-87.91392,13.1642,0.02097379,0.019421553,0.019396363
t_100,-87.96782,13.3216,0.017616257,0.01792672,0.021757878
t_1000,-88.27325,13.5837,0.036254987,0.038565982,0.03993622
t_1001,-88.29121,13.60116,0.033893898,0.03727293,0.040927593
t_1002,-88.27325,13.60116,0.041273475,0.041615557,0.040431373
t_1003,-88.41698,13.5837,0.041196298,0.043158535,0.044728678
t_1004,-88.39901,13.5837,0.040708683,0.043015234,0.044706643
t_1005,-88.38104,13.5837,0.038252607,0.041458033,0.044449534
t_1006,-88.38104,13.60116,0.042846918,0.04419681,0.044133876
t_1007,-88.39901,13.60116,0.039703347,0.042444322,0.04424325
t_1008,-88.41698,13.60116,0.040126193,0.042523608,0.04407283
t_1009,-88.38104,13.61862,0.040951565,0.04330699,0.04394467
t_101,-87.94985,13.3216,0.016732093,0.017032264,0.021182492
t_1010,-88.39901,13.61862,0.04009795,0.04278027,0.04396622
t_1011,-88.41698,13.61862,0.03874288,0.041805595,0.04368552
t_1012,-88.39901,13.63608,0.038366027,0.041918706,0.043898877
t_1013,-88.34511,13.5837,0.03508226,0.038878582,0.04338524
t_1014,-88.36308,13.60116,0.0382502,0.04144638,0.043794006
t_1015,-88.34511,13.60116,0.039317757,0.041964065,0.04326735
t_1016,-88.32715,13.60116,0.04134968,0.042886812,0.042593073
t_1017,-88.34511,13.61862,0.04034098,0.04269268,0.043200646
t_1018,-88.36308,13.61862,0.041818343,0.0436968,0.043673787
t_1019,-88.32715,13.61862,0.03591697,0.039498635,0.042567264
t_102,-87.93189,13.3216,0.016154807,0.016407283,0.020625781
t_1020,-88.34511,13.63608,0.038900312,0.041942492,0.043195453
t_1021,-88.36308,13.63608,0.03642059,0.04044164,0.043650147
t_1022,-88.32715,13.63608,0.03240195,0.036836486,0.033727832
t_1023,-88.30918,13.60116,0.03553272,0.038825702,0.04180365
t_1024,-88.29121,13.61862,0.036949974,0.03959426,0.040955395
t_1025,-88.30918,13.61862,0.033295237,0.03719483,0.041808654
t_1026,-88.27325,13.61862,0.035329293,0.03808761,0.040033355
t_1027,-88.27325,13.63608,0.034941662,0.0378866,0.040072076
t_1028,-88.30918,13.63608,0.0338486,0.037738647,0.04183101
t_1029,-88.29121,13.63608,0.03309136,0.036819566,0.040987156
t_103,-88.02172,13.28663,0.018908491,0.01933103,0.023004418
t_1030,-88.27325,13.65354,0.02923,0.03330799,0.03177026
t_1031,-88.29121,13.65354,0.032630455,0.036531966,0.04102414
t_1032,-88.30918,13.65354,0.029941978,0.03453649,0.033169273
t_1033,-88.41698,13.63608,0.03892414,0.042130493,0.04359673
t_1034,-88.38104,13.63608,0.04055569,0.04325038,0.04389991
