# 20010213_M6.6_SanVicente median gmf, Stations:None, gmlt:GEM, Rupture:Canora_et_al_2001
custom_site_id,lon,lat,AbrahamsonEtAl2015SInterHigh,MontalvaEtAl2017SInter,ZhaoEtAl2006SInter
t_0,-88.07562,13.1642,0.020502448,0.044124547,0.03128381
t_1,-88.03968,13.1642,0.019608656,0.041896056,0.02984694
t_10,-87.91392,13.1642,0.026072832,0.050285157,0.027343795
t_100,-87.96782,13.3216,0.021881785,0.04638987,0.03072123
t_1000,-88.27325,13.5837,0.049036656,0.11318379,0.062847525
t_1001,-88.29121,13.60116,0.046789013,0.11214992,0.06597048
t_1002,-88.27325,13.60116,0.05626969,0.123185955,0.064055
t_1003,-88.41698,13.5837,0.06706321,0.16521919,0.08868294
t_1004,-88.39901,13.5837,0.06382618,0.15629119,0.08466668
t_1005,-88.38104,13.5837,0.05805612,0.14379875,0.08091486
t_1006,-88.38104,13.60116,0.066405326,0.15637352,0.08185055
t_1007,-88.39901,13.60116,0.06375984,0.15732369,0.08571478
t_1008,-88.41698,13.60116,0.067275934,0.16684501,0.08986131
t_1009,-88.38104,13.61862,0.06442896,0.1548728,0.08264419
t_101,-87.94985,13.3216,0.020793969,0.04408495,0.029917745
t_1010,-88.39901,13.61862,0.06560424,0.16089211,0.08660559
t_1011,-88.41698,13.61862,0.06639265,0.16670369,0.09086514
t_1012,-88.39901,13.63608,0.063511625,0.15865698,0.0873256
t_1013,-88.34511,13.5837,0.050587866,0.1252618,0.07411908
t_1014,-88.36308,13.60116,0.057424154,0.14025144,0.07824534
t_1015,-88.34511,13.60116,0.057517227,0.1370808,0.074872576
t_1016,-88.32715,13.60116,0.059186827,0.13599382,0.071715765
t_1017,-88.34511,13.61862,0.059683956,0.14075726,0.07550949
t_1018,-88.36308,13.61862,0.063655056,0.14967714,0.07895509
t_1019,-88.32715,13.61862,0.051849835,0.12588161,0.07228924
t_102,-87.93189,13.3216,0.020087019,0.042480964,0.029140692
t_1020,-88.34511,13.63608,0.058011923,0.13895093,0.07602201
t_1021,-88.36308,13.63608,0.055905323,0.13900591,0.07952696
t_1022,-88.32715,13.63608,0.0470978,0.11786932,0.05762932
t_1023,-88.30918,13.60116,0.049857374,0.11957483,0.068753235
t_1024,-88.29121,13.61862,0.051388443,0.11996284,0.066439666
t_1025,-88.30918,13.61862,0.04708709,0.11523083,0.069271185
t_1026,-88.27325,13.61862,0.048410423,0.11302578,0.06378047
t_1027,-88.27325,13.63608,0.048117675,0.11285022,0.064122096
t_1028,-88.30918,13.63608,0.048180774,0.11748663,0.06968707
t_1029,-88.29121,13.63608,0.04626165,0.111890145,0.06681604
t_103,-88.02172,13.28663,0.02341936,0.049905434,0.032404203
t_1030,-88.27325,13.65354,0.040388834,0.09933771,0.050995525
t_1031,-88.29121,13.65354,0.04580827,0.11129933,0.0670957
t_1032,-88.30918,13.65354,0.042801287,0.107704595,0.05544779
t_1033,-88.41698,13.63608,0.067623354,0.16937216,0.09167804
t_1034,-88.38104,13.63608,0.0644828,0.15566479,0.08328459
t_1035,-88.39901,13.65354,0.059435215,0.1526035,0.08786343
t_1036,-88.41698,13.65354,0.06999234,0.173297,0.09228612
t_1037,-88.38104,13.65354,0.057110146,0.14486541,0.08376237
t_1038,-88.38104,13.671,0.05530236,0.14195283,0.066596605
t_1039,-88.39901,13.671,0.06010654,0.15407309,0.08821031
t_104,-88.00375,13.28663,0.02197652,0.046936292,0.03156516
t_1040,-88.41698,13.671,0.06574374,0.16766886,0.0926786
t_1041,-88.41698,13.68846,0.06559528,0.16761634,0.09284836
t_1042,-88.39901,13.68846,0.058044948,0.15061505,0.06999503
t_1043,-88.32715,13.65354,0.05529002,0.1320533,0.073093124
t_1044,-88.34511,13.65354,0.049286466,0.12470661,0.060523402
t_1045,-88.36308,13.65354,0.050897017,0.13046908,0.06333518
t_1046,-88.32715,13.671,0.060385704,0.1392483,0.07331389
t_1047,-88.34511,13.671,0.054594327,0.13424541,0.07664936
t_1048,-88.36308,13.671,0.05286744,0.13433108,0.06355268
t_1049,-88.34511,13.68846,0.051976603,0.12987259,0.07675597
t_105,-88.00375,13.30411,0.022172784,0.047480077,0.031990588
t_1050,-88.36308,13.68846,0.053616263,0.13577625,0.080346726
t_1051,-88.32715,13.68846,0.05032461,0.12422266,0.073409766
t_1052,-88.36308,13.70591,0.061742783,0.14869085,0.08030853
t_1053,-88.21935,13.49636,0.040525254,0.09192739,0.05322871
t_1054,-88.23731,13.49636,0.03965404,0.091828085,0.05514689
t_1055,-88.25528,13.49636,0.03874361,0.091568686,0.05716341
t_1056,-88.21935,13.51383,0.0407171,0.09272058,0.053875618
t_1057,-88.23731,13.51383,0.040937938,0.09453039,0.055848923
t_1058,-88.25528,13.51383,0.0421603,0.0981244,0.05792662
t_1059,-88.23731,13.5313,0.03737918,0.08863407,0.056503862
t_106,-87.98579,13.30411,0.025703669,0.053190373,0.031155279
t_1060,-88.25528,13.5313,0.043792233,0.10139632,0.058639746
t_1061,-88.21935,13.5313,0.03665796,0.08603185,0.054478273
t_1062,-88.21935,13.54877,0.035979837,0.085114114,0.0550326
t_1063,-88.09358,13.51383,0.032712683,0.071554855,0.04245588
t_1064,-88.11155,13.5313,0.032413494,0.07214279,0.0442449
t_1065,-88.12952,13.5313,0.03441227,0.076527715,0.045750167
t_1066,-88.09358,13.5313,0.0321445,0.0708065,0.042808514
t_1067,-88.12952,13.54877,0.039014716,0.084173426,0.04663348
t_1068,-88.11155,13.54877,0.031122485,0.07005349,0.04459135
t_1069,-88.09358,13.54877,0.036337785,0.07785527,0.043130647
t_107,-88.02172,13.30411,0.029144973,0.05971395,0.033217225
t_1070,-88.12952,13.56623,0.036640424,0.0807133,0.04645952
t_1071,-88.09358,13.56623,0.033538017,0.073554225,0.043420456
t_1072,-88.11155,13.56623,0.032281857,0.07230535,0.04490325
t_1073,-88.14748,13.5313,0.035392173,0.079220906,0.047327913
t_1074,-88.18342,13.5313,0.039445978,0.08832323,0.050725065
t_1075,-88.20138,13.5313,0.035954554,0.08354471,0.052553512
t_1076,-88.16545,13.5313,0.04202997,0.090905085,0.049526554
t_1077,-88.20138,13.54877,0.03710225,0.085936904,0.053063855
t_1078,-88.16545,13.54877,0.037216157,0.08371186,0.04941967
t_1079,-88.14748,13.54877,0.0357881,0.08015965,0.04773044
t_108,-88.00375,13.3216,0.02350253,0.050055716,0.032409713
t_1080,-88.18342,13.54877,0.04270052,0.09372806,0.051195793
