# 20010213_M6.6_SanVicente median gmf, Stations:None, gmlt:MARN, Rupture:USGS
custom_site_id,lon,lat,AkkarEtAlRhyp2014,BooreAtkinson2011,CauzziEtAl2014
t_0,-88.07562,13.1642,0.019385869,0.033961255,0.024075106
t_1,-88.03968,13.1642,0.018529236,0.032299973,0.023062404
t_10,-87.91392,13.1642,0.02311107,0.05325338,0.028298099
t_100,-87.96782,13.3216,0.020258069,0.036278334,0.025136752
t_1000,-88.27325,13.5837,0.042303015,0.079962775,0.053858273
t_1001,-88.29121,13.60116,0.040290136,0.07445658,0.05202445
t_1002,-88.27325,13.60116,0.046640545,0.099762514,0.06099392
t_1003,-88.41698,13.5837,0.057254296,0.10185627,0.0753593
t_1004,-88.39901,13.5837,0.054564305,0.09790978,0.07147085
t_1005,-88.38104,13.5837,0.049748473,0.08931713,0.065177016
t_1006,-88.38104,13.60116,0.056017816,0.103765905,0.07347108
t_1007,-88.39901,13.60116,0.054226767,0.09703998,0.07125256
t_1008,-88.41698,13.60116,0.05710807,0.10137487,0.075400844
t_1009,-88.38104,13.61862,0.054456264,0.09933784,0.07122556
t_101,-87.94985,13.3216,0.019266482,0.034277,0.024047907
t_1010,-88.39901,13.61862,0.05546312,0.0995695,0.07292297
t_1011,-88.41698,13.61862,0.056067783,0.09911243,0.07429946
t_1012,-88.39901,13.63608,0.05350524,0.09533654,0.07061377
t_1013,-88.34511,13.5837,0.043446805,0.0787364,0.056965865
t_1014,-88.36308,13.60116,0.04903529,0.08896789,0.063919984
t_1015,-88.34511,13.60116,0.04910538,0.09055817,0.06354413
t_1016,-88.32715,13.60116,0.050053835,0.095355704,0.06483417
t_1017,-88.34511,13.61862,0.050589327,0.09406492,0.0655597
t_1018,-88.36308,13.61862,0.05364668,0.09981658,0.07000095
t_1019,-88.32715,13.61862,0.04429069,0.08112298,0.05751226
t_102,-87.93189,13.3216,0.018627908,0.03297051,0.023306627
t_1020,-88.34511,13.63608,0.04917291,0.090465516,0.06373871
t_1021,-88.36308,13.63608,0.047328684,0.08535403,0.062168412
