FIELD,DESCRIPTION
Year,2023
Country,Colombia
Region,Meta
Event_Name,El Calvario
Local_Date,17/08/2023
Local_Time,12:04:57
Longitude,-73.5111
Latitude,4.4177
Depth_(km),10
Mw,6.1
Max_Intensity_(MMI),VII
Fault_mechanism,Strike-slip
Tectonic_region_type,Active shallow
Fatalities,0
Injured,0
Displaced_Population,
Affected_Population,0
Affected_Units,
Damaged_Units,82
Destroyed_Units,10
Economic_Losses,
Insured_Losses,
Induced_Effects,
USGS page,https://earthquake.usgs.gov/earthquakes/eventpage/us7000kp2i/executive
Wikipedia page,https://es.wikipedia.org/wiki/Terremoto_de_El_Calvario_de_2023#cite_note-2
