FIELD,DESCRIPTION
Year,1988
Country,Greece
Region,Europe
Event Name,Elia 1988
Local Date,16/10/1988
Local Time,12:34:05
Latitude (decimal degrees),37.938
Longitude (decimal degrees),20.932
Depth (km),25.2
Mw,5.9
Max Intensity (MMI),VII
Fault mechanism,Strike-slip
Tectonic region type,Subduction Interface
Fatalities,
Injured,
Displaced population,~25
Affected population,
Affected units,
Damaged units,
Collapsed units,
Economic losses,
Insured losses,
Earthquake-triggered effects,
USGS event ID,usp0003mvg
Wikipedia page,https://en.wikipedia.org/wiki/1986 Kalamata earthquake
