STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,SOIL_TYPE,PGA_VALUE,PGA_LN_SIGMA,SA(0.3)_VALUE,SA(0.3)_LN_SIGMA,SA(0.6)_VALUE,SA(0.6)_LN_SIGMA,SA(1.0)_VALUE,SA(1.0)_LN_SIGMA,VS30,VS30_TYPE
301,301,38.77598,30.53395,seismic,AFAD,C,0.015013824,0,0.026014163,0,0.038174594,0,0.062929558,0,226,C
901,901,37.83657,27.83812,seismic,AFAD,C,0.005958691,0,0.007122819,0,0.010946558,0,0.012993426,0,311,C
1001,1001,39.65003,27.85686,seismic,AFAD,B,0.018150757,0,0.046195136,0,0.045659305,0,0.02906329,0,662,B
1404,1404,40.39659,30.78307,seismic,AFAD,C,0.137991056,0,0.377221353,0,0.179350647,0,0.152687211,0,348,C
1604,1604,40.1831,29.1273,seismic,AFAD,B,0.054221844,0,0.144636827,0,0.146916773,0,0.155235343,0,459,B
1612,1612,40.44163,29.71688,seismic,AFAD,C,0.123307718,0,0.29513701,0,0.241876429,0,0.287260739,0,197,C
1701,1701,40.14145,26.39948,seismic,AFAD,C,0.028640745,0,0.050592347,0,0.066593577,0,0.087066511,0,192,C
2002,2002,37.81247,29.11113,seismic,AFAD,C,0.011519106,0,0.011831926,0,0.014247982,0,0.0211123,0,356,C
3401,3401,41.0582,29.00951,seismic,AFAD,B,0.060037327,0,0.09083714,0,0.066446302,0,0.059789066,0,595,B
3403,3403,41.02646,28.7587,seismic,AFAD,C,0.117359795,0,0.262602649,0,0.333804469,0,0.167615751,0,283,C
3502,3502,38.45514,27.22673,seismic,AFAD,C,0.010800136,0,0.014057023,0,0.035146438,0,0.025786927,0,270,C
3701,3701,41.01319,34.03671,seismic,AFAD,C,0.011632368,0,0.014825167,0,0.017115608,0,0.027284612,0,362,C
4101,4101,40.7665,29.91721,seismic,AFAD,A,0.228298303,0,1.102679367,0,0.509482109,0,0.297845262,0,826,A
4106,4106,40.78627,29.45003,seismic,AFAD,B,0.26335876,0,0.496684026,0,0.437845703,0,0.250653444,0,701,B
4302,4302,39.4193,29.99716,seismic,AFAD,unknown,0.059626031,0,0.118081615,0,0.149851047,0,0.231717296,0,None,unknown
4501,4501,38.61259,27.38138,seismic,AFAD,unknown,0.012163512,0,0.012178357,0,0.021425861,0,0.01958358,0,340,unknown
5401,5401,40.73707,30.38005,seismic,AFAD,unknown,0.391351209,0,0.844827729,0,0.316534249,0,0.449318702,0,412,unknown
5902,5902,40.97928,27.51504,seismic,AFAD,unknown,0.115818631,0,0.214141974,0,0.213154225,0,0.211831635,0,409,unknown
5903,5903,40.97297,27.95033,seismic,AFAD,unknown,0.100881682,0,0.216671923,0,0.345316042,0,0.249710155,0,None,unknown
6001,6001,40.32915,36.55522,seismic,AFAD,unknown,0.001102948,0,0.001757308,0,0.004866893,0,0.001589733,0,324,unknown
6401,6401,38.67128,29.40401,seismic,AFAD,unknown,0.014319738,0,0.021857239,0,0.031497077,0,0.034172299,0,285,unknown
8101,8101,40.843923,31.148112,seismic,AFAD,C,0.365925247,0,1.264784783,0,0.784155041,0,0.59381954,0,282,C
