FIELD,DESCRIPTION
Year,2015
Country,"Nepal, India, China, Bangladesh"
Region,"Gorkha, Kathmandu"
Event_Name,Gorkha_2015
Local_Date,25/04/2015
Local_Time,11:56:25
Longitude,84.7314
Latitude,28.2305
Depth_(km),8.22
Mw,7.8
Max_Intensity_(MMI),IX
Fault_mechanism,Thrust/reverse
Tectonic_region_type,Subduction
Fatalities,8659-9094
Injured,17932-24000
Displaced_Population,95100-649815
Affected_Population,27723-5621790
Affected_Units,8000000
Damaged_Units,256697-288856
Collapsed_Units,498852-604930
Economic_Losses,6000-7000 M USD
Insured_Losses,100 M USD
Induced_Effects,"Avalanches on Mount Everest, landslides"
USGS page,https://earthquake.usgs.gov/earthquakes/eventpage/us20002926/executive
Wikipedia page,https://en.wikipedia.org/wiki/April_2015_Nepal_earthquake
