FIELD,DESCRIPTION
Year,2012
Country,Italy
Region,EmiliaRomagna
Event_Name,EmiliaRomagna_2012
Local_Date,20/05/2012
Local_Time,02:03:52
Latitude,44.89
Longitude,11.23
Depth_(km),6.3
Mw,6
Max_Intensity_(MMI),VIII
Fault_mechanism,Inverse
Tectonic_region_type,Active Shallow Crust
Fatalities,7-26
Injured,50-350
Displaced_Population,15000
Affected_Population,11050-15000
Affected_Units,
Damaged_Units,
Collapsed_Units,
Economic_Losses,10000 M EUR -15800 M USD
Insured_Losses,1300 M USD
Induced_Effects,
USGS page,https://earthquake.usgs.gov/earthquakes/eventpage/usp000jkn8/executive
Wikipedia page,https://en.wikipedia.org/wiki/2012_Northern_Italy_earthquakes
