STATION_ID,STATION_NAME,LONGITUDE,LATITUDE,STATION_TYPE,PGA_VALUE,PGA_LN_SIGMA,REFERENCES
AR,Unidad de Salud de Armenia UARM,-89.501,13.744,seismic,0.031837999,0,MARN
BA,Centro de Salud de San Bartolo CSBR,-89.106,13.704,seismic,0.131558849,0,MARN
BER,Planta Central de Berlin,-88.529,13.497,seismic,0.052498613,0,MARN
CI,Centro de Investigaciones Geotecnicas,-89.17333,13.698,seismic,0.099144223,0,MARN
EX,Colegio Externado San Jose ESJO,-89.207,13.707,seismic,0.106548976,0,MARN
HSGT,Hospital Santa Gertrudis San Vicente VI,-88.784,13.642,seismic,0.327331498,0,MARN
LI,Unidad de Salud de La Libertad ULLB,-89.327,13.486,seismic,0.092952704,0,MARN
OB,Observatorio Sismologico,-89.19643,13.67955,seismic,0.109089213,0,MARN
PA,Unidad de Salud de Panchimalco UPAN,-89.179,13.614,seismic,0.133552239,0,MARN
QC,Presa 15 de Septiembre,-88.56087,13.62302,seismic,0.0254186,0,MARN
RS,RREE Superficie CPRS,-89.24017,13.68503,seismic,0.064451373,0,MARN
SS,Seminario San Jose de La Montana,-89.22405,13.70253,seismic,0.066566121,0,MARN
ST,Santa Tecla,-89.28924,13.67387,seismic,0.038521216,0,MARN
TE,Hospital San Rafael HSRF,-89.279,13.671,seismic,0.039667567,0,MARN
TO,Unidad de Salud de Tonacatepeque UTON,-89.114,13.778,seismic,0.28962288,0,MARN
UC,Universidad Centroamericana JSC,-89.23571,13.68017,seismic,0.049304076,0,MARN
UDBS,Universidad Don Bosco,-89.155,13.71517,seismic,0.092555687,0,MARN
VS,Viveros de DUA Superficie,-89.20906,13.73613,seismic,0.067589898,0,MARN
ZA,Hospital Santa Teresa Zacatecoluca HSTR,-88.869,13.517,seismic,0.324790108,0,MARN
