STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,SOIL_TYPE,PGA_VALUE,PGA_LN_SIGMA,SA(0.3)_VALUE,SA(0.3)_LN_SIGMA,SA(0.6)_VALUE,SA(0.6)_LN_SIGMA,SA(1.0)_VALUE,SA(1.0)_LN_SIGMA,VS30,VS30_TYPE
205,205,37.79177,38.61597,seismic,AFAD,B,0.002968227,0,0.003344462,0,0.005122261,0,0.007416633,0,660,B
208,208,37.78694,37.65275,seismic,AFAD,B,0.001118478,0,0.001199321,0,0.001637172,0,0.002334105,0,469,B
401,401,39.71978,43.0164,seismic,AFAD,C,0.018335099,0,0.035712774,0,0.032831631,0,0.047466243,0,295,C
1206,1206,39.29345,41.00883,seismic,AFAD,C,0.011077664,0,0.012199207,0,0.013339075,0,0.026147312,0,356,C
1211,1211,38.96616,41.0504,seismic,AFAD,B,0.004585064,0,0.007969557,0,0.013488482,0,0.008459855,0,463,B
2304,2304,38.72096,39.86293,seismic,AFAD,B,0.001663763,0,0.001851074,0,0.002490592,0,0.004610976,0,489,B
2305,2305,38.72778,40.13103,seismic,AFAD,A,0.001145033,0,0.001541963,0,0.003381416,0,0.003931451,0,907,A
2307,2307,38.69583,39.93199,seismic,AFAD,C,0.002117371,0,0.00224126,0,0.003372965,0,0.004787977,0,329,C
2401,2401,39.74183,39.51152,seismic,AFAD,C,0.00131096,0,0.001358881,0,0.001429765,0,0.002128086,0,314,C
2407,2407,39.77665,40.39108,seismic,AFAD,C,0.003432042,0,0.003439556,0,0.005197404,0,0.007895744,0,320,C
2902,2902,40.12439,39.43658,seismic,AFAD,B,0.001235127,0,0.001270767,0,0.001310189,0,0.002103017,0,594,B
4404,4404,38.19588,38.87385,seismic,AFAD,unknown,0.00099231,0,0.001366916,0,0.002151421,0,0.002600576,0,1380,unknown
4609,4609,37.57532,36.91505,seismic,AFAD,C,0.002126106,0,0.002406587,0,0.003343455,0,0.006459329,0,317,C
4701,4701,37.32632,40.72374,seismic,AFAD,unknown,0.002002727,0,0.005291157,0,0.004136436,0,0.004492837,0,709,unknown
6303,6303,37.7524,39.3291,seismic,AFAD,A,0.003058863,0,0.003429505,0,0.006622435,0,0.007734926,0,986,A
6503,6503,38.99011,43.76302,seismic,AFAD,unknown,0.178349167,0,0.445842788,0,0.359357085,0,0.268923533,0,None,unknown
6901,6901,40.2623,40.2101,seismic,AFAD,B,0.001343806,0,0.00134187,0,0.002049033,0,0.001919673,0,519,B
7201,7201,37.873,41.15112,seismic,AFAD,B,0.008594044,0,0.013118911,0,0.026772147,0,0.024133684,0,450,B
