ID_2,NAME_2,FATALITIES,FATALITIES_GROUND_SHAKING,INJURIES,DISPLACED_POPULATION,AFFECTED_POPULATION,CAUSE_OF_INJURY/DEATH,REFERENCE,COMMENTS
,Augusta,,,,4700,,Shaking,Wikipedia Italian,
,Avola,,,,148,,Shaking,Wikipedia Italian,
,Buccheri,,,,-,,Shaking,Wikipedia Italian,
,Buscemi,,,,5,,Shaking,Wikipedia Italian,
,Canicattini Bagni,,,,10,,Shaking,Wikipedia Italian,
,Carlentini,,,,1701,,Shaking,Wikipedia Italian,
,Cassaro,,,,-,,Shaking,Wikipedia Italian,
,Ferla,,,,-,,Shaking,Wikipedia Italian,
,Floridia,,,,17,,Shaking,Wikipedia Italian,
,Francofonte,,,,488,,Shaking,Wikipedia Italian,
,Lentini,,,,2200,,Shaking,Wikipedia Italian,
,Melilli,,,,1500,,Shaking,Wikipedia Italian,
,Noto,,,,289,,Shaking,Wikipedia Italian,
,Pachino,,,,69,,Shaking,Wikipedia Italian,
,Priolo Gargallo,,,,79,,Shaking,Wikipedia Italian,
,Rosolini,,,,10,,Shaking,Wikipedia Italian,
,Siracusa,,,,573,,Shaking,Wikipedia Italian,
,Solarino,,,,5,,Shaking,Wikipedia Italian,
,Sortino,,,,42,,Shaking,Wikipedia Italian,
,Aci Catena,,,,16,,Shaking,Wikipedia Italian,
,Caltagirone,,,,65,,Shaking,Wikipedia Italian,
,Catania,,,,355,,Shaking,Wikipedia Italian,
,Grammichele,,,,8,,Shaking,Wikipedia Italian,
,Licodia Eubea,,,,5,,Shaking,Wikipedia Italian,
,Maletto,,,,-,,Shaking,Wikipedia Italian,
,Militello,,,,328,,Shaking,Wikipedia Italian,
,Mineo,,,,52,,Shaking,Wikipedia Italian,
,Motta S. Anastasia,,,,-,,Shaking,Wikipedia Italian,
,Palagonia,,,,120,,Shaking,Wikipedia Italian,
,Ramacca,,,,22,,Shaking,Wikipedia Italian,
,Scordia,,,,250,,Shaking,Wikipedia Italian,
,S.Giovanni La Punta,,,,3,,Shaking,Wikipedia Italian,
,Santa Venerina,,,,-,,Shaking,Wikipedia Italian,
,Tremestieri Etneo,,,,5,,Shaking,Wikipedia Italian,
,Vizzini,,,,81,,Shaking,Wikipedia Italian,
