ID_1,NAME_1,ID_2,NAME_2,TAXONOMY,AFFECTED_UNITS,DAMAGED_UNITS,COLLAPSED_UNITS,UNKNOWN,MINOR,MIDDLE,SEVERE,COLLAPSE,UNIT_TYPES,CAUSE_OF_DAMAGE,REFERENCE,COMMENTS,FATAL,DAMAGED,SAFE,X,D0,D1,D2,D3,D4,D5,Unknown,D0 + D1,D4 + D5,Burned Down,?,SLIGHT,MINOR,MODERATE,SEVERE,COLLAPSE
28,Hyogo,,"Suma-ku, Nagata-ku,Hyogo-ku, Chuo-ku, Nada-ku, Higashinada-ku",CR/LFINF,,,,18,71,60,153,214,Buildings,,Building_Research_Institute_1996 - Survey Committee of Earthquake Damaged Buildings,,,,,,,,,,,,,,,,,,,,,
28,Hyogo,,"Suma-ku, Nagata-ku,Hyogo-ku, Chuo-ku, Nada-ku, Higashinada-ku",SRC (Steel and RC),,,,0,6,9,17,10,Buildings,,Building_Research_Institute_1996 - Survey Committee of Earthquake Damaged Buildings,,,,,,,,,,,,,,,,,,,,,
28,Hyogo,,"Suma-ku, Nagata-ku,Hyogo-ku, Chuo-ku, Nada-ku, Higashinada-ku",S (Steel),,,,7,86,49,131,43,Buildings,,Building_Research_Institute_1996 - Survey Committee of Earthquake Damaged Buildings,,,,,,,,,,,,,,,,,,,,,
28,Hyogo,,"Suma-ku, Nagata-ku,Hyogo-ku, Chuo-ku, Nada-ku, Higashinada-ku",Wood,,,,21,16,11,65,49,Buildings,,Building_Research_Institute_1996 - Survey Committee of Earthquake Damaged Buildings,,,,,,,,,,,,,,,,,,,,,
28,Hyogo,,"Suma-ku, Nagata-ku,Hyogo-ku, Chuo-ku, Nada-ku, Higashinada-ku",Combined,,,,1,13,10,21,21,Buildings,,Building_Research_Institute_1996 - Survey Committee of Earthquake Damaged Buildings,,,,,,,,,,,,,,,,,,,,,
28,Hyogo,,"Suma-ku, Nagata-ku,Hyogo-ku, Chuo-ku, Nada-ku, Higashinada-ku",Unknown,,,,118,3,4,2,2,Buildings,,Building_Research_Institute_1996 - Survey Committee of Earthquake Damaged Buildings,,,,,,,,,,,,,,,,,,,,,
28,Hyogo,27,Akashi City,CR/LFINF,,,,,,,,,Buildings,,Building_Research_Institute_1996 - Emergency Risk Assessment,"Buildings are classified in safe, damaged and fatal based on investigation sheets. Some sheets were incompleted, and judgement was impossible for such buildings. Among them, if there were no special description in the margin of the sheet, the building was assumed to be safe, and the rest were labeled as X.",2,10,303,1,,,,,,,,,,,,,,,,
28,Hyogo,,"Tarumi-ku, Suma-ku, Nagata-ku,Hyogo-ku, Chuo-ku, Nada-ku, Higashinada-ku",CR/LFINF,,,,,,,,,Buildings,,Building_Research_Institute_1996 - Emergency Risk Assessment,"Buildings are classified in safe, damaged and fatal based on investigation sheets. Some sheets were incompleted, and judgement was impossible for such buildings. Among them, if there were no special description in the margin of the sheet, the building was assumed to be safe, and the rest were labeled as X.",274,224,6327,38,,,,,,,,,,,,,,,,
28,Hyogo,39,Ashiya City,CR/LFINF,,,,,,,,,Buildings,,Building_Research_Institute_1996 - Emergency Risk Assessment,"Buildings are classified in safe, damaged and fatal based on investigation sheets. Some sheets were incompleted, and judgement was impossible for such buildings. Among them, if there were no special description in the margin of the sheet, the building was assumed to be safe, and the rest were labeled as X.",24,31,612,14,,,,,,,,,,,,,,,,
28,Hyogo,41,Nishinomiya City,CR/LFINF,,,,,,,,,Buildings,,Building_Research_Institute_1996 - Emergency Risk Assessment,"Buildings are classified in safe, damaged and fatal based on investigation sheets. Some sheets were incompleted, and judgement was impossible for such buildings. Among them, if there were no special description in the margin of the sheet, the building was assumed to be safe, and the rest were labeled as X.",43,46,2799,6,,,,,,,,,,,,,,,,
