STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,SOIL_TYPE,PGA_VALUE,PGA_LN_SIGMA,SA(0.3)_VALUE,SA(0.3)_LN_SIGMA,SA(0.6)_VALUE,SA(0.6)_LN_SIGMA,SA(1.0)_VALUE,SA(1.0)_LN_SIGMA,VS30,VS30_TYPE,MMI_VALUE,MMI_STDDEV,PGV_LN_SIGMA,PGV_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE
MI05,S. EUSANIO FORCONESE  ITALY,42.289474,13.525255,seismic,INGV,A (inferred from geology),0.651508972,0.0,0.881969853804661,0.0,0.2147647804029181,0.0,0.0984977554451241,0.0,,A (inferred from geology),,,,,,
AQV,L AQUILA   V. ATERNO   CENTRO VALLE,42.377222,13.343888,seismic,INGV,B,0.644246826,0.0,1.287582006402189,0.0,0.9529514642126932,0.0,0.4607380094454971,0.0,474.0,B,,,,,,
AQG,L AQUILA   V. ATERNO    COLLE GRILLI,42.373474,13.337026,seismic,INGV,B,0.479266876,0.0,0.968311505210356,0.0,0.6571844341265752,0.0,0.4542372275291309,0.0,696.0,B,,,,,,
AQA,L AQUILA   V. ATERNO    F. ATERNO,42.37553,13.339298,seismic,INGV,B,0.435393677,0.0,0.8971612567825341,0.0,0.5955147200308141,0.0,0.3347497943684819,0.0,549.0,B,,,,,,
AQK,L AQUILA   V. ATERNO   AQUIL PARK ING.,42.344967,13.400949,seismic,INGV,B,0.355459625,0.0,0.6203239373261182,0.0,0.4843178798351681,0.0,0.4212725914080844,0.0,705.0,B,,,,,,
AQU,L AQUILA  ITALY,42.354,13.405,seismic,INGV,B (inferred from geology),0.306426453,0.0,0.4770113611914552,0.0,0.6614346704101064,0.0,0.4267661440422824,0.0,,B (inferred from geology),,,,,,
GSA,GRAN SASSO  LAB. INFN ASSERGI,42.420689,13.519362,seismic,INGV,B,0.276520233,0.0,0.4791584938744199,0.0,0.2416287955483961,0.0,0.0927808398818678,0.0,492.0,B,,,,,,
RM09,PIANO DI CASCINA  CAGNANO AMITERNO    AQ,42.4355,13.18649,seismic,INGV,B (inferred from geology),0.14751236,0.0,0.3286021396325034,0.0,0.3634004184825085,0.0,0.0740488852659178,0.0,,B (inferred from geology),,,,,,
RM14,BARISCIANO   AQ,42.34536,13.57222,seismic,INGV,B (inferred from geology),0.130917236,0.0,0.3224529801381188,0.0,0.1390756315812979,0.0,0.0761308215180819,0.0,,B (inferred from geology),,,,,,
AQM,L'AQUILA - V. ATERNO -  IL MORO,42.378643,13.349262,seismic,INGV,B (inferred from geology),0.124260971,0.0,0.2143229024659087,0.0,0.032958187884825,0.0,0.0267843432696494,0.0,,B (inferred from geology),,,,,,
AQP,L'AQUILA - V. ATERNO -  M. PETTINO,42.383686,13.368598,seismic,INGV,A,0.092135422,0.0,0.1786185367943227,0.0,0.0698010878285646,0.0,0.0380702469022339,0.0,836.0,A,,,,,,
CLN,CELANO,42.085224,13.520722,seismic,INGV,B (inferred from geology),0.088467995,0.0,0.184572379562058,0.0,0.0812884801060328,0.0,0.0820726933314634,0.0,,B (inferred from geology),,,,,,
AQF,L AQUILA   V. ATERNO    FERRIERA,42.380539,13.35474,seismic,INGV,B (inferred from geology),0.077230858,0.0,0.2232658576451493,0.0,0.0334084176685547,0.0,0.0136688284844082,0.0,,B (inferred from geology),,,,,,
BZZ,BAZZANO,42.337025,13.468575,seismic,INGV,B,0.068035057,0.0,0.124638005269154,0.0,0.1398903780580294,0.0,0.0592561884841803,0.0,679.0,B,,,,,,
AVZ,AVEZZANO,42.027458,13.425929,seismic,INGV,C,0.06769146,0.0,0.1538937527484511,0.0,0.1523957860720544,0.0,0.0977905530724676,0.0,199.0,C,,,,,,
ORC,ORTUCCHIO  NUOVA,41.953606,13.642346,seismic,INGV,B,0.064076447,0.0,0.181927290917691,0.0,0.1422286197225311,0.0,0.0706287532132739,0.0,767.0,B,,,,,,
MTR,MONTEREALE,42.524021,13.244796,seismic,INGV,B,0.061371239,0.0,0.1570140985249039,0.0,0.0751199042760359,0.0,0.0581407512027907,0.0,689.0,B,,,,,,
SUL,SULMONA,42.089,13.934,seismic,INGV,A (inferred from geology),0.033624039,0.0,0.0721593453858602,0.0,0.0534204156992457,0.0,0.0403143279042986,0.0,,A (inferred from geology),,,,,,
CHT,CHIETI,42.369827,14.147809,seismic,INGV,B (inferred from geology),0.029429653,0.0,0.0609585162030801,0.0,0.0664151138167041,0.0,0.0599498033797101,0.0,,B (inferred from geology),,,,,,
GSG,GRAN SASSO (LAB. INFN GALLERIA),42.46,13.55,seismic,INGV,B (inferred from geology),0.029394747,0.0,0.0727852165410684,0.0,0.0389155281398791,0.0,0.0337429054178084,0.0,,B (inferred from geology),,,,,,
FMG,FIAMIGNANO,42.268028,13.11722,seismic,INGV,B,0.026323769,0.0,0.0557908147422938,0.0,0.0775215408053284,0.0,0.0423228494582208,0.0,790.0,B,,,,,,
ANT,ANTRODOCO,42.41811,13.078598,seismic,INGV,A,0.025970692,0.0,0.0524153848267779,0.0,0.0973814869842616,0.0,0.0327860022841048,0.0,912.0,A,,,,,,
GUMA,GUALDO DI MACERATA,43.0627,13.3352,seismic,INGV,B,0.020388399,0.0,0.0749035928203638,0.0,0.0493149670891581,0.0,0.0182599024335366,0.0,488.0,B,,,,,,
SCN,SCANNO,41.918655,13.872396,seismic,INGV,A,0.019367096,0.0,0.0276232279402935,0.0,0.0087362887969778,0.0,0.0042456092310334,0.0,839.0,A,,,,,,
CSO1,CARSOLI1,42.100933,13.088044,seismic,INGV,B (inferred from geology),0.0182878,0.0,0.050115829465235,0.0,0.0564200711302776,0.0,0.0284389837379625,0.0,,B (inferred from geology),,,,,,
BOJS,BOJANCI  SL,45.5043,15.2518,seismic,INGV,B (inferred from topography),0.014160506,0.0,0.0211883031512791,0.0,0.0482063592682823,0.0,0.0616922558061828,0.0,,B (inferred from topography),,,,,,
SENI,SENIGALLIA,43.7052,13.2331,seismic,INGV,C,0.013375853,0.0,0.0584716603098326,0.0,0.0411853903666036,0.0,0.0202359459593758,0.0,242.0,C,,,,,,
CDS,CASTEL DI SANGRO,41.78714,14.11187,seismic,INGV,B (inferred from geology),0.009951902,0.0,0.0255791876480498,0.0,0.026408519265159,0.0,0.0275221116213898,0.0,,B (inferred from geology),,,,,,
TMO,TERMOLI,41.989445,14.975007,seismic,INGV,B (inferred from geology),0.009842912,0.0,0.0223794604582497,0.0,0.0207002117944921,0.0,0.0174566384976475,0.0,,B (inferred from geology),,,,,,
LSS,LEONESSA  NUOVA,42.558243,12.968894,seismic,INGV,A,0.009614135,0.0,0.0222841163990539,0.0,0.0149911047444273,0.0,0.0143138918716346,0.0,1091.0,A,,,,,,
SPO,SPOLETO,42.733585,12.740602,seismic,INGV,A (inferred from geology),0.009574907,0.0,0.0216460742152185,0.0,0.0229314774042502,0.0,0.007094170267645,0.0,,A (inferred from geology),,,,,,
CSS,CASSINO,41.48579,13.82309,seismic,INGV,B,0.009442088,0.0,0.0268554493870262,0.0,0.0238273148878805,0.0,0.019660829471939,0.0,648.0,B,,,,,,
CDCA,CITTA DI CASTELLO,43.4584,12.2336,seismic,INGV,C,0.0093280049999999,0.0,0.0189877861517902,0.0,0.0273909557304272,0.0,0.0269292232742526,0.0,277.0,C,,,,,,
MMP,MOMPEO,42.248547,12.748537,seismic,INGV,B (inferred from geology),0.008844919,0.0,0.0218730591997028,0.0,0.0194960062319805,0.0,0.0080896377624626,0.0,,B (inferred from geology),,,,,,
SPC,SPOLETO (CANTINA),42.743469,12.739693,seismic,INGV,C (inferred from geology),0.007554791,0.0,0.01784474222078,0.0,0.0134805588643347,0.0,0.0099154090508603,0.0,,C (inferred from geology),,,,,,
ISR,ISERNIA,41.6106,14.2359,seismic,INGV,B (inferred from geology),0.0071855719999999,0.0,0.0160908980064717,0.0,0.0172182709663894,0.0,0.0128535894923048,0.0,,B (inferred from geology),,,,,,
PTF,PETRELLA TIFERNINA,41.6963,14.7024,seismic,INGV,B (inferred from geology),0.006865388,0.0,0.0204248470471722,0.0,0.0171381073552309,0.0,0.0146835032718695,0.0,,B (inferred from geology),,,,,,
SBC,SUBIACO,41.913158,13.105518,seismic,INGV,A,0.006647219,0.0,0.0177960014607904,0.0,0.0144556914978214,0.0,0.0140539366712394,0.0,1298.0,A,,,,,,
ASS,ASSISI,43.074982,12.604141,seismic,INGV,A (inferred from geology),0.006047272,0.0,0.022025574056541,0.0,0.0097084073320424,0.0,0.0041521865220577,0.0,,A (inferred from geology),,,,,,
SCP,SERRACAPRIOLA,41.807213,15.164646,seismic,INGV,B (inferred from geology),0.005643338,0.0,0.0124201036283356,0.0,0.0125139123948965,0.0,0.0109535946769721,0.0,,B (inferred from geology),,,,,,
SSR,S.SEVERO,41.691341,15.37362,seismic,INGV,B (inferred from geology),0.005352002,0.0,0.0087352426764329,0.0,0.0077452821409791,0.0,0.0106141666605625,0.0,,B (inferred from geology),,,,,,
CMR,CASTELMAURO,41.833427,14.712029,seismic,INGV,B (inferred from geology),0.005295523,0.0,0.0127465330428641,0.0,0.0121185818516134,0.0,0.0090429258674127,0.0,,B (inferred from geology),,,,,,
PSC,PESCASSEROLI,41.812042,13.789196,seismic,INGV,A,0.005240302,0.0,0.0106341701200578,0.0,0.0116951373760436,0.0,0.0067368814057129,0.0,1000.0,A,,,,,,
