STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,SOIL_TYPE,PGA_VALUE,SA(0.3)_VALUE,SA(0.6)_VALUE,SA(1.0)_VALUE,PGA_LN_SIGMA,SA(0.3)_LN_SIGMA,SA(0.6)_LN_SIGMA,SA(1.0)_LN_SIGMA,PGA_VALUE_1,SA(0.3)_VALUE_1,SA(0.6)_VALUE_1,SA(1.0)_VALUE_1,PGA_VALUE_2,SA(0.3)_VALUE_2,SA(0.6)_VALUE_2,SA(1.0)_VALUE_2,PGA_VALUE_V,SA(0.3)_VALUE_V,SA(0.6)_VALUE_V,SA(1.0)_VALUE_V
ACAP,ACAPULCO PELLANDINI,16.836,-99.914,seismic,Stations_UNAM,ROCA GRANITICA,0.028256881,0.044811114,0.054332906,0.01740242,0,0,0,0,0.016932722,0.040238185,0.024762675,0.01740242,0.028256881,0.044811114,0.054332906,0.00954044,0.028131499,0.039669935,0.053891413,0.040280281
ACAS,ACAPULCO SOP,16.858,-99.894,seismic,Stations_UNAM,ALUVIAL,0.025655454,0.065026042,0.029595484,0.025756921,0,0,0,0,0.019591233,0.037201316,0.023295786,0.025756921,0.025655454,0.065026042,0.029595484,0.017186573,0.01780632,0.045215548,0.035948777,0.043063341
APAT,APATZINGAN,19.083,-102.35,seismic,Stations_UNAM,,0.082856269,0.145012265,0.1330728,0.167690403,0,0,0,0,0.070071356,0.145012265,0.1330728,0.141881795,0.082856269,0.143198443,0.108592448,0.167690403,0.045492355,0.076696898,0.098687019,0.059160736
ATYC,ATOYAC,17.213361,-100.432269,seismic,Stations_UNAM,ROCA,0.061121305,0.163476528,0.130049011,0.080403022,0,0,0,0,0.054067278,0.163476528,0.083870849,0.080403022,0.061121305,0.109305752,0.130049011,0.046445372,0.060856269,0.187389006,0.099110237,0.08493747
AZIH,AEROPUERTO ZIHUATANEJO,17.60654,-101.46526,seismic,Stations_UNAM,ROCA,0.156911315,0.399241593,0.276219515,0.18550118,0,0,0,0,0.100530071,0.349561914,0.276219515,0.176280207,0.156911315,0.399241593,0.238103052,0.18550118,0.102028542,0.309923713,0.142213597,0.108557151
CALE,CALETA DE CAMPOS,18.07287,-102.754441,seismic,Stations_UNAM,ROCA,0.143404689,0.326279039,0.326423034,0.219901361,0,0,0,0,0.14243629,0.326279039,0.326423034,0.219901361,0.143404689,0.253017946,0.237319224,0.127517278,0.090163099,0.221625232,0.100454138,0.076483957
CAYA,CAYACO,17.045,-100.266,seismic,Stations_UNAM,TERRENO BLANDO,0.049364934,0.106262824,0.069600478,0.071940484,0,0,0,0,0.041668705,0.093401544,0.060240351,0.071940484,0.049364934,0.106262824,0.069600478,0.061435943,0.024828746,0.043084589,0.055307914,0.04475003
CDAF,CENTRAL DE ABASTOS FRIGORIFICO,19.366,-99.086,seismic,Stations_UNAM,Arcilla,0.119765545,0.090765833,0.112536441,0.14400196,0,0,0,0,0.087665647,0.079974628,0.098218569,0.105386296,0.119765545,0.090765833,0.112536441,0.14400196,0.026309888,0.031191578,0.051422225,0.067162393
CDAO,CENTRAL DE ABASTOS OFICINAS,19.373913,-99.096997,seismic,Stations_UNAM,Arcilla,0.086248726,0.088590284,0.106974751,0.186510415,0,0,0,0,0.066585117,0.071107303,0.106974751,0.186510415,0.086248726,0.088590284,0.099291195,0.175558711,0.035005097,0.039060811,0.044737327,0.076658102
CHI1,CHILPANCINGO,17.553,-99.5,seismic,Stations_UNAM,ROCA,0.190955148,0.302333888,0.446220036,0.592764987,0,0,0,0,0.16041896,0.221534919,0.446220036,0.592764987,0.190955148,0.302333888,0.399797485,0.51133383,0.086109072,0.128332029,0.176033661,0.272943967
COYC,COYUCA,16.997788,-100.089963,seismic,Stations_UNAM,ROCA,0.042856269,0.08020101,0.098248578,0.098854139,0,0,0,0,0.042856269,0.072149987,0.098248578,0.098854139,0.036380224,0.08020101,0.041899302,0.037945326,0.019205912,0.046484676,0.053783457,0.036527478
CPDR,CERRO DE PIEDRA,16.769,-99.633,seismic,Stations_UNAM,ROCA,0.026279307,0.040009896,0.077113173,0.057325653,0,0,0,0,0.026279307,0.040009896,0.077113173,0.048022816,0.01559633,0.034205101,0.026505253,0.057325653,0.012538226,0.023708575,0.02365102,0.039005987
CU01,LABORATORIO INSTRUMENTACION SISMICA,19.33,-99.183,seismic,Stations_UNAM,Roca,0.033170235,0.046592537,0.071152422,0.099520914,0,0,0,0,0.027319062,0.043234682,0.05484498,0.075259672,0.033170235,0.046592537,0.071152422,0.099520914,0.021457696,0.029527537,0.02988735,0.043748605
