# 20160416_M7.0_Kumamoto median gmf, Stations:None, gmlt:USGS, Rupture:USGS
custom_site_id,lon,lat,AbrahamsonEtAl2014,AbrahamsonEtAl2015SInter,AtkinsonBoore2003SInter,BooreEtAl2014,CampbellBozorgnia2014,ChiouYoungs2014,ZhaoEtAl2016SInter
t_0,131.39143,31.68349,0.018416595,0.022142407,0.022557849,0.019457618,0.019178668,0.02068751,0.021147538
t_1,131.33477,31.72399,0.019950975,0.02372733,0.024187332,0.021128062,0.020862093,0.02217365,0.023389835
t_10,131.2588,31.44924,0.0144096855,0.018045785,0.018250138,0.01510864,0.014871484,0.01668707,0.015606031
t_100,130.41017999999997,31.56027,0.015584917,0.019177273,0.013604916,0.016066296,0.016714409,0.017516365,0.019171214
t_1000,130.57331999999997,33.32068,0.09030668,0.09639827,0.07632063,0.10882779,0.07978059,0.09401225,0.115458146
t_1001,130.62616000000003,33.32516,0.09360145,0.10012209,0.07937591,0.11253374,0.08222969,0.09713495,0.12269054
t_1002,130.46229,33.35601,0.0600012,0.06644052,0.052503113,0.06962622,0.058769897,0.061536036,0.10096666
t_1003,130.51512000000002,33.36053,0.06502161,0.07160085,0.06112451,0.07592378,0.062214866,0.066576466,0.106835835
t_1004,130.79517999999996,33.24968,0.081702925,0.09598665,0.08260916,0.091134295,0.084410086,0.080435894,0.15175903
t_1005,130.63146,33.2808,0.058887664,0.06934525,0.043770652,0.0636096,0.06368106,0.05728613,0.11008584
t_1006,130.68429000000003,33.28524,0.061822854,0.07305625,0.045604102,0.06691552,0.066701576,0.06011319,0.1175304
t_1007,130.73712,33.28966,0.06487198,0.07693762,0.047472686,0.070354395,0.069880724,0.06309153,0.1253709
t_1008,130.78996,33.29406,0.07372497,0.08600601,0.07603247,0.08177273,0.076210074,0.072268724,0.13237424
t_1009,130.67899999999997,33.32961,0.09730187,0.104290485,0.08259632,0.11684123,0.0852385,0.10082839,0.1305196
t_101,130.30151,31.59587,0.017685415,0.021431293,0.021236196,0.01887204,0.018176697,0.020136286,0.026506422
t_1010,130.73185999999998,33.33404,0.0857896,0.09478567,0.076319434,0.1007267,0.078786336,0.08674632,0.15088665
t_1011,130.78472999999997,33.33844,0.10302104,0.110910915,0.088204175,0.12301079,0.089237735,0.1061813,0.14466608
t_1012,130.67371000000003,33.37397,0.09083299,0.096986175,0.07677824,0.10941473,0.08019907,0.09452352,0.116529375
t_1013,130.72659,33.37841,0.092509694,0.099068984,0.07929181,0.11067966,0.080499046,0.09552993,0.12248894
t_1014,130.35665,33.34689,0.04042437,0.046746917,0.031542093,0.04314305,0.04559401,0.04029712,0.06623745
t_1015,130.40945999999997,33.35146,0.053355675,0.05972202,0.0506305,0.060935326,0.054313533,0.05459141,0.095526055
t_1016,130.29836,33.38662,0.047983956,0.053350907,0.044311415,0.05514179,0.049361367,0.05008375,0.078072324
t_1017,130.35118999999997,33.39121,0.046931773,0.052608795,0.04585544,0.053240746,0.049083658,0.04849343,0.08220822
t_1018,130.40403000000003,33.39579,0.039142545,0.045236286,0.030654047,0.041737724,0.044393577,0.039152298,0.06342624
t_1019,130.45688,33.40034,0.040734075,0.0471132,0.03175598,0.043481626,0.04588491,0.040573813,0.0669219
t_102,130.3533,31.60025,0.016125971,0.019739913,0.014013196,0.016644826,0.017320974,0.018046249,0.020003896
t_1020,130.29286000000002,33.43093,0.043804187,0.04890712,0.04170031,0.050016776,0.04529097,0.046009373,0.07126802
t_1021,130.34571,33.43553,0.035117045,0.040550385,0.027836997,0.037334885,0.040395126,0.035566084,0.05483374
t_1022,130.39858000000004,33.44012,0.036479384,0.04212612,0.028795032,0.038823012,0.04192044,0.03677893,0.05770046
t_1023,130.45145000000002,33.44468,0.049302563,0.05494992,0.04615693,0.056487296,0.05063127,0.05111222,0.08302554
t_1024,130.56797,33.36503,0.085076496,0.09049673,0.071205094,0.10314301,0.076225795,0.089311995,0.103768595
t_1025,130.62084,33.36952,0.08815357,0.093921125,0.073972784,0.10666597,0.07856632,0.09223926,0.11002814
t_1026,130.50973999999997,33.40488,0.05815035,0.06434221,0.05098,0.06745692,0.05722452,0.05982675,0.09653216
t_1027,130.56262000000004,33.40939,0.07846214,0.08341001,0.06656312,0.094692566,0.070066005,0.08230607,0.093611374
t_1028,130.6155,33.41387,0.06000274,0.067021474,0.05485596,0.06905889,0.059562773,0.061058313,0.10797738
t_1029,130.50434,33.44922,0.048548423,0.054520097,0.04779574,0.054953635,0.050577976,0.049835503,0.0875237
t_103,130.40511000000004,31.60461,0.023515671,0.027540082,0.024852244,0.026795153,0.022240441,0.02729983,0.028162055
t_1030,130.55725,33.45374,0.05560446,0.061619107,0.049520165,0.0643282,0.0553127,0.05734622,0.09235818
t_1031,130.61016,33.45823,0.055584405,0.061985936,0.051253363,0.06385906,0.05582777,0.056937493,0.09732205
t_1032,130.49894,33.49356,0.046764813,0.052282836,0.044889342,0.05327989,0.048748896,0.048555262,0.07961062
t_1033,130.55186000000003,33.49808,0.053564988,0.059036214,0.052115276,0.062251985,0.05322574,0.055779316,0.08381703
t_1034,130.77949,33.38282,0.055707477,0.065355726,0.041747194,0.059985444,0.06045025,0.05425485,0.102145635
t_1035,130.66840000000002,33.41834,0.06852536,0.07544921,0.06365856,0.08009391,0.06493578,0.06992642,0.113719374
t_1036,130.72131000000002,33.42278,0.049518608,0.057697907,0.037705515,0.05312155,0.054307397,0.048509933,0.087117516
t_1037,130.77423,33.4272,0.050867833,0.05935446,0.03859784,0.054599255,0.055632535,0.049746748,0.0903423
t_1038,130.66308000000004,33.4627,0.044179596,0.05122105,0.03411721,0.047241747,0.049147688,0.043661077,0.074668445
t_1039,130.71601999999996,33.46716,0.045504525,0.05281616,0.03501593,0.048687395,0.05041683,0.044854507,0.07770924
t_104,130.29638,31.6402,0.018697167,0.02246693,0.022287343,0.019986957,0.019263195,0.021136234,0.028414726
t_1040,130.76896999999997,33.47158,0.046604685,0.054146923,0.035758127,0.049886055,0.05147753,0.04584833,0.08025913
t_1041,130.65774999999996,33.50707,0.0511199,0.057294276,0.04927862,0.058133006,0.0525681,0.052385483,0.091674745
t_1042,130.71072000000004,33.51153,0.041922953,0.048523866,0.03257456,0.044748656,0.047005057,0.041630372,0.0695678
t_1043,130.76369,33.51596,0.058074467,0.06437447,0.05141407,0.06718812,0.05732321,0.059640404,0.09778764
t_1044,131.45910000000003,33.03383,0.072129734,0.08626727,0.051765613,0.07465335,0.07673676,0.068948835,0.14440976
t_1045,131.34861999999998,33.0701,0.11264151,0.12959427,0.09300221,0.12433784,0.10638853,0.11237015,0.25189674
t_1046,131.40143,33.07421,0.10071752,0.11516129,0.08511571,0.11167055,0.09516285,0.0998474,0.21685433
t_1047,131.45425999999998,33.0783,0.07603221,0.08888329,0.07797096,0.08043463,0.07773082,0.07317364,0.13793303
t_1048,131.34371999999996,33.11456,0.09757071,0.11371224,0.08864132,0.10602975,0.09577645,0.09624954,0.23211649
t_1049,131.39655,33.11868,0.09570823,0.10910943,0.08163276,0.106316455,0.09053384,0.09472753,0.20237345
t_105,130.34820000000002,31.64458,0.023049986,0.02704818,0.022803714,0.025967127,0.022265637,0.026534133,0.029368736
t_1050,131.44939999999997,33.12278,0.07272051,0.084756106,0.075179465,0.077030554,0.074488044,0.069996506,0.1299676
t_1051,131.3388,33.15902,0.09093792,0.10551618,0.0838574,0.09950743,0.08945664,0.08974361,0.21155621
t_1052,131.39166,33.16315,0.08281297,0.09551916,0.077713124,0.09069857,0.08164032,0.08140352,0.18674384
t_1053,131.44453999999996,33.16725,0.082461715,0.09320378,0.07197391,0.09211605,0.07856863,0.08175791,0.1650526
t_1054,131.12746000000004,33.14228,0.12998784,0.15368314,0.10887227,0.14686616,0.13067418,0.1344574,0.3339652
t_1055,131.01677,33.1782,0.12357136,0.1458248,0.105285116,0.1429535,0.12452246,0.1278555,0.31383008
t_1056,131.06959,33.18246,0.11992112,0.141337,0.10315335,0.13742809,0.120340474,0.12323729,0.30234274
t_1057,131.12243,33.18671,0.11410318,0.13416368,0.09961758,0.12946685,0.113906726,0.11619375,0.28401172
t_1058,131.01166999999998,33.22261,0.11679144,0.13461514,0.09560861,0.13681012,0.11219453,0.11985713,0.2642305
t_1059,131.06452000000002,33.22689,0.1052385,0.12320221,0.09390241,0.120381825,0.10489659,0.106499106,0.25611165
t_106,130.40002000000004,31.64895,0.023360446,0.027355561,0.02329727,0.026259985,0.022683054,0.026778402,0.030290693
t_1060,131.11738000000003,33.23114,0.10108621,0.11806253,0.09108967,0.11486204,0.10049986,0.10173003,0.24309407
t_1061,131.00657,33.26703,0.10348847,0.11851351,0.08699997,0.1207751,0.09904607,0.104957245,0.22493313
t_1062,131.05944,33.27131,0.10146445,0.11606466,0.08562663,0.11797813,0.09704032,0.10266383,0.21902755
t_1063,131.11233,33.27557,0.10142446,0.11503294,0.08337172,0.11796172,0.0954355,0.10253374,0.20953159
t_1064,131.18028000000004,33.1465,0.13064636,0.15097119,0.10319796,0.14868835,0.12464753,0.13457598,0.30257967
t_1065,131.23311,33.15069,0.13024837,0.14682174,0.10867675,0.14792071,0.1179203,0.13277587,0.19689849
t_1066,131.28595,33.15487,0.09994835,0.11665423,0.090303905,0.109841794,0.09848203,0.09940776,0.23953597
t_1067,131.17527,33.19093,0.1069851,0.12536375,0.09505975,0.120297454,0.1062675,0.107891805,0.26159996
t_1068,131.22812999999996,33.19514,0.099326946,0.11588522,0.08987208,0.110853046,0.09828494,0.099283844,0.23759477
t_1069,131.28098999999997,33.19932,0.091684386,0.106437415,0.08440639,0.10172486,0.09054076,0.09100009,0.21385834
t_107,130.45186,31.65329,0.023891922,0.027891723,0.023762962,0.02686911,0.02322536,0.027304213,0.031169597
t_1070,131.17025,33.23537,0.09585796,0.11159392,0.08742645,0.10821155,0.0950828,0.095899515,0.22678638
t_1071,131.22314,33.23958,0.09004191,0.10441091,0.08319494,0.10105018,0.08918986,0.08960449,0.20879741
t_1072,131.27603,33.24377,0.0915333,0.10407781,0.07865683,0.104241006,0.087273225,0.09164397,0.19044447
t_1073,131.16523,33.27981,0.086334616,0.09984452,0.08041379,0.09763393,0.085708536,0.08595,0.19743897
t_1074,131.33387,33.20347,0.08438236,0.09744505,0.078923635,0.09320445,0.08333817,0.083354786,0.19149779
t_1075,131.38675999999998,33.20761,0.07758352,0.0891248,0.07360058,0.085403256,0.07679892,0.07645878,0.17106165
t_1076,131.43966,33.21172,0.07795055,0.087837294,0.0685473,0.087389044,0.07462403,0.077597745,0.15274112
t_1077,131.49257,33.21582,0.07185504,0.080642685,0.06381759,0.08069618,0.069298886,0.07170853,0.1364944
t_1078,131.32893,33.24793,0.0781148,0.089772634,0.07402383,0.086864926,0.07750554,0.077254,0.17264289
t_1079,131.38185,33.25208,0.07244703,0.082885966,0.069447435,0.0802875,0.07213246,0.07162309,0.15593037
t_108,130.29124000000002,31.68452,0.032117195,0.036006153,0.02625602,0.038614884,0.027666338,0.03754673,0.028010324
t_1080,131.43476999999996,33.2562,0.06712794,0.076479755,0.065034814,0.07418246,0.06719123,0.066461384,0.14059465
t_1081,131.48771,33.2603,0.062192537,0.07059503,0.06084559,0.068564065,0.06269208,0.061765283,0.12671413
t_1082,131.32398,33.29239,0.08530249,0.09482008,0.07773869,0.098301314,0.07907079,0.08576799,0.15535137
t_1083,131.37692000000004,33.29654,0.08275896,0.09111337,0.07334379,0.09549125,0.07580692,0.083422564,0.10321562
t_1084,130.95884,33.21831,0.11747581,0.13544261,0.09603143,0.13820438,0.11296631,0.12078511,0.2662694
t_1085,130.84801,33.25405,0.07774432,0.09355378,0.05493035,0.08508103,0.08379498,0.07619002,0.15943411
t_1086,130.90085,33.25839,0.0869197,0.102551445,0.086713254,0.09706906,0.08987714,0.085878916,0.16465154
t_1087,130.95371,33.26272,0.10404414,0.11918601,0.08737413,0.12174983,0.09961929,0.10563992,0.2265585
t_1088,130.84281999999996,33.29844,0.07603904,0.088891834,0.07797666,0.08442657,0.07856245,0.07459499,0.13794957
t_1089,130.89567999999997,33.30279,0.092342734,0.105052255,0.07923888,0.107680544,0.08838879,0.09308594,0.19274639
t_109,130.34308,31.68891,0.019747837,0.0235169,0.023972157,0.020959556,0.020638138,0.021978177,0.02308926
